,song,artist,date,explicit,uri,popularity,ironhacker,links,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
10,Suerte,Raffa Fl,2020-08-15,False,spotify:track:3wAeV5YnVopXm4jynlfJQr,54,Antonio,https://open.spotify.com/track/3wAeV5YnVopXm4jynlfJQr,0.714,0.917,2,-9.128,1,0.0744,0.119,0.289,0.403,0.464,125.102,audio_features,3wAeV5YnVopXm4jynlfJQr,https://api.spotify.com/v1/tracks/3wAeV5YnVopXm4jynlfJQr,https://api.spotify.com/v1/audio-analysis/3wAeV5YnVopXm4jynlfJQr,176640,4
11,Snake,PAX,2019-06-07,False,spotify:track:4JZdi4DSds3oMSYeBUQosp,56,Antonio,https://open.spotify.com/track/4JZdi4DSds3oMSYeBUQosp,0.777,0.883,7,-8.377,1,0.0833,0.0391,0.588,0.126,0.267,126.987,audio_features,4JZdi4DSds3oMSYeBUQosp,https://api.spotify.com/v1/tracks/4JZdi4DSds3oMSYeBUQosp,https://api.spotify.com/v1/audio-analysis/4JZdi4DSds3oMSYeBUQosp,181417,4
12,Bon Bini,Shermanology,2020-09-11,False,spotify:track:6ytVMBHu1ZXvaBvufHCBOX,41,Antonio,https://open.spotify.com/track/6ytVMBHu1ZXvaBvufHCBOX,0.775,0.877,9,-9.12,1,0.103,0.00256,0.25,0.0738,0.401,127.028,audio_features,6ytVMBHu1ZXvaBvufHCBOX,https://api.spotify.com/v1/tracks/6ytVMBHu1ZXvaBvufHCBOX,https://api.spotify.com/v1/audio-analysis/6ytVMBHu1ZXvaBvufHCBOX,361024,4
13,Ghostface Killers (feat. Travis Scott),"['21 Savage', 'Offset', 'Metro Boomin', 'Travis Scott']",2017-10-30,True,spotify:track:5u6vkDnOyaf8LsteDAj2ub,69,Antonio,https://open.spotify.com/track/5u6vkDnOyaf8LsteDAj2ub,0.782,0.435,2,-7.033,1,0.156,0.333,1.31e-05,0.342,0.242,82.996,audio_features,5u6vkDnOyaf8LsteDAj2ub,https://api.spotify.com/v1/tracks/5u6vkDnOyaf8LsteDAj2ub,https://api.spotify.com/v1/audio-analysis/5u6vkDnOyaf8LsteDAj2ub,268933,4
14,Dance Off (feat. Idris Elba & Anderson .Paak),"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Idris Elba', 'Anderson .Paak']",2016-02-26,True,spotify:track:7pDxNYVQLKzrbkCe8OCag3,54,Edu,https://open.spotify.com/track/7pDxNYVQLKzrbkCe8OCag3,0.77,0.818,7,-3.914,1,0.0533,0.0411,0.000127,0.164,0.459,120.979,audio_features,7pDxNYVQLKzrbkCe8OCag3,https://api.spotify.com/v1/tracks/7pDxNYVQLKzrbkCe8OCag3,https://api.spotify.com/v1/audio-analysis/7pDxNYVQLKzrbkCe8OCag3,229680,4
15,Medallo,"['Blessd', 'Justin Quiles', 'Lenny Tavárez']",2021-10-27,True,spotify:track:6lX6l7OuA3qrnIRfdsr0dw,85,Antonio,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw,0.787,0.7,4,-4.598,0,0.0768,0.568,0.00051,0.663,0.791,90.02,audio_features,6lX6l7OuA3qrnIRfdsr0dw,https://api.spotify.com/v1/tracks/6lX6l7OuA3qrnIRfdsr0dw,https://api.spotify.com/v1/audio-analysis/6lX6l7OuA3qrnIRfdsr0dw,233453,4
16,THE HEARTBREAK v2,Rilès,2021-07-11,False,spotify:track:5xXMHq0eZJSPf9EaZivCoM,44,Edu,https://open.spotify.com/track/5xXMHq0eZJSPf9EaZivCoM,0.624,0.319,0,-9.035,0,0.0684,0.53,6.12e-06,0.106,0.377,156.172,audio_features,5xXMHq0eZJSPf9EaZivCoM,https://api.spotify.com/v1/tracks/5xXMHq0eZJSPf9EaZivCoM,https://api.spotify.com/v1/audio-analysis/5xXMHq0eZJSPf9EaZivCoM,210651,3
17,Goodbyes (feat. Young Thug),"['Post Malone', 'Young Thug']",2019-09-06,True,spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,77,Edu,https://open.spotify.com/track/0t3ZvGKlmYmVsDzBJAXK8C,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,audio_features,0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/tracks/0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/audio-analysis/0t3ZvGKlmYmVsDzBJAXK8C,174853,4
18,Bun Mi Heart,Mellow Mood,2015-04-07,False,spotify:track:5XFzqvGBZBy7rGvAndj0uJ,37,Edu,https://open.spotify.com/track/5XFzqvGBZBy7rGvAndj0uJ,0.788,0.304,4,-9.326,1,0.0665,0.881,0.0,0.107,0.378,120.082,audio_features,5XFzqvGBZBy7rGvAndj0uJ,https://api.spotify.com/v1/tracks/5XFzqvGBZBy7rGvAndj0uJ,https://api.spotify.com/v1/audio-analysis/5XFzqvGBZBy7rGvAndj0uJ,170086,4
19,"Sometimes You're The Hammer, Sometimes You're The Nail",A Day To Remember,2013-10-08,False,spotify:track:53v22kznEYmJ5QCZIPHD9u,56,Edu,https://open.spotify.com/track/53v22kznEYmJ5QCZIPHD9u,0.191,0.978,0,-4.629,0,0.221,0.0013,0.0,0.369,0.1,158.33,audio_features,53v22kznEYmJ5QCZIPHD9u,https://api.spotify.com/v1/tracks/53v22kznEYmJ5QCZIPHD9u,https://api.spotify.com/v1/audio-analysis/53v22kznEYmJ5QCZIPHD9u,274034,4
20,Lonely,Palaye Royale,2020-05-29,True,spotify:track:0haXiRi57j2xQo5a3WkzqV,66,Edu,https://open.spotify.com/track/0haXiRi57j2xQo5a3WkzqV,0.622,0.619,2,-6.4,0,0.0561,0.0624,0.0,0.081,0.483,147.965,audio_features,0haXiRi57j2xQo5a3WkzqV,https://api.spotify.com/v1/tracks/0haXiRi57j2xQo5a3WkzqV,https://api.spotify.com/v1/audio-analysis/0haXiRi57j2xQo5a3WkzqV,186250,4
21,Dreamland,Fox Stevenson,2019-09-06,False,spotify:track:0udIZ5gNmUHGrzaadmP4Wm,41,Edu,https://open.spotify.com/track/0udIZ5gNmUHGrzaadmP4Wm,0.413,0.879,11,-4.934,1,0.0747,0.000132,0.0,0.384,0.59,167.94,audio_features,0udIZ5gNmUHGrzaadmP4Wm,https://api.spotify.com/v1/tracks/0udIZ5gNmUHGrzaadmP4Wm,https://api.spotify.com/v1/audio-analysis/0udIZ5gNmUHGrzaadmP4Wm,241159,4
22,Lange her,"['CRO', 'Max Herre', 'Teesy']",2015-07-03,False,spotify:track:40UtAXchn1GhZYN5dpWQu7,41,Edu,https://open.spotify.com/track/40UtAXchn1GhZYN5dpWQu7,0.577,0.539,10,-9.865,0,0.0706,0.307,0.0,0.682,0.523,79.991,audio_features,40UtAXchn1GhZYN5dpWQu7,https://api.spotify.com/v1/tracks/40UtAXchn1GhZYN5dpWQu7,https://api.spotify.com/v1/audio-analysis/40UtAXchn1GhZYN5dpWQu7,338756,4
23,Getaway - Koven Remix,"['Tritonal', 'Angel Taylor', 'Koven']",2016-07-08,False,spotify:track:10EpXLXKHmNSVKvX7A5hg8,60,Edu,https://open.spotify.com/track/10EpXLXKHmNSVKvX7A5hg8,0.488,0.914,6,-2.875,0,0.223,0.00415,0.0,0.158,0.222,172.187,audio_features,10EpXLXKHmNSVKvX7A5hg8,https://api.spotify.com/v1/tracks/10EpXLXKHmNSVKvX7A5hg8,https://api.spotify.com/v1/audio-analysis/10EpXLXKHmNSVKvX7A5hg8,203721,4
24,THE GUILTY PARTY,While She Sleeps,2019-03-01,False,spotify:track:3TBZsSXbRhHQZeZPGjboiS,46,Edu,https://open.spotify.com/track/3TBZsSXbRhHQZeZPGjboiS,0.525,0.943,0,-5.652,0,0.0631,0.0029,7.37e-05,0.0698,0.184,108.972,audio_features,3TBZsSXbRhHQZeZPGjboiS,https://api.spotify.com/v1/tracks/3TBZsSXbRhHQZeZPGjboiS,https://api.spotify.com/v1/audio-analysis/3TBZsSXbRhHQZeZPGjboiS,266500,4
25,Panic Room - Culture Shock Remix,"['Au/Ra', 'Culture Shock']",2018-09-19,False,spotify:track:7yahqANoaeBiBRlMZQacCN,51,Edu,https://open.spotify.com/track/7yahqANoaeBiBRlMZQacCN,0.443,0.97,5,-1.591,0,0.0469,0.0116,0.016,0.121,0.161,173.85,audio_features,7yahqANoaeBiBRlMZQacCN,https://api.spotify.com/v1/tracks/7yahqANoaeBiBRlMZQacCN,https://api.spotify.com/v1/audio-analysis/7yahqANoaeBiBRlMZQacCN,286726,4
26,Panic Room - Culture Shock Remix,"['Au/Ra', 'Culture Shock']",2018-09-19,False,spotify:track:7yahqANoaeBiBRlMZQacCN,51,Edu,https://open.spotify.com/track/7yahqANoaeBiBRlMZQacCN,0.443,0.97,5,-1.591,0,0.0469,0.0116,0.016,0.121,0.161,173.85,audio_features,7yahqANoaeBiBRlMZQacCN,https://api.spotify.com/v1/tracks/7yahqANoaeBiBRlMZQacCN,https://api.spotify.com/v1/audio-analysis/7yahqANoaeBiBRlMZQacCN,286726,4
27,It's Alright,The Big Push,2019-03-29,False,spotify:track:5PBcNzOndRqvRHcV7kUxl7,43,Edu,https://open.spotify.com/track/5PBcNzOndRqvRHcV7kUxl7,0.869,0.349,4,-7.421,1,0.083,0.624,0.0,0.128,0.725,114.105,audio_features,5PBcNzOndRqvRHcV7kUxl7,https://api.spotify.com/v1/tracks/5PBcNzOndRqvRHcV7kUxl7,https://api.spotify.com/v1/audio-analysis/5PBcNzOndRqvRHcV7kUxl7,205658,4
28,Civil Isolation,While She Sleeps,2017-04-21,False,spotify:track:4G0xVyaKj7scq78enhzXwC,31,Edu,https://open.spotify.com/track/4G0xVyaKj7scq78enhzXwC,0.314,0.992,10,-3.916,0,0.18,0.00017,7.21e-06,0.0757,0.318,154.727,audio_features,4G0xVyaKj7scq78enhzXwC,https://api.spotify.com/v1/tracks/4G0xVyaKj7scq78enhzXwC,https://api.spotify.com/v1/audio-analysis/4G0xVyaKj7scq78enhzXwC,262695,4
29,The Rock Show,blink-182,2001,True,spotify:track:2ydUT1pFhuLDnouelIv4WH,68,Edu,https://open.spotify.com/track/2ydUT1pFhuLDnouelIv4WH,0.41,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.155,audio_features,2ydUT1pFhuLDnouelIv4WH,https://api.spotify.com/v1/tracks/2ydUT1pFhuLDnouelIv4WH,https://api.spotify.com/v1/audio-analysis/2ydUT1pFhuLDnouelIv4WH,171600,4
30,Marigold,Periphery,2016-07-22,True,spotify:track:2YZZ8qsDdvC008LgtpMoI6,45,Edu,https://open.spotify.com/track/2YZZ8qsDdvC008LgtpMoI6,0.211,0.949,0,-5.724,0,0.214,0.00222,0.000535,0.103,0.0642,105.578,audio_features,2YZZ8qsDdvC008LgtpMoI6,https://api.spotify.com/v1/tracks/2YZZ8qsDdvC008LgtpMoI6,https://api.spotify.com/v1/audio-analysis/2YZZ8qsDdvC008LgtpMoI6,439840,4
31,I Get Up,The Teskey Brothers,2018-10-26,False,spotify:track:2ySCTopr9tZ5qdz6MkrdjH,46,Edu,https://open.spotify.com/track/2ySCTopr9tZ5qdz6MkrdjH,0.735,0.559,11,-5.281,1,0.0347,0.659,0.0,0.133,0.659,115.645,audio_features,2ySCTopr9tZ5qdz6MkrdjH,https://api.spotify.com/v1/tracks/2ySCTopr9tZ5qdz6MkrdjH,https://api.spotify.com/v1/audio-analysis/2ySCTopr9tZ5qdz6MkrdjH,263813,3
32,Cut You Off,Smash Into Pieces,2021-07-02,False,spotify:track:2zFDvvxpjhOeueR1iapU9w,34,Edu,https://open.spotify.com/track/2zFDvvxpjhOeueR1iapU9w,0.542,0.71,1,-6.448,0,0.0355,0.01,0.00031,0.36,0.16,128.026,audio_features,2zFDvvxpjhOeueR1iapU9w,https://api.spotify.com/v1/tracks/2zFDvvxpjhOeueR1iapU9w,https://api.spotify.com/v1/audio-analysis/2zFDvvxpjhOeueR1iapU9w,166875,4
33,Wrecked,Imagine Dragons,2021-07-02,False,spotify:track:2d1MywHy6FwKdzxFuSJnwl,71,Edu,https://open.spotify.com/track/2d1MywHy6FwKdzxFuSJnwl,0.626,0.56,0,-5.82,0,0.0288,0.148,1.51e-05,0.109,0.229,93.989,audio_features,2d1MywHy6FwKdzxFuSJnwl,https://api.spotify.com/v1/tracks/2d1MywHy6FwKdzxFuSJnwl,https://api.spotify.com/v1/audio-analysis/2d1MywHy6FwKdzxFuSJnwl,244005,4
34,Migraine,Twenty One Pilots,2013-01-08,False,spotify:track:4rfaoyaZvNa60cj3OKSQV9,65,Edu,https://open.spotify.com/track/4rfaoyaZvNa60cj3OKSQV9,0.69,0.678,0,-6.52,1,0.154,0.11,0.0,0.246,0.409,173.995,audio_features,4rfaoyaZvNa60cj3OKSQV9,https://api.spotify.com/v1/tracks/4rfaoyaZvNa60cj3OKSQV9,https://api.spotify.com/v1/audio-analysis/4rfaoyaZvNa60cj3OKSQV9,239015,4
35,The Worst,Polyphia,2017-07-14,False,spotify:track:5l3WNlq4rag0fFP0TI9qeJ,53,Edu,https://open.spotify.com/track/5l3WNlq4rag0fFP0TI9qeJ,0.656,0.696,4,-5.935,0,0.0438,0.118,0.45,0.161,0.4,124.922,audio_features,5l3WNlq4rag0fFP0TI9qeJ,https://api.spotify.com/v1/tracks/5l3WNlq4rag0fFP0TI9qeJ,https://api.spotify.com/v1/audio-analysis/5l3WNlq4rag0fFP0TI9qeJ,245779,4
36,Overnight,Parcels,2017-06-21,False,spotify:track:1kgws2l8gsvDhtsVyzWbu9,0,Edu,https://open.spotify.com/track/1kgws2l8gsvDhtsVyzWbu9,0.81,0.818,8,-9.599,0,0.0511,0.343,0.0548,0.113,0.887,119.982,audio_features,1kgws2l8gsvDhtsVyzWbu9,https://api.spotify.com/v1/tracks/1kgws2l8gsvDhtsVyzWbu9,https://api.spotify.com/v1/audio-analysis/1kgws2l8gsvDhtsVyzWbu9,219603,4
37,Gemini,Thank You Scientist,2011-01-07,False,spotify:track:2LQjDAhUMqIWsje7Gk7suZ,24,Edu,https://open.spotify.com/track/2LQjDAhUMqIWsje7Gk7suZ,0.528,0.866,10,-6.454,1,0.0692,0.0627,0.0288,0.176,0.676,161.946,audio_features,2LQjDAhUMqIWsje7Gk7suZ,https://api.spotify.com/v1/tracks/2LQjDAhUMqIWsje7Gk7suZ,https://api.spotify.com/v1/audio-analysis/2LQjDAhUMqIWsje7Gk7suZ,434500,4
38,Gemini,Thank You Scientist,2011-01-07,False,spotify:track:2LQjDAhUMqIWsje7Gk7suZ,24,Edu,https://open.spotify.com/track/2LQjDAhUMqIWsje7Gk7suZ,0.528,0.866,10,-6.454,1,0.0692,0.0627,0.0288,0.176,0.676,161.946,audio_features,2LQjDAhUMqIWsje7Gk7suZ,https://api.spotify.com/v1/tracks/2LQjDAhUMqIWsje7Gk7suZ,https://api.spotify.com/v1/audio-analysis/2LQjDAhUMqIWsje7Gk7suZ,434500,4
39,Super Duper Love,Joss Stone,2003-01-01,False,spotify:track:30yn7KuCLbXGCXxjsB0C8K,62,Edu,https://open.spotify.com/track/30yn7KuCLbXGCXxjsB0C8K,0.69,0.767,11,-3.411,0,0.14,0.0207,0.0,0.131,0.668,187.993,audio_features,30yn7KuCLbXGCXxjsB0C8K,https://api.spotify.com/v1/tracks/30yn7KuCLbXGCXxjsB0C8K,https://api.spotify.com/v1/audio-analysis/30yn7KuCLbXGCXxjsB0C8K,260013,4
40,Not For Want Of Trying,Maybeshewill,2008,False,spotify:track:3q6h93qVhlvIycGOBYmAxO,36,Edu,https://open.spotify.com/track/3q6h93qVhlvIycGOBYmAxO,0.221,0.662,9,-3.306,1,0.0439,0.00507,0.478,0.0745,0.257,199.719,audio_features,3q6h93qVhlvIycGOBYmAxO,https://api.spotify.com/v1/tracks/3q6h93qVhlvIycGOBYmAxO,https://api.spotify.com/v1/audio-analysis/3q6h93qVhlvIycGOBYmAxO,333973,4
41,Two Shoes,The Cat Empire,2005-08-29,False,spotify:track:57LP4yVIIBkRLWbq0ETF4K,51,Edu,https://open.spotify.com/track/57LP4yVIIBkRLWbq0ETF4K,0.672,0.603,2,-7.777,0,0.0333,0.249,0.00277,0.127,0.655,113.194,audio_features,57LP4yVIIBkRLWbq0ETF4K,https://api.spotify.com/v1/tracks/57LP4yVIIBkRLWbq0ETF4K,https://api.spotify.com/v1/audio-analysis/57LP4yVIIBkRLWbq0ETF4K,313053,4
42,Chaos,Mutemath,2019-12-20,False,spotify:track:7oSS6aLPNVj1cnE9sc8FmI,14,Edu,https://open.spotify.com/track/7oSS6aLPNVj1cnE9sc8FmI,0.368,0.958,1,-4.463,0,0.117,0.000159,0.000718,0.339,0.541,180.083,audio_features,7oSS6aLPNVj1cnE9sc8FmI,https://api.spotify.com/v1/tracks/7oSS6aLPNVj1cnE9sc8FmI,https://api.spotify.com/v1/audio-analysis/7oSS6aLPNVj1cnE9sc8FmI,294973,4
43,Colors,Black Pumas,2019-06-21,False,spotify:track:6J3HNhDBIwEX11bX8hzx5u,63,Edu,https://open.spotify.com/track/6J3HNhDBIwEX11bX8hzx5u,0.546,0.696,4,-6.537,1,0.0335,0.0887,1.84e-05,0.195,0.596,89.882,audio_features,6J3HNhDBIwEX11bX8hzx5u,https://api.spotify.com/v1/tracks/6J3HNhDBIwEX11bX8hzx5u,https://api.spotify.com/v1/audio-analysis/6J3HNhDBIwEX11bX8hzx5u,246587,4
44,Misery Business,Paramore,2007-06-11,False,spotify:track:6SpLc7EXZIPpy0sVko0aoU,74,Edu,https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,audio_features,6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/tracks/6SpLc7EXZIPpy0sVko0aoU,https://api.spotify.com/v1/audio-analysis/6SpLc7EXZIPpy0sVko0aoU,211520,4
45,Fallen Leaves,Billy Talent,2006-06-23,False,spotify:track:3jUTjCISntIUFL8jnAjzgc,64,Edu,https://open.spotify.com/track/3jUTjCISntIUFL8jnAjzgc,0.71,0.811,3,-4.079,1,0.0431,0.00105,2.08e-06,0.0677,0.914,123.048,audio_features,3jUTjCISntIUFL8jnAjzgc,https://api.spotify.com/v1/tracks/3jUTjCISntIUFL8jnAjzgc,https://api.spotify.com/v1/audio-analysis/3jUTjCISntIUFL8jnAjzgc,199200,4
46,New Perspective,Panic! At The Disco,2009-07-28,False,spotify:track:1AT5viFqaGU9Hu5smdNlgB,53,Edu,https://open.spotify.com/track/1AT5viFqaGU9Hu5smdNlgB,0.367,0.881,7,-4.752,1,0.127,0.00313,0.0,0.185,0.514,164.028,audio_features,1AT5viFqaGU9Hu5smdNlgB,https://api.spotify.com/v1/tracks/1AT5viFqaGU9Hu5smdNlgB,https://api.spotify.com/v1/audio-analysis/1AT5viFqaGU9Hu5smdNlgB,226787,4
47,Unstoppable - Stripped,The Score,2017-10-13,False,spotify:track:1IPCp2nxIIcFVuJuJpIq3w,36,Edu,https://open.spotify.com/track/1IPCp2nxIIcFVuJuJpIq3w,0.676,0.444,6,-7.527,0,0.0358,0.0261,1.09e-05,0.0761,0.389,78.012,audio_features,1IPCp2nxIIcFVuJuJpIq3w,https://api.spotify.com/v1/tracks/1IPCp2nxIIcFVuJuJpIq3w,https://api.spotify.com/v1/audio-analysis/1IPCp2nxIIcFVuJuJpIq3w,197560,4
48,Guillotine,"['Jon Bellion', 'Travis Mendes']",2016-06-10,False,spotify:track:2p2aCtErYX6UaFxyfpVvWC,51,Edu,https://open.spotify.com/track/2p2aCtErYX6UaFxyfpVvWC,0.574,0.803,4,-3.17,0,0.186,0.102,4.15e-06,0.0861,0.647,97.967,audio_features,2p2aCtErYX6UaFxyfpVvWC,https://api.spotify.com/v1/tracks/2p2aCtErYX6UaFxyfpVvWC,https://api.spotify.com/v1/audio-analysis/2p2aCtErYX6UaFxyfpVvWC,208125,4
49,Break My Baby,KALEO,2020-04-17,False,spotify:track:3jxhrvttYoLm3BPfL37gcI,32,Edu,https://open.spotify.com/track/3jxhrvttYoLm3BPfL37gcI,0.529,0.755,10,-3.917,0,0.0383,0.106,0.000607,0.157,0.383,73.998,audio_features,3jxhrvttYoLm3BPfL37gcI,https://api.spotify.com/v1/tracks/3jxhrvttYoLm3BPfL37gcI,https://api.spotify.com/v1/audio-analysis/3jxhrvttYoLm3BPfL37gcI,265558,4
50,A Little Piece of Heaven,Avenged Sevenfold,2007-10-26,True,spotify:track:1BLfQ6dPXmuDrFmbdfW7Jl,66,Edu,https://open.spotify.com/track/1BLfQ6dPXmuDrFmbdfW7Jl,0.486,0.881,2,-5.623,0,0.0474,0.0244,0.0,0.429,0.667,144.997,audio_features,1BLfQ6dPXmuDrFmbdfW7Jl,https://api.spotify.com/v1/tracks/1BLfQ6dPXmuDrFmbdfW7Jl,https://api.spotify.com/v1/audio-analysis/1BLfQ6dPXmuDrFmbdfW7Jl,480707,4
51,Renegades,X Ambassadors,2015-06-30,False,spotify:track:46GGxd8TVRt6FjUBfCavVT,0,Edu,https://open.spotify.com/track/46GGxd8TVRt6FjUBfCavVT,0.514,0.858,2,-5.995,1,0.0896,0.0127,0.0528,0.251,0.6,89.833,audio_features,46GGxd8TVRt6FjUBfCavVT,https://api.spotify.com/v1/tracks/46GGxd8TVRt6FjUBfCavVT,https://api.spotify.com/v1/audio-analysis/46GGxd8TVRt6FjUBfCavVT,195199,4
52,Down South,"['Jeremy Loops', 'Motheo Moleko']",2016-02-26,False,spotify:track:56kZQdPc8OUBytyxqCwhXG,0,Edu,https://open.spotify.com/track/56kZQdPc8OUBytyxqCwhXG,0.559,0.779,1,-5.525,1,0.0588,0.0835,0.0,0.191,0.677,84.862,audio_features,56kZQdPc8OUBytyxqCwhXG,https://api.spotify.com/v1/tracks/56kZQdPc8OUBytyxqCwhXG,https://api.spotify.com/v1/audio-analysis/56kZQdPc8OUBytyxqCwhXG,241107,4
53,Holding on to You,Twenty One Pilots,2013-01-08,False,spotify:track:3C3cr2JQwXIhqAHqOardVO,64,Edu,https://open.spotify.com/track/3C3cr2JQwXIhqAHqOardVO,0.608,0.776,11,-3.635,1,0.0511,0.241,0.0,0.0713,0.814,89.996,audio_features,3C3cr2JQwXIhqAHqOardVO,https://api.spotify.com/v1/tracks/3C3cr2JQwXIhqAHqOardVO,https://api.spotify.com/v1/audio-analysis/3C3cr2JQwXIhqAHqOardVO,263733,4
