,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,ic5,avggift
46,TN,F,399.0,307.0,315.0,336.0,352.0,11428.0,6.818181818
47,CA,F,770.0,312.0,637.0,652.0,663.0,19545.0,9.111111111
48,CA,F,2016.0,431.0,465.0,459.0,497.0,17882.0,8.75
49,CO,F,933.0,289.0,332.0,349.0,379.0,14104.0,8.142857143
50,NM,F,619.0,215.0,222.0,260.0,268.0,10427.0,12.8
51,LA,F,960.0,479.0,526.0,548.0,613.0,19518.0,15.2
52,CO,M,1236.0,622.0,630.0,357.0,737.0,25882.0,6.076923077
53,AZ,M,473.0,164.0,179.0,207.0,215.0,9819.0,5.5
54,IL,F,1055.0,366.0,462.0,379.0,400.0,14056.0,20.8
55,IL,F,1509.0,545.0,617.0,599.0,680.0,23170.0,9.0
56,TN,M,927.0,299.0,322.0,372.0,410.0,14428.0,5.0
57,CA,F,2098.0,312.0,311.0,352.0,368.0,13564.0,6.076923077
58,AZ,M,770.0,411.0,516.0,535.0,640.0,14056.0,7.933333333
59,MO,M,1110.0,460.0,544.0,538.0,624.0,14056.0,7.264705882
60,FL,F,581.0,349.0,361.0,359.0,373.0,9667.0,9.857142857
61,LA,M,563.0,259.0,301.0,308.0,342.0,14056.0,10.18181818
62,NM,F,740.0,240.0,288.0,294.0,324.0,10701.0,5.0
63,IA,F,516.0,332.0,378.0,347.0,379.0,13293.0,12.33333333
64,MN,M,575.0,249.0,282.0,290.0,316.0,14056.0,10.0
65,CA,M,770.0,511.0,540.0,570.0,609.0,23786.0,13.66666667
66,SC,M,645.0,304.0,360.0,306.0,376.0,6826.0,10.875
67,FL,M,825.0,233.0,239.0,290.0,301.0,9747.0,20.0
68,IN,M,531.0,246.0,278.0,272.0,290.0,14056.0,10.0
69,KY,F,195.0,131.0,148.0,159.0,179.0,5727.0,4.302325581
70,KY,F,423.0,293.0,297.0,274.0,279.0,14056.0,6.055555556
71,CA,F,770.0,629.0,684.0,662.0,734.0,24424.0,15.0
72,OK,F,359.0,220.0,247.0,270.0,299.0,13024.0,20.0
73,CA,F,889.0,398.0,488.0,450.0,495.0,13782.0,5.846153846
74,FL,M,824.0,248.0,274.0,288.0,326.0,15008.0,10.15384615
75,CA,M,1993.0,442.0,360.0,484.0,520.0,14056.0,10.83333333
76,TX,F,618.0,312.0,310.0,302.0,394.0,14056.0,10.25
77,NE,F,151.0,180.0,208.0,230.0,273.0,9138.0,2.361111111
78,MI,M,492.0,272.0,370.0,317.0,402.0,14442.0,14.57142857
79,AR,F,892.0,380.0,406.0,426.0,468.0,19444.0,17.0
80,GA,F,948.0,531.0,530.0,585.0,584.0,19537.0,5.484848485
81,LA,F,717.0,190.0,313.0,235.0,302.0,10888.0,10.0
82,MI,M,612.0,330.0,326.0,392.0,400.0,13162.0,10.0
83,WA,F,919.0,338.0,337.0,349.0,346.0,12507.0,8.214285714
84,WA,M,697.0,317.0,364.0,337.0,406.0,13561.0,10.0
85,CA,F,770.0,312.0,701.0,357.0,402.0,26199.0,11.44444444
86,KS,F,513.0,312.0,434.0,436.0,482.0,20842.0,6.07675
87,CA,F,1848.0,505.0,515.0,560.0,581.0,14056.0,5.684210526
88,CA,M,1417.0,406.0,341.0,519.0,508.0,18590.0,14.11111111
89,IL,F,347.0,210.0,255.0,229.0,286.0,10356.0,8.076923077
90,NC,M,994.0,404.0,475.0,485.0,530.0,17420.0,13.77777778
91,NC,M,797.0,377.0,418.0,423.0,451.0,14056.0,7.769230769
92,IN,M,791.0,361.0,407.0,390.0,428.0,13805.0,10.0
93,FL,F,957.0,408.0,399.0,450.0,459.0,17718.0,15.0
94,MN,F,357.0,164.0,214.0,215.0,254.0,8443.0,10.0
95,CA,F,896.0,336.0,362.0,389.0,418.0,14513.0,20.0
96,AL,F,402.0,232.0,249.0,276.0,300.0,14056.0,10.0
97,MI,M,294.0,279.0,355.0,391.0,404.0,14056.0,17.5
98,IN,F,1199.0,547.0,556.0,597.0,605.0,20694.0,10.0
99,CA,F,1125.0,280.0,336.0,305.0,362.0,10857.0,5.714285714
100,GA,M,316.0,213.0,238.0,254.0,280.0,8956.0,12.5
101,MO,F,825.0,401.0,463.0,464.0,555.0,14056.0,10.0
102,TX,F,642.0,271.0,284.0,306.0,312.0,9453.0,6.142857143
103,IN,M,1263.0,468.0,517.0,548.0,601.0,26265.0,10.0
104,CA,F,1809.0,454.0,466.0,503.0,543.0,15886.0,8.0
105,NV,F,1161.0,448.0,484.0,536.0,570.0,14056.0,5.75
106,OK,F,295.0,150.0,203.0,195.0,248.0,8962.0,6.333333333
107,CO,F,431.0,258.0,342.0,386.0,541.0,25828.0,8.571428571
108,MO,F,544.0,264.0,283.0,326.0,340.0,16194.0,10.0
109,FL,M,618.0,223.0,278.0,278.0,335.0,13341.0,7.846153846
110,GA,M,323.0,183.0,207.0,201.0,210.0,7139.0,5.444444444
111,CA,F,2135.0,417.0,417.0,433.0,456.0,18907.0,8.2
112,GA,M,671.0,287.0,365.0,372.0,441.0,16517.0,4.888888889
113,MI,F,510.0,228.0,370.0,324.0,394.0,14056.0,10.8
114,CA,F,650.0,302.0,302.0,315.0,318.0,7080.0,8.666666667
115,MN,F,487.0,248.0,287.0,286.0,327.0,10792.0,12.72727273
116,CA,F,770.0,288.0,305.0,353.0,376.0,23046.0,7.523809524
117,FL,M,884.0,242.0,268.0,271.0,313.0,13491.0,4.428571429
118,MN,F,753.0,341.0,393.0,373.0,442.0,15502.0,8.4
119,WI,M,627.0,367.0,427.0,394.0,444.0,15350.0,7.5
120,WI,M,806.0,331.0,420.0,382.0,447.0,15120.0,13.2
121,CA,M,1401.0,441.0,445.0,462.0,466.0,15438.0,5.0
122,CO,M,593.0,163.0,180.0,357.0,230.0,9520.0,12.5
123,FL,F,915.0,308.0,357.0,367.0,438.0,17783.0,13.0
124,NE,F,456.0,258.0,311.0,314.0,381.0,13411.0,7.285714286
125,IN,M,610.0,319.0,336.0,384.0,407.0,11815.0,4.625
126,FL,M,1229.0,469.0,502.0,507.0,544.0,17313.0,8.4
127,FL,M,428.0,140.0,196.0,171.0,208.0,9064.0,9.769230769
128,IL,F,770.0,316.0,643.0,420.0,744.0,14056.0,7.307692308
129,NC,M,707.0,383.0,400.0,398.0,433.0,13852.0,9.333333333
130,OR,F,377.0,171.0,199.0,219.0,187.0,21980.0,16.66666667
131,CA,F,1624.0,380.0,382.0,407.0,408.0,9685.0,5.0
132,MI,F,348.0,184.0,269.0,264.0,316.0,11686.0,10.0
133,CA,F,1878.0,523.0,526.0,564.0,566.0,16084.0,10.0
134,IL,F,777.0,378.0,386.0,396.0,423.0,14106.0,17.8
135,IL,F,1463.0,117.0,439.0,266.0,523.0,13344.0,12.16666667
136,TX,M,375.0,153.0,214.0,206.0,248.0,7798.0,5.347826087
137,IN,F,561.0,302.0,301.0,323.0,331.0,10873.0,10.0
138,NC,M,502.0,199.0,250.0,229.0,261.0,8726.0,7.875
139,IN,M,800.0,283.0,398.0,338.0,425.0,15160.0,16.6
140,CO,M,1472.0,625.0,653.0,687.0,732.0,14056.0,15.21428571
141,KY,F,492.0,332.0,450.0,425.0,471.0,21410.0,8.4375
142,IL,F,609.0,314.0,347.0,349.0,385.0,11360.0,6.666666667
143,CA,F,770.0,604.0,610.0,659.0,669.0,20529.0,9.5
144,CA,M,770.0,581.0,591.0,614.0,651.0,21559.0,10.25
145,FL,F,696.0,272.0,357.0,358.0,427.0,16474.0,3.3
146,FL,M,762.0,254.0,355.0,327.0,411.0,17458.0,10.0
147,NE,F,441.0,260.0,321.0,300.0,353.0,12452.0,5.279069767
148,IN,F,502.0,319.0,363.0,341.0,388.0,12989.0,15.66666667
149,IN,M,673.0,284.0,330.0,335.0,373.0,15149.0,13.45454546
150,FL,F,1173.0,322.0,424.0,407.0,494.0,18738.0,4.125
151,FL,F,934.0,323.0,373.0,376.0,400.0,9980.0,10.0
152,FL,M,1332.0,357.0,411.0,422.0,497.0,21444.0,9.576923077
153,CO,F,649.0,238.0,273.0,272.0,302.0,10417.0,5.411764706
154,OK,F,590.0,410.0,439.0,433.0,456.0,13115.0,13.0
155,TX,F,500.0,291.0,316.0,314.0,379.0,19609.0,11.5
156,FL,M,368.0,230.0,271.0,261.0,295.0,9547.0,10.7
157,TX,M,427.0,315.0,365.0,340.0,377.0,14056.0,9.0
158,CA,F,1458.0,173.0,191.0,220.0,249.0,8381.0,4.243243243
159,TX,M,274.0,154.0,214.0,199.0,256.0,8881.0,10.0
160,KY,F,584.0,274.0,287.0,336.0,341.0,15105.0,10.0
161,IL,F,553.0,306.0,309.0,333.0,348.0,9296.0,8.916666667
162,CA,M,770.0,361.0,304.0,386.0,358.0,14300.0,12.5
163,CA,F,1778.0,411.0,480.0,439.0,503.0,18236.0,10.0
164,CA,F,1187.0,328.0,366.0,393.0,428.0,13978.0,10.81481482
165,TX,F,1448.0,651.0,667.0,698.0,724.0,24736.0,10.0
166,AL,M,712.0,377.0,398.0,446.0,472.0,15013.0,14.2
167,FL,M,1432.0,636.0,693.0,680.0,402.0,14056.0,10.0
168,CA,F,770.0,312.0,557.0,562.0,661.0,14056.0,8.222222222
169,CA,F,770.0,312.0,385.0,484.0,537.0,18525.0,6.538461539
170,TX,F,535.0,244.0,437.0,317.0,402.0,17053.0,9.8125
171,IL,M,662.0,352.0,406.0,394.0,456.0,13460.0,12.5
172,CA,F,770.0,576.0,591.0,624.0,654.0,14056.0,7.25
173,CA,F,770.0,631.0,647.0,657.0,679.0,22571.0,9.769230769
174,TX,F,1274.0,312.0,360.0,357.0,402.0,26360.0,6.409090909
175,WI,M,840.0,458.0,471.0,513.0,548.0,20327.0,15.0
176,WA,F,1024.0,312.0,451.0,446.0,472.0,13462.0,10.5
177,IL,F,1667.0,541.0,603.0,592.0,624.0,21458.0,13.33333333
178,WA,F,843.0,423.0,424.0,475.0,486.0,16476.0,10.72727273
179,GA,F,583.0,360.0,374.0,405.0,434.0,24198.0,9.666666667
180,CA,M,1801.0,495.0,534.0,475.0,525.0,18663.0,19.47058824
181,AL,F,863.0,406.0,527.0,459.0,562.0,19862.0,9.153846154
182,OR,M,335.0,140.0,157.0,154.0,170.0,6682.0,10.0
183,TX,F,1362.0,575.0,645.0,627.0,718.0,21447.0,8.533333333
184,IL,F,562.0,360.0,480.0,388.0,474.0,12391.0,20.0
185,FL,M,1287.0,479.0,508.0,567.0,616.0,20795.0,4.105769231
186,TN,F,476.0,210.0,254.0,272.0,310.0,10171.0,13.0
187,AL,F,648.0,353.0,418.0,357.0,453.0,16873.0,7.0
188,CA,M,1862.0,365.0,372.0,401.0,425.0,10521.0,17.85714286
189,CA,F,1843.0,515.0,511.0,575.0,582.0,14056.0,19.0
190,OK,F,1537.0,312.0,360.0,357.0,402.0,14056.0,11.0625
191,WA,F,719.0,330.0,340.0,389.0,416.0,14248.0,10.0
192,TX,M,1951.0,312.0,360.0,357.0,402.0,14056.0,9.333333333
193,FL,M,1434.0,388.0,479.0,513.0,577.0,18405.0,18.0
194,IA,M,206.0,229.0,251.0,267.0,288.0,9248.0,11.66666667
195,MI,M,613.0,146.0,267.0,209.0,349.0,13209.0,17.5
196,GA,F,991.0,493.0,506.0,532.0,548.0,17344.0,7.769230769
197,MI,F,900.0,343.0,420.0,386.0,465.0,16254.0,13.31818182
198,NV,F,1163.0,468.0,493.0,511.0,548.0,18824.0,10.0
199,TX,M,430.0,237.0,283.0,281.0,320.0,10269.0,12.0
200,FL,F,1380.0,260.0,325.0,357.0,371.0,13011.0,7.875
201,CA,F,1518.0,150.0,171.0,208.0,218.0,5043.0,5.055555556
202,WA,M,1390.0,426.0,430.0,463.0,470.0,15022.0,18.0
203,MO,M,1224.0,575.0,577.0,608.0,611.0,18029.0,2.8125
204,IL,F,182.0,171.0,217.0,242.0,278.0,9240.0,10.26666667
205,OR,F,786.0,419.0,452.0,444.0,466.0,15010.0,4.555555556
206,TX,M,308.0,161.0,186.0,204.0,219.0,6576.0,4.5
207,OR,F,1074.0,232.0,252.0,294.0,309.0,15070.0,10.04347826
208,AZ,M,885.0,367.0,408.0,417.0,454.0,21767.0,9.714285714
209,CA,F,770.0,371.0,363.0,411.0,402.0,15361.0,4.142857143
210,LA,M,657.0,265.0,293.0,303.0,325.0,14056.0,9.472222222
211,IN,F,581.0,369.0,372.0,369.0,383.0,12835.0,10.0
212,MO,M,548.0,262.0,355.0,298.0,342.0,12621.0,15.0
213,FL,M,819.0,348.0,388.0,421.0,459.0,15958.0,7.090909091
214,IL,F,613.0,212.0,245.0,294.0,355.0,11792.0,6.0
215,IN,F,431.0,280.0,314.0,310.0,347.0,11052.0,8.235294118
216,FL,M,710.0,254.0,287.0,325.0,391.0,15970.0,7.285714286
217,MI,F,365.0,98.0,310.0,221.0,330.0,9470.0,10.0
218,SC,F,682.0,366.0,464.0,421.0,498.0,14538.0,9.666666667
219,CA,M,1676.0,371.0,336.0,398.0,372.0,13231.0,5.571428571
220,IN,F,445.0,332.0,398.0,370.0,423.0,13662.0,14.55555556
221,TX,F,588.0,316.0,383.0,344.0,381.0,14293.0,22.6
222,MI,F,413.0,95.0,171.0,123.0,231.0,9020.0,10.16666667
223,IN,F,522.0,225.0,349.0,326.0,403.0,13669.0,12.0
224,WI,F,667.0,293.0,385.0,334.0,422.0,17527.0,15.0
225,WI,F,303.0,175.0,217.0,219.0,253.0,7115.0,10.375
226,OK,M,633.0,399.0,442.0,439.0,517.0,17637.0,13.16666667
227,SC,F,391.0,214.0,243.0,242.0,269.0,9853.0,14.0
228,TX,F,707.0,246.0,283.0,291.0,327.0,15322.0,5.25
229,AL,M,453.0,219.0,264.0,263.0,299.0,14056.0,7.0
230,IL,M,1315.0,328.0,384.0,398.0,472.0,15767.0,4.818181818
231,CA,F,668.0,187.0,191.0,239.0,240.0,6845.0,6.0
232,SC,M,399.0,221.0,266.0,259.0,302.0,10150.0,13.90909091
233,TX,F,289.0,171.0,226.0,224.0,283.0,9765.0,9.214285714
234,CA,F,1796.0,266.0,271.0,334.0,337.0,10720.0,20.0
235,FL,M,625.0,259.0,282.0,299.0,309.0,11072.0,17.14285714
236,CA,F,978.0,290.0,324.0,349.0,381.0,13490.0,15.85
237,MO,M,367.0,159.0,186.0,193.0,222.0,8893.0,3.166666667
238,AR,M,376.0,178.0,195.0,231.0,256.0,8246.0,9.411764706
239,WI,F,937.0,321.0,441.0,433.0,545.0,18567.0,15.0
240,NE,F,232.0,197.0,259.0,229.0,280.0,9480.0,6.928571429
241,MI,F,545.0,364.0,382.0,400.0,416.0,14056.0,8.6
242,WI,F,458.0,228.0,270.0,276.0,318.0,10731.0,13.4
243,FL,M,814.0,271.0,268.0,312.0,324.0,10488.0,16.4
244,KS,F,671.0,320.0,340.0,349.0,376.0,12950.0,10.0
245,WI,F,452.0,293.0,316.0,339.0,371.0,10979.0,6.34
246,OR,M,826.0,314.0,348.0,390.0,426.0,14958.0,9.1875
247,GA,M,860.0,324.0,351.0,346.0,375.0,15491.0,11.33333333
248,MI,F,185.0,277.0,283.0,312.0,286.0,14056.0,8.787878788
249,FL,M,576.0,200.0,280.0,244.0,324.0,12518.0,12.90909091
250,CA,M,770.0,563.0,579.0,655.0,402.0,24290.0,10.89473684
251,MI,M,388.0,364.0,410.0,413.0,433.0,12601.0,10.0
252,TX,F,1680.0,312.0,360.0,357.0,402.0,14056.0,5.076923077
253,NC,M,1128.0,312.0,467.0,442.0,481.0,15936.0,14.5
254,IL,F,916.0,434.0,421.0,458.0,457.0,12450.0,18.46153846
255,IL,F,340.0,185.0,228.0,235.0,275.0,10719.0,10.0
256,TX,M,711.0,322.0,353.0,360.0,378.0,12630.0,11.95454546
257,NC,F,412.0,215.0,259.0,271.0,315.0,9706.0,6.444444444
258,TX,F,893.0,443.0,463.0,508.0,527.0,17519.0,9.25
259,CA,M,644.0,191.0,222.0,243.0,272.0,9569.0,11.44444444
260,KS,F,440.0,219.0,261.0,260.0,288.0,10985.0,12.0
261,WI,F,363.0,76.0,127.0,115.0,158.0,9086.0,15.0
262,CA,F,1745.0,397.0,512.0,485.0,521.0,18427.0,8.0
263,NE,F,672.0,302.0,416.0,348.0,449.0,14981.0,6.631578947
264,SC,F,1419.0,312.0,697.0,700.0,741.0,23212.0,10.0
265,FL,F,1938.0,483.0,360.0,629.0,402.0,14056.0,12.33333333
266,CA,F,1495.0,323.0,334.0,348.0,351.0,14923.0,5.714285714
267,MI,M,561.0,351.0,353.0,368.0,373.0,14056.0,8.75
268,FL,M,1869.0,452.0,542.0,553.0,640.0,14056.0,3.818181818
269,SC,F,1015.0,478.0,500.0,516.0,533.0,17763.0,7.0
270,TN,F,736.0,331.0,390.0,379.0,432.0,16926.0,8.666666667
271,MS,M,363.0,156.0,193.0,214.0,244.0,7079.0,8.4
272,GA,F,803.0,423.0,512.0,467.0,508.0,19029.0,11.66666667
273,CA,F,1818.0,258.0,316.0,299.0,402.0,10324.0,10.0
274,KY,F,640.0,381.0,414.0,403.0,450.0,15499.0,6.928571429
275,WA,F,698.0,355.0,377.0,393.0,416.0,13184.0,8.5
276,CA,F,1449.0,378.0,439.0,395.0,470.0,16190.0,15.0
277,NV,F,1557.0,290.0,311.0,342.0,361.0,13837.0,10.5
278,TX,F,518.0,223.0,256.0,273.0,302.0,10041.0,4.583333333
279,CA,F,1180.0,232.0,248.0,277.0,307.0,7582.0,9.666666667
280,WA,M,511.0,268.0,309.0,317.0,354.0,12388.0,16.0
281,CA,M,770.0,630.0,668.0,686.0,745.0,24945.0,14.16666667
282,CA,F,1514.0,325.0,451.0,439.0,517.0,18572.0,11.4
283,NC,F,444.0,260.0,296.0,357.0,341.0,11387.0,8.958333333
284,IN,F,444.0,270.0,318.0,310.0,364.0,13896.0,12.69230769
285,FL,F,985.0,480.0,495.0,487.0,506.0,15195.0,15.2
286,MN,F,280.0,249.0,282.0,277.0,304.0,10337.0,3.6
287,FL,M,714.0,390.0,465.0,437.0,507.0,18391.0,10.0
288,CA,F,1854.0,289.0,377.0,339.0,402.0,11567.0,23.0
289,CA,F,770.0,574.0,587.0,653.0,677.0,14056.0,9.828571429
290,CA,F,1538.0,319.0,305.0,349.0,351.0,11046.0,10.0
291,CA,F,1528.0,327.0,358.0,370.0,391.0,13190.0,19.16666667
292,TX,F,605.0,272.0,313.0,335.0,364.0,10897.0,10.0
293,IL,F,1165.0,391.0,518.0,454.0,533.0,22667.0,7.0
294,TX,F,439.0,255.0,262.0,357.0,294.0,9346.0,12.4
295,NE,F,681.0,387.0,422.0,428.0,477.0,13753.0,15.0
296,CA,F,1865.0,256.0,295.0,317.0,362.0,16069.0,10.0
297,TX,M,225.0,157.0,204.0,217.0,263.0,8947.0,18.08333333
298,MI,M,258.0,216.0,244.0,245.0,274.0,8231.0,5.454545455
299,CA,M,770.0,546.0,563.0,612.0,620.0,19923.0,9.785714286
300,WI,M,1438.0,619.0,691.0,357.0,402.0,14056.0,11.7
301,TN,M,403.0,209.0,223.0,213.0,244.0,9078.0,8.619047619
302,FL,M,1442.0,369.0,394.0,445.0,488.0,26462.0,7.846153846
303,NC,F,660.0,282.0,291.0,327.0,335.0,10743.0,5.5
304,CA,F,770.0,340.0,375.0,379.0,444.0,19170.0,10.0
305,MI,F,1115.0,512.0,582.0,517.0,619.0,20171.0,3.857142857
306,TX,F,761.0,321.0,347.0,351.0,354.0,12145.0,10.81818182
307,CA,F,770.0,372.0,454.0,456.0,491.0,24747.0,15.0
308,MN,M,966.0,418.0,463.0,479.0,569.0,22845.0,7.363636364
309,CA,F,2024.0,352.0,400.0,392.0,427.0,11885.0,8.631578947
310,MO,M,703.0,314.0,357.0,350.0,376.0,12799.0,16.5
311,FL,M,1286.0,500.0,502.0,542.0,551.0,19082.0,15.0
312,TX,F,758.0,390.0,397.0,448.0,461.0,14397.0,7.857142857
313,CA,F,657.0,169.0,216.0,220.0,254.0,9583.0,8.666666667
314,NE,M,581.0,315.0,368.0,378.0,411.0,16473.0,10.85714286
315,CA,F,2019.0,312.0,423.0,478.0,512.0,12623.0,20.0
316,CA,M,1247.0,321.0,358.0,357.0,385.0,10994.0,7.376458333
317,FL,F,559.0,312.0,277.0,244.0,278.0,14056.0,7.136363636
318,AZ,M,687.0,369.0,375.0,390.0,403.0,9781.0,7.181818182
319,AL,M,582.0,217.0,363.0,275.0,375.0,12588.0,16.0
320,MI,M,690.0,419.0,451.0,468.0,490.0,14056.0,12.33333333
321,CA,F,988.0,169.0,246.0,247.0,344.0,9190.0,6.25
322,CA,F,1500.0,282.0,353.0,332.0,382.0,13859.0,5.24
323,CA,F,1650.0,219.0,225.0,304.0,319.0,12994.0,12.5
324,MI,F,357.0,205.0,268.0,260.0,303.0,9192.0,20.0
325,TX,M,406.0,186.0,226.0,183.0,203.0,8797.0,5.7
326,TN,F,871.0,464.0,501.0,503.0,539.0,14056.0,9.1
327,FL,M,768.0,256.0,310.0,323.0,385.0,13696.0,16.75
328,MI,M,458.0,312.0,241.0,308.0,323.0,12539.0,12.16666667
329,IN,M,485.0,344.0,382.0,402.0,422.0,17697.0,8.0
330,MN,F,405.0,212.0,267.0,261.0,309.0,9715.0,5.923076923
331,MO,F,459.0,240.0,253.0,272.0,299.0,9637.0,6.294117647
332,OR,M,811.0,324.0,394.0,395.0,463.0,16399.0,10.0
333,NC,M,509.0,248.0,254.0,288.0,282.0,9114.0,7.142857143
334,IL,F,1030.0,375.0,553.0,357.0,585.0,17204.0,12.0
335,IL,F,881.0,392.0,393.0,414.0,437.0,14377.0,6.153846154
336,CA,M,770.0,637.0,630.0,671.0,678.0,23035.0,10.0
337,CA,M,931.0,155.0,192.0,180.0,222.0,7968.0,5.571428571
338,IA,F,529.0,317.0,340.0,319.0,326.0,12494.0,10.5
339,IL,F,1897.0,406.0,519.0,476.0,664.0,14056.0,10.0
340,CA,F,641.0,123.0,168.0,236.0,279.0,8046.0,9.462962963
341,FL,M,715.0,247.0,283.0,317.0,342.0,15360.0,14.86666667
342,MS,F,440.0,205.0,238.0,249.0,280.0,8314.0,7.166666667
343,OR,M,532.0,436.0,436.0,486.0,428.0,12734.0,10.0
344,WA,F,876.0,335.0,409.0,426.0,481.0,15179.0,8.3
345,CA,M,1175.0,272.0,318.0,376.0,396.0,12987.0,10.25
346,FL,F,919.0,413.0,538.0,446.0,532.0,17653.0,8.307692308
347,FL,M,734.0,310.0,348.0,365.0,399.0,12868.0,16.5
348,SC,M,468.0,228.0,300.0,278.0,326.0,10910.0,21.5
349,FL,M,583.0,302.0,317.0,343.0,362.0,14056.0,4.0
350,IL,M,314.0,206.0,224.0,236.0,280.0,10245.0,13.33333333
351,FL,F,671.0,341.0,354.0,363.0,385.0,12982.0,6.25
352,IA,M,550.0,288.0,344.0,303.0,349.0,13538.0,9.642857143
353,MI,F,609.0,410.0,551.0,490.0,540.0,23275.0,13.23076923
354,CA,F,1650.0,397.0,404.0,477.0,479.0,15002.0,15.0
355,FL,F,1979.0,350.0,640.0,526.0,738.0,14056.0,16.0
356,MI,F,473.0,302.0,364.0,319.0,409.0,13445.0,10.0
357,TN,F,475.0,226.0,260.0,357.0,261.0,8709.0,15.0
358,CO,F,872.0,418.0,424.0,458.0,482.0,15287.0,10.83333333
359,IL,M,1075.0,366.0,449.0,373.0,455.0,14394.0,10.10526316
360,MO,F,580.0,310.0,322.0,347.0,374.0,14056.0,10.75
361,TN,M,325.0,119.0,133.0,188.0,210.0,8856.0,6.363636364
362,CA,M,1276.0,423.0,524.0,497.0,521.0,17032.0,5.5
363,MI,F,438.0,267.0,302.0,287.0,314.0,10329.0,12.25
364,IN,F,386.0,258.0,301.0,313.0,358.0,12513.0,11.66666667
365,CA,F,770.0,403.0,459.0,449.0,502.0,18284.0,6.266666667
366,FL,M,1464.0,305.0,413.0,377.0,472.0,22648.0,4.0
367,TN,F,1052.0,482.0,499.0,516.0,541.0,20492.0,20.0
368,GA,F,998.0,488.0,550.0,581.0,602.0,14056.0,6.25
369,GA,F,821.0,390.0,475.0,425.0,526.0,19734.0,17.1875
370,CA,F,770.0,311.0,345.0,350.0,375.0,16133.0,5.533333333
371,IL,M,1852.0,550.0,561.0,602.0,614.0,17690.0,7.368421053
372,WA,F,663.0,205.0,220.0,357.0,277.0,10959.0,13.24
373,TX,F,2056.0,312.0,360.0,357.0,402.0,14056.0,7.2
