,customerid,invoiceno,invoicedate,stockcode,description,quantity,unitprice,revenue,country,nullid,desciption_cambiada,fecha,coordenadas,precio_total
78,12705,578509,2011-11-24 13:17:00.000000,22331,WOODLAND PARTY BAG + STICKER SET,12,1.65,13.2,Germany,198017.0,2,2011-11-24,"(51.0834196, 10.4234469)",19.799999999999997
79,14502,546423,2011-03-13 12:38:59.999999,85093,CANDY SPOT EGG WARMER HARE,9,0.39,1.95,United Kingdom,307149.0,2,2011-03-13,"(54.7023545, -3.2765753)",3.5100000000000002
80,16732,574956,2011-11-08 09:54:00.000000,23535,BICYCLE SAFTEY WALL ART,8,5.95,23.8,United Kingdom,198017.0,2,2011-11-08,"(54.7023545, -3.2765753)",47.6
81,14396,569702,2011-10-05 16:09:00.000000,23512,EMBROIDERED RIBBON REEL ROSIE,10,2.08,12.48,United Kingdom,198017.0,2,2011-10-05,"(54.7023545, -3.2765753)",20.8
82,15660,561385,2011-07-27 09:13:00.000000,21790,VINTAGE SNAP CARDS,16,0.85,10.2,United Kingdom,198017.0,2,2011-07-27,"(54.7023545, -3.2765753)",13.6
83,17571,572103,2011-10-20 15:57:00.000000,22791,T-LIGHT GLASS FLUTED ANTIQUE,16,1.25,15.0,United Kingdom,198017.0,2,2011-10-20,"(54.7023545, -3.2765753)",20.0
84,15311,541216,2011-01-14 13:52:00.000000,20724,RED RETROSPOT CHARLOTTE BAG,6,0.85,1.7,United Kingdom,198017.0,2,2011-01-14,"(54.7023545, -3.2765753)",5.1
85,15513,561258,2011-07-26 12:03:00.000000,21916,SET 12 RETRO WHITE CHALK STICKS,52,0.42,20.16,United Kingdom,124995.0,2,2011-07-26,"(54.7023545, -3.2765753)",21.84
86,14462,543235,2011-02-04 13:30:00.000000,21754,HOME BUILDING BLOCK WORD,5,5.95,5.95,United Kingdom,198017.0,2,2011-02-04,"(54.7023545, -3.2765753)",29.75
87,15529,566495,2011-09-13 11:14:00.000000,21977,PACK OF 60 PINK PAISLEY CAKE CASES,7,0.55,1.65,United Kingdom,31437.0,2,2011-09-13,"(54.7023545, -3.2765753)",3.8500000000000005
88,15152,555570,2011-06-05 15:36:00.000000,48187,DOORMAT NEW ENGLAND,6,7.95,15.9,United Kingdom,9101.0,2,2011-06-05,"(54.7023545, -3.2765753)",47.7
89,13448,567474,2011-09-20 12:53:00.000000,22654,DELUXE SEWING KIT ,7,5.95,17.85,United Kingdom,198017.0,2,2011-09-20,"(54.7023545, -3.2765753)",41.65
90,12456,572896,2011-10-26 14:41:00.000001,21090,SET/6 COLLAGE PAPER PLATES,16,0.39,4.68,Switzerland,266325.0,2,2011-10-26,"(46.7985624, 8.2319736)",6.24
91,14800,537050,2010-12-05 11:10:00.000000,16237,SLEEPING CAT ERASERS,34,0.21,6.3,United Kingdom,198017.0,2,2010-12-05,"(54.7023545, -3.2765753)",7.14
92,18225,580909,2011-12-06 13:27:00.000000,23581,JUMBO BAG PAISLEY PARK,14,2.08,20.8,United Kingdom,198017.0,2,2011-12-06,"(54.7023545, -3.2765753)",29.12
93,12553,553843,2011-05-19 12:29:00.000000,23202,JUMBO BAG VINTAGE LEAF,14,2.08,20.8,France,198017.0,2,2011-05-19,"(46.603354, 1.8883335)",29.12
94,13534,543395,2011-02-08 10:17:00.000000,22692,DOORMAT WELCOME TO OUR HOME,6,7.95,15.9,United Kingdom,198017.0,2,2011-02-08,"(54.7023545, -3.2765753)",47.7
95,15311,566558,2011-09-13 11:51:00.000000,20711,JUMBO BAG TOYS ,8,2.08,8.32,United Kingdom,182559.0,2,2011-09-13,"(54.7023545, -3.2765753)",16.64
96,15952,574619,2011-11-06 11:18:00.000000,23130,MISELTOE HEART WREATH ,10,4.15,24.9,United Kingdom,198017.0,2,2011-11-06,"(54.7023545, -3.2765753)",41.5
97,12945,544907,2011-02-24 14:15:00.000000,22457,NATURAL SLATE HEART CHALKBOARD ,10,2.95,17.7,United Kingdom,46237.0,2,2011-02-24,"(54.7023545, -3.2765753)",29.5
98,14606,540526,2011-01-09 13:41:00.000000,21531,RED RETROSPOT SUGAR JAM BOWL,6,2.55,5.1,United Kingdom,244143.0,2,2011-01-09,"(54.7023545, -3.2765753)",15.299999999999999
99,15159,561236,2011-07-26 10:27:00.000000,22089,PAPER BUNTING VINTAGE PAISLEY,10,2.95,17.7,United Kingdom,198017.0,2,2011-07-26,"(54.7023545, -3.2765753)",29.5
