CONTROLN	STATE	GENDER	HV1	IC1	IC4	HVP1	IC5	POBC1	POBC2	IC2	IC3	AVGGIFT	TCODE	DOB	DOMAIN	TARGET_D
129846	SD	M	867	483	536	2	18757	1	51	492	524	12.5	1	4201	T1	11
150379	CA	F	1943	312	381	45	16083	12	54	353	355	20	0	0	S2	20
36590	FL	M	1037	439	529	0	18050	44	27	456	511	10	1	4801	S1	10
59744	IN	F	595	284	406	0	13860	0	77	317	333	9	28	5408	T2	16
31893	IL	F	375	267	296	8	8354	6	13	270	295	20	0	0	T2	20
46884	AL	F	397	229	386	1	13233	0	74	329	336	9.777777778	0	0	R3	15
66745	MI	F	584	283	386	0	14843	4	68	386	307	15	28	7201	0	5
10709	WA		534	206	272	1	9104	1	48	231	248	13.55555556	0	0	0	23
73984	MI	M	362	209	275	0	8558	1	91	235	246	9.722222222	0	3305	R3	10
27597	GA	M	991	493	548	3	17344	2	46	506	532	5.8	1	5801	T1	9
150587	CA	U	1805	398	447	33	14703	11	58	394	441	10.66666667	0	0	S2	20
187191	GA		2639	436	764	68	35502	3	39	594	584	15	0	0	C1	25
85357	MN	F	476	202	304	0	10581	2	80	274	236	10.73333333	2	2908	R2	15
156866	CA	M	3393	537	580	97	22083	6	50	553	589	20	14	2201	U1	25
164513	AE	F	0	0	0	0	0	0	0	0	0	12.5	0	4701	C1	50
163369	CA		2250	181	167	99	11346	44	16	159	192	6	0	0	U2	6
551	TX	F	340	180	279	1	9343	3	80	227	235	15.33333333	2	1201	T2	20
18750	NC	female	482	302	462	1	15573	0	72	328	396	12.5	0	5201	T2	20
81277	WI	F	322	233	320	0	10317	0	84	258	291	15	2	4401	R1	25
128121	TX	F	655	406	481	0	16426	1	72	432	430	9	0	0	S1	10
84199	MN	F	908	487	493	0	14526	0	79	482	499	5.090909091	0	2501	S2	5
183476	WA	F	718	471	541	3	18190	4	59	508	497	11.07692308	2	5008	T2	25
162994	CA	M	2750	252	392	75	19558	34	20	332	302	10.66666667	1	0	U1	10
32040	GA	M	397	184	285	1	9831	0	91	219	237	9.333333333	4	2801	C1	20
65968	MI	M	1040	220	278	4	14610	0	56	309	256	7.9375	1	6105	C1	9
135896	Arizona	M	675	186	265	17	11355	2	7	238	207	6.111111111	0	2501	C3	2
46461	FL	M	719	381	410	0	13552	2	36	398	389	11.33333333	1	1801	C2	12
2396	FL		588	233	266	1	10309	10	21	249	254	8.333333333	0	0	T2	5
93500	IL	F	1053	368	465	0	15176	20	73	419	402	8.333333333	0	3705	U4	10
90899	IL	F	419	279	303	0	7285	0	72	295	296	12	28	3912	S3	17
116542	TX	U	481	172	264	1	9264	0	79	218	227	15	0	0	R3	20
29868	GA	F	803	397	441	2	15380	3	49	407	432	20	0	5901	T2	25
171521	CA	F	886	318	388	6	12332	12	58	339	360	5.222222222	0	0	R2	6
18953	NC	female	1093	580	636	19	20815	2	37	587	629	7.333333333	0	4303	S1	11
102780	MO	F	257	148	273	0	10050	1	75	264	194	10.125	0	1208	R2	16
136372	Arizona	M	1453	419	497	17	24530	10	2	426	486	25	1	1901	C1	10
19581	NC	female	821	427	475	0	15937	0	64	433	456	6.654411765	2	3703	S2	25
121410	TX	M	931	416	725	12	29273	10	47	636	543	15	1	3101	U1	15
99736	MO	F	496	330	390	0	13546	0	87	349	360	5.571428571	0	5101	T2	20
54441	MS	female	463	181	258	0	8369	0	56	231	227	12.75	2	4107	R3	30
144735	CA	F	5649	750	888	96	37961	6	56	828	801	8.615384615	0	2709	U1	10
39257	FL	J	1093	364	441	2	15640	6	30	424	392	9.25	1002	7001	S2	25
136716	Arizona	M	852	344	498	0	19967	9	14	450	394	12.5	1	0	C1	25
145310	CA	F	3100	133	497	79	18262	35	25	488	306	18.33333333	0	4911	U1	20
40351	FL		1074	505	553	4	16470	5	26	524	528	28	0	0	S2	30
43321	FL		1452	352	467	12	20619	4	5	397	410	25	0	2301	C1	25
14009	MI	F	813	246	313	6	11406	4	65	263	297	9.25	0	3401	0	3
187517	TX	M	333	205	319	0	10286	1	81	219	278	16.42857143	1	0	R2	25
22924	SC	F	536	261	307	0	8438	0	88	296	278	4.944444444	2	2101	C3	10
65124	MI	F	850	484	495	2	17174	0	88	501	465	8.230769231	0	0	T2	5
98437	IL	F	443	268	380	0	12966	1	87	347	320	5.727272727	0	201	R2	10
54369	MS	M	467	206	308	1	9725	0	83	261	260	6.666666667	1	0	R2	6
155856	CA	F	1207	284	488	8	19872	12	46	303	458	7.25	0	1501	C2	10
107321	NE	M	490	250	345	0	11320	2	84	299	288	3.269230769	1	5201	T2	20
139500	NM	F	805	207	289	0	10226	5	49	243	237	8.266666667	0	1610	U2	20
108381	LA	M	638	220	291	0	11076	19	54	243	255	15.66666667	1	0	U2	20
129653	CO	M	1208	571	660	2	20295	2	38	594	616	15	1	5201	S1	15
102795	MO	M	198	208	297	0	9961	0	86	252	261	15	1	2001	R3	10
178085	OR	M	443	204	267	0	9473	5	21	218	232	10.42857143	2	4403	T2	20
12819	MO	F	1284	410	642	35	24921	3	74	539	532	13.44444444	3	1101	S1	20
99543	MO	M	675	312	365	1	10538	1	81	352	343	5.785714286	0	2301	R2	15
65804	MI	F	668	272	391	0	17206	11	75	369	311	6.411764706	0	0	S2	10
35947	FL	F	575	232	289	0	9634	17	27	259	255	7.666666667	2	2505	S2	14
152961	CA	F	2375	428	571	75	23387	13	36	471	535	20	0	3401	C1	8
161129	CA	F	1091	330	397	9	14093	2	62	348	382	11.95238095	2	2201	R2	20
177315	OR	M	1015	354	422	5	13340	8	38	360	404	8.25	0	3805	T2	15
104755	KS	M	1413	634	755	21	27583	3	16	665	727	8.285714286	2	2001	S1	16
147838	CA	F	3738	534	683	86	26455	24	42	581	599	16	0	3001	S1	20
182748	WA	male	849	281	380	10	14308	4	48	327	327	13.30769231	2	2501	C2	12
177238	OR	F	871	309	390	8	15151	2	45	344	362	9.55	0	3207	T2	12
191138	TX	F	571	300	366	1	10689	2	67	333	336	15	0	4201	T2	15
133932	WA	male	0	55	89	0	8170	4	29	68	63	4.555555556	0	0	R3	5
120608	TX		375	182	232	0	8256	4	72	207	208	15	0	0	C3	15
11562	CA	F	3435	490	614	91	26467	26	40	546	560	32.30769231	0	2501	S1	50
87541	WA	F	466	211	289	0	10094	4	61	252	244	5.625	0	4501	R2	5
1722	CA	M	1668	648	668	12	20187	9	60	664	663	13.38461539	1002	5207	C1	10
32843	FL	M	546	283	322	0	10785	0	63	256	344	15	1	5901	C3	15
77439	WI	male	713	360	429	0	12547	2	91	372	408	11.3125	2	3101	R2	17
140457	NM	M	576	263	338	1	12326	0	51	355	304	6.04	1	2401	T2	10
70144	FL	F	585	459	427	0	8656	0	33	393	445	13.58333333	0	1711	S3	15
157947	CA	F	2022	441	569	52	21300	14	44	534	496	4.777777778	0	0	U1	5
137680	Arizona	Female	786	220	318	2	11624	2	27	264	274	6.222222222	0	2308	R2	5
153708	CA	F	1406	431	556	21	21369	21	35	536	453	15	28	0	U2	21
27217	GA	F	503	239	324	1	10308	0	84	275	287	20	0	0	R2	15
1442	MO	F	1602	459	593	32	18855	4	67	475	561	18.42105263	0	5901	C1	24
38327	FL	M	736	274	316	0	11510	69	16	276	311	10.4	1	1103	S2	11
109287	LA	F	393	130	213	0	5559	0	92	147	178	4.363636364	0	0	C3	5
77784	WI	F	987	430	521	2	18625	1	80	469	476	10	0	7102	S1	16
22098	NC	female	529	254	326	1	11595	2	73	301	284	2.439814815	2	2801	T2	2
156224	CA	M	4933	691	816	94	37073	14	26	736	762	26.5	0	4701	T1	30
169224	CA	F	1178	482	573	0	16952	3	48	507	543	15.57142857	0	2201	C1	36
146341	CA	M	2397	409	459	77	16946	13	47	486	402	9.9	1	1701	U2	20
102630	MO	M	651	336	459	0	15058	0	75	415	395	3.578947368	2	0	R2	5
119362	TX	F	1711	400	810	34	33841	2	66	806	566	16	28	2001	C1	45
92962	CA	M	3663	749	818	87	27400	14	52	777	784	20	1	0	U1	20
14420	SC	F	473	300	373	0	11482	0	80	319	333	8.666666667	0	403	T2	10
157687	CA	F	4954	1106	1146	99	42857	6	55	1195	1086	7.444444444	0	3801	T1	15
145436	TX	M	775	494	467	1	14903	5	59	465	489	25	1	0	U1	10
62795	IN	F	505	273	356	1	10974	1	43	330	316	20	0	0	R2	20
80153	WI	male	416	247	340	0	11789	2	62	297	292	15	0	2301	C3	5
21107	NC		678	260	335	4	11906	1	56	289	303	8.777777778	1	1907	T2	7
164551	CA	F	1158	369	386	3	11592	3	64	398	373	4.090909091	0	0	C2	3
53485	TN	F	861	248	328	0	16517	6	44	314	278	7	28	0	S2	7
25331	SC	F	407	157	260	0	7762	1	79	193	221	16.66666667	0	0	R2	22
189130	IL	M	1094	363	444	2	15967	23	66	388	421	20.83333333	1	2810	U2	51
190840	IL	M	485	297	340	0	10899	3	60	309	329	21.25	1	4912	C3	25
341	GA	F	517	327	416	0	12605	0	87	375	389	11	0	3011	R2	25
109240	LA	M	445	180	256	1	7560	0	96	210	226	6.321428571	0	3711	T3	7
6028	NE	M	2458	1178	1118	73	58088	6	56	1203	1095	13.58139535	4	4912	S1	15
169722	CA	F	1428	301	297	3	9201	29	49	277	322	25	0	4701	C2	20
91467	IL	F	693	407	386	1	11864	0	81	399	390	6.588235294	28	4106	T2	8
88537	IL	M	873	211	319	0	14513	4	75	291	251	3.173913044	1	2106	T2	5
162740	CA	F	2807	478	542	92	17103	21	58	497	504	12.75	0	2201	S2	14
123622	TX	M	351	241	304	0	9113	19	61	278	283	14	1	5401	S3	25
12370	CA	F	2067	489	583	53	19624	10	54	534	540	450	0	0	C1	20
91453	IL	F	999	411	496	12	15934	2	80	453	465	18.71428571	0	0	T2	21
42543	FL	M	419	218	305	1	9540	8	53	243	277	8.75	0	0	R2	20
89768	IL	M	962	327	465	1	14486	11	69	479	361	5.111111111	2	0	S2	11
139175	NM	F	542	220	298	1	9481	2	56	252	272	11.51351351	0	0	R2	10
83559	OK	M	780	278	414	1	14360	3	36	323	345	14.14285714	1	5902	U2	10
113312	OK	F	1229	546	700	4	30054	4	60	649	555	5.214285714	2	2301	C1	5
117329	TX	F	928	408	452	2	17067	1	48	452	444	12.83333333	28	2712	S1	15
56674	KY	M	335	137	195	0	6927	1	80	205	166	6.666666667	1	2101	U4	15
40105	FL	F	700	228	326	0	13851	24	27	277	309	15	0	4608	S3	23
76914	IA	M	337	220	301	0	8147	0	87	265	258	9.714285714	0	0	R2	15
7947	MI	M	557	279	372	1	12466	2	69	337	321	9.074074074	1	1612	R2	11
166350	CA	F	3333	690	913	94	37495	9	50	871	759	20.83333333	0	5201	S1	25
2151	CA	M	1126	243	285	6	8614	39	38	261	275	20.8	1	5001	C3	25
107298	NE	F	0	0	0	0	0	0	0	0	0	38	0	4401	S2	43
37762	FL	M	1987	403	633	49	29344	47	20	524	567	14	1	3401	C1	30
117383	TX	F	0	0	0	0	0	0	0	0	0	15	2	4801	S2	21
174375	OR	F	1093	315	483	7	15130	5	44	431	386	25	28	5801	S2	25
102742	MO	M	238	176	287	0	10253	0	82	225	233	6.636363636	1	4401	R2	9
53793	TN	F	966	517	569	2	18463	3	47	528	547	7.714285714	28	4901	S1	5
59070	KY	M	377	234	285	0	9657	0	85	252	276	10.25	1	5003	R3	10
107279	NE	F	825	417	503	2	16332	2	68	459	453	4	0	4701	S1	4
88886	IL	M	962	391	486	12	17404	3	67	444	452	35	1	5411	R2	40
190552	NM	M	1082	482	609	2	22454	4	24	566	522	10.08333333	1	3501	0	7
148869	CA	M	2362	613	678	74	21179	9	61	632	655	13.375	1	6401	C1	15
146463	CA	U	2163	484	581	67	17262	7	66	522	537	4.833333333	0	2601	U2	5
85204	MN	M	359	168	269	1	9568	1	85	258	203	11.91666667	1	2210	R2	20
143782	CA	M	5854	927	993	99	45167	15	43	1077	920	28	1	4801	S1	25
17102	NC	female	685	271	396	1	13235	0	67	314	339	5.692307692	2	0	T2	7
190157	NC	female	603	173	329	4	12562	3	84	215	239	9.857142857	0	0	T2	15
93681	IL	M	682	322	336	1	8194	0	62	359	297	12.33333333	1	2309	U3	16
105741	KS	M	581	295	402	1	13925	5	65	349	349	17	2	4401	S2	20
98962	IL	F	380	229	351	1	11773	1	86	277	299	11.66666667	0	2308	R2	25
32552	FL	F	1229	469	544	21	17313	2	30	502	507	7.5	0	3802	T1	20
23465	SC	F	689	313	350	0	12601	1	69	320	343	12	1	2701	S2	15
155130	CA	M	1715	607	660	34	21473	10	55	619	647	4.8	1	4901	S1	4.5
15017	FL	F	762	254	411	7	17458	7	13	355	327	8.761904762	0	0	0	18
123438	TX	F	683	449	507	0	19552	6	50	471	484	6.8125	0	6601	T2	3
178796	WA	F	1648	395	542	28	22216	5	50	488	480	8.538461539	28	3503	S1	9
143790	CA	F	5907	1285	1144	99	91205	18	26	1340	1063	16	2	4101	S1	15
173737	HI	M	1473	327	382	23	12051	17	67	324	395	20.66666667	1	1801	T2	20
57017	FL	F	484	150	266	0	11909	8	11	243	195	20	0	0	T2	20
131551	CO	M	645	214	313	0	14783	3	32	308	251	8.916666667	1	1710	C2	10
72796	MI	M	577	375	394	0	15853	1	74	380	389	9.571428571	0	4905	R2	15
178498	WA	male	1642	275	485	30	19679	10	32	388	349	11.83333333	0	2802	S2	15
77742	TX		1163	378	526	11	23408	4	41	459	439	5.4	0	0	R2	5
21204	NC	female	675	305	427	0	16318	2	69	373	365	6.409090909	2	4001	C2	8
71146	MI	F	602	336	391	0	12418	1	87	366	363	9	0	7401	T2	10
161230	CA	F	746	346	368	0	10165	3	64	352	363	15.76470588	0	5207	T2	20
67712	MI	F	459	116	533	0	19070	3	41	518	280	27.42307692	0	801	U2	100
178540	WA	F	922	232	361	3	13725	5	52	298	298	8.5	0	1501	T2	15
35306	FL	F	833	277	387	0	14317	8	21	350	329	12.25	0	5610	C2	25
14984	MN	M	1793	781	849	38	27481	1	66	796	832	14.28571429	1	5401	0	15
53295	TN	F	470	235	318	0	8963	0	80	292	275	12.5	0	5401	U3	15
115398	OK	F	338	203	284	0	9618	0	76	254	242	5.076923077	0	2901	R2	5
24610	SC	M	420	225	285	0	9634	0	90	253	249	4.9	0	1701	R3	4
116993	TX	M	1576	388	579	8	24013	0	71	418	528	12.85714286	1	1	U1	10
80800	WI	F	677	282	370	0	11541	0	84	303	334	8.428571429	2	3001	R2	8
72757	MI	F	559	344	403	0	13072	1	85	361	378	11	2	1105	R2	21
38642	FL	M	731	350	432	4	13977	24	33	385	401	15	0	7401	S2	10
179293	WA	male	1196	327	456	4	16530	3	49	406	382	10.46153846	2	0	S2	10
79427	WI	F	718	410	462	0	14721	1	80	443	425	8.578947368	2	3508	T2	10
99813	MO	M	460	223	297	0	9579	0	72	265	257	11	1	4701	R3	20
368	CA	M	2257	485	523	78	17885	8	50	541	488	6.5	1	2205	U1	10
129200	CO	F	726	370	406	0	13631	3	37	426	388	9.2	2	4801	S2	14
171215	CA	M	1327	397	442	8	15850	6	54	409	435	11.33333333	1	4701	S1	17
41222	FL	M	956	348	417	3	13177	2	33	344	412	11.44444444	1	6509	S3	20
44410	FL	M	565	154	193	0	6724	3	31	163	180	6.909090909	1	2506	T2	8
175057	OR	M	987	361	485	1	18610	3	45	440	400	12.11111111	1002	5109	T2	19
83959	MN	F	1138	545	672	1	23589	3	71	613	602	9.68	2	3805	S1	16
35877	FL	F	535	226	265	1	9934	3	32	236	250	4.285714286	28	2401	S3	5
96763	IL	F	427	71	253	0	6671	1	72	141	121	10.75	2	1805	C2	20
144691	CA	M	5806	778	896	99	50987	10	46	871	830	20	1	4701	T1	20
180805	WA	F	1413	306	435	22	18792	13	46	329	397	6.666666667	2	2401	R2	20
180050	WA	F	1180	333	464	4	20815	8	54	385	414	12.9	0	0	S2	25
111592	AR	M	318	53	152	0	3748	9	83	105	113	17.45454546	1	2109	C3	16
66087	MI	F	554	414	445	0	15267	4	69	424	432	7.866666667	0	4912	T2	20
121554	TX	F	1900	404	664	43	34592	16	38	582	498	5.2	28	6301	U1	6
137429	Arizona	M	866	387	491	1	24381	4	0	453	428	25	1	1301	C2	25
127171	TX	F	1223	313	538	22	17822	1	62	419	444	9	0	1601	R1	15
