Source,Region,Sub-Region,Country,Drug-Group,Drug,SpecificDrugName,DrugState,Measurement,Sale ON,Typical average,From start ,To end,Purity,Type in which purity was checked,Year
ARQ,Americas,Central America,Guatemala,Opioids,Opium,,,Gram,Street,1.527243915,,,,Price,2008
ARQ,Americas,Central America,Guatemala,Opioids,Opium,,,Kilogram,Wholesale,1527.376427,,,,Price,2008
ARQ,Africa,West and Central Africa,Burkina Faso,Cocaine-type,Cocaine salts,Hydrochloride,,Kilogram,Wholesale,71698.52889,56014.47569,89623.16111,,Price,2008
ARQ,Asia,East and South-East Asia,"China, Macao SAR",Opioids,Heroin,Heroin no 3,,Gram,Street,50,37,62,,Price,2008
ARQ,Asia,East and South-East Asia,"China, Macao SAR",Cannabis-type,Marijuana (herb),,,Gram,Street,12,10,15,,Price,2008
ARQ,Asia,East and South-East Asia,"China, Macao SAR",Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,2350,2200,2500,,Price,2008
ARQ,Asia,East and South-East Asia,"China, Macao SAR",Cannabis-type,Hashish (resin),,,Gram,Street,12,10,15,,Price,2008
ARQ,Asia,East and South-East Asia,"China, Macao SAR",ATS,Ecstasy-type substances,,Tablets,Tablet,Street,22,18,31,,Price,2008
ARQ,Asia,East and South-East Asia,"China, Macao SAR",ATS,Methamphetamine,,,Gram,Street,18,12,25,,Price,2008
ARQ,Asia,East and South-East Asia,Thailand,ATS,Amphetamine,,,Gram,Street,,75.14729379,90.17675254,,Price,2008
ARQ,Asia,East and South-East Asia,Thailand,ATS,Amphetamine,,,Kilogram,Wholesale,,30058.91751,36070.70102,,Price,2008
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Syrian Arab Republic,Opioids,Heroin,,,Kilogram,Wholesale,15000,13000,17000,,Price,2008
ARQ,Africa,West and Central Africa,Nigeria,Cocaine-type,Coca paste/cocaine base,Cocaine base,,Gram,Street,8.140159058,6.783465882,10.17519882,,Price,2009
ARQ,Asia,East and South-East Asia,"China, Macao SAR",Cannabis-type,Hashish (resin),,,Gram,Street,12,10,15,,Price,2009
ARQ,Europe,Western and Central Europe,Finland,Opioids,Other illicit opioids,,,Gram,Street,,34.76277781,166.8613335,,Price,2009
ARQ,Europe,South-Eastern Europe,Albania,Opioids,Heroin,Heroin no 3,,Kilogram,Wholesale,,15295.62224,19467.15558,,Price,2009
ARQ,Europe,Eastern Europe,Belarus,ATS,Methamphetamine,,,Kilogram,Wholesale,25000,15000,30000,,Price,2009
SMART,Asia,East and South-East Asia,Indonesia,ATS,Amphetamine,,,Gram,Street,20,,,,Price,2010
SMART,Asia,East and South-East Asia,Malaysia,ATS,Ecstasy-type substances,,,Pill,Street,16,,,,Price,2010
ARQ,Europe,Western and Central Europe,Norway,Opioids,Opium,,,Gram,Street,41.71533338,,,,Price,2009
ARQ,Europe,Western and Central Europe,Norway,Opioids,Opium,,,Kilogram,Wholesale,,11124.0889,16686.13335,,Price,2009
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Afghanistan,Opioids,Opium,,,Gram,Street,0.100000001,,,,Price,2005
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Afghanistan,Cannabis-type,Hashish (resin),,,Gram,Street,0.050000001,0.039999999,0.059999999,,Price,2005
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Afghanistan,Opioids,Heroin,,,Gram,Street,2.400000095,2.299999952,2.599999905,,Price,2007
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Afghanistan,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,56,,,,Price,2007
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Afghanistan,Opioids,Heroin,,,Kilogram,Wholesale,2266,,,,Price,2009
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Afghanistan,Opioids,Opium,,,Kilogram,Wholesale,68,,,,Price,2009
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Afghanistan,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,51,,,,Price,2009
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Afghanistan,ATS,Methamphetamine,,,Gram,Street,,85,125,,Price,2009
UNODC (Published data),Europe,South-Eastern Europe,Albania,Cannabis-type,Cannabis oil,,,Kilogram,Wholesale,1250,1000,1500,,Price,2005
UNODC (Published data),Europe,South-Eastern Europe,Albania,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,275,250,300,,Price,2006
UNODC (Published data),Europe,South-Eastern Europe,Albania,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,,69.52555563,97.33577788,,Price,2009
UNODC (Published data),Europe,South-Eastern Europe,Albania,Cocaine-type,Cocaine salts,Hydrochloride,,Kilogram,Wholesale,,48667.88894,55620.4445,,Price,2009
UNODC (Published data),Europe,South-Eastern Europe,Albania,Opioids,Heroin,Heroin no 3,,Gram,Street,,29.20073336,34.76277781,,Price,2009
UNODC (Published data),Europe,South-Eastern Europe,Albania,Cannabis-type,Marijuana (herb),,,Gram,Street,1.529562257,1.390511113,1.668613401,,Price,2009
UNODC (Published data),Europe,South-Eastern Europe,Albania,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,347.6277781,278.1022225,417.1533338,,Price,2009
UNODC (Published data),Africa,North Africa,Algeria,Opioids,Heroin,,,Dose,Street,187.8000031,,,,Price,2008
UNODC (Published data),Africa,North Africa,Algeria,Cannabis-type,Hashish (resin),,,Gram,Street,,1.381872913,2.072809369,,Price,2009
UNODC (Published data),Africa,North Africa,Algeria,Cocaine-type,Coca paste/cocaine base,Cocaine base,,Gram,Street,,165.8247495,207.2809369,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Andorra,ATS,Ecstasy-type substances,,,Tablet,Street,6.289999962,3.769999981,7.550000191,,Price,2005
UNODC (Published data),Europe,Western and Central Europe,Andorra,Opioids,Heroin,,,Gram,Street,54.79999924,48.70000076,60.90000153,,Price,2007
UNODC (Published data),Europe,Western and Central Europe,Andorra,Opioids,Heroin,,,Kilogram,Wholesale,54795,48700,60900,,Price,2007
UNODC (Published data),Europe,Western and Central Europe,Andorra,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,,73.52999878,102.9400024,,Price,2008
UNODC (Published data),Europe,Western and Central Europe,Andorra,Cocaine-type,Cocaine salts,Hydrochloride,,Kilogram,Wholesale,,58824,73529,,Price,2008
UNODC (Published data),Americas,Caribbean,Anguilla,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,17.5,15,20,,Price,2005
UNODC (Published data),Americas,Caribbean,Anguilla,Cocaine-type,Cocaine salts,Hydrochloride,,Kilogram,Wholesale,17500,15000,20000,,Price,2005
UNODC (Published data),Americas,Caribbean,Anguilla,Cannabis-type,Cannabis oil,,,Gram,Street,12.5,10,15,,Price,2005
UNODC (Published data),Americas,Caribbean,Anguilla,Cannabis-type,Cannabis oil,,,Kilogram,Wholesale,12500,10000,15000,,Price,2005
UNODC (Published data),Americas,Caribbean,Anguilla,Cannabis-type,Marijuana (herb),,,Gram,Street,12.5,10,15,,Price,2005
UNODC (Published data),Americas,Caribbean,Anguilla,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,12500,10000,15000,,Price,2005
UNODC (Published data),Americas,South America,Argentina,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,5.900000095,3.5,8.300000191,,Price,2004
UNODC (Published data),Americas,South America,Argentina,Cocaine-type,Cocaine salts,Hydrochloride,,Kilogram,Wholesale,4800,2600,7000,,Price,2004
UNODC (Published data),Americas,South America,Argentina,Opioids,Heroin,,,Kilogram,Wholesale,110000,100000,120000,,Price,2004
UNODC (Published data),Americas,South America,Argentina,Cannabis-type,Marijuana (herb),,,Gram,Street,1.299999952,1,1.600000024,,Price,2004
UNODC (Published data),Americas,South America,Argentina,ATS,Ecstasy-type substances,,,1000  tablets,Wholesale,4666,,,,Price,2004
UNODC (Published data),Americas,South America,Argentina,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,400,300,500,,Price,2005
UNODC (Published data),Asia,Central Asia and Transcaucasia,Armenia,Opioids,Heroin,,,Kilogram,Wholesale,120000,,,,Price,2005
UNODC (Published data),Asia,Central Asia and Transcaucasia,Armenia,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,1500,,,,Price,2005
UNODC (Published data),Asia,Central Asia and Transcaucasia,Armenia,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,10000,,,,Price,2005
UNODC (Published data),Asia,Central Asia and Transcaucasia,Armenia,Cocaine-type,Coca paste/cocaine base,Cocaine base,,Kilogram,Wholesale,1500,,,,Price,2005
UNODC (Published data),Asia,Central Asia and Transcaucasia,Armenia,Cocaine-type,Coca paste/cocaine base,Cocaine base,,Gram,Street,,250,280,,Price,2008
UNODC (Published data),Asia,Central Asia and Transcaucasia,Armenia,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,275,250,300,,Price,2009
UNODC (Published data),Asia,Central Asia and Transcaucasia,Armenia,Opioids,Heroin,,,Gram,Street,140,120,160,,Price,2009
UNODC (Published data),Asia,Central Asia and Transcaucasia,Armenia,Opioids,Opium,,,Gram,Street,70,60,80,,Price,2009
UNODC (Published data),Asia,Central Asia and Transcaucasia,Armenia,Cannabis-type,Marijuana (herb),,,Gram,Street,11.5,8,15,,Price,2009
UNODC (Published data),Asia,Central Asia and Transcaucasia,Armenia,Cannabis-type,Hashish (resin),,,Gram,Street,45,40,50,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,ATS,Amphetamine,,,Gram,Street,209.4499969,31.03000069,387.8999939,,Price,2007
UNODC (Published data),Oceania,Australia and New Zealand,Australia,ATS,Amphetamine,,,Kilogram,Wholesale,5042.700195,3878.97998,6206.359863,,Price,2007
UNODC (Published data),Oceania,Australia and New Zealand,Australia,ATS,Ecstasy-type substances,,,Tablet,Street,,5.900000095,25.29999924,,Price,2008
UNODC (Published data),Oceania,Australia and New Zealand,Australia,ATS,Ecstasy-type substances,,,1000  tablets,Wholesale,,5913.660156,25344.30078,,Price,2008
UNODC (Published data),Oceania,Australia and New Zealand,Australia,ATS,Methamphetamine,,,Rock,Street,,211,591.4000244,,Price,2008
UNODC (Published data),Oceania,Australia and New Zealand,Australia,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,,191.2511276,344.2520297,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,Cocaine-type,Cocaine salts,Hydrochloride,,Kilogram,Wholesale,,141525.8344,191251.1276,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,Opioids,Heroin,,,Gram,Street,,191.2511276,344.2520297,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,Opioids,Heroin,,,Kilogram,Wholesale,,174857.846,229501.3532,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,Cannabis-type,Cannabis oil,,,Gram,Street,,38.25022553,38.25022553,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,Cannabis-type,Cannabis oil,,,Kilogram,Wholesale,,7650.045105,10710.06315,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,Cannabis-type,Marijuana (herb),,,Gram,Street,,15.30009021,26.77515787,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,,5890.534731,8415.049616,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,Cannabis-type,Hashish (resin),,,Gram,Street,,30.60018042,38.25022553,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,,6120.036084,9562.556382,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,ATS,Methamphetamine,,,Gram,Street,,76.50045105,153.0009021,,Price,2009
UNODC (Published data),Oceania,Australia and New Zealand,Australia,ATS,Methamphetamine,,,Kilogram,Wholesale,,68850.40595,91800.54126,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,97.33577788,83.43066675,194.6715558,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,Cocaine-type,Cocaine salts,Hydrochloride,,Kilogram,Wholesale,48667.88894,38934.31115,69525.55563,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,Opioids,Heroin,Heroin no 3,,Gram,Street,97.33577788,69.52555563,139.0511113,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,Opioids,Heroin,Heroin no 3,,Kilogram,Wholesale,41715.33338,34762.77781,55620.4445,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,Opioids,Opium,,,Gram,Street,12.51460001,9.733577788,13.90511113,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,Opioids,Opium,,,Kilogram,Wholesale,3337.22667,2781.022225,3476.277781,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,Cannabis-type,Marijuana (herb),,,Gram,Street,9.733577788,6.952555563,13.90511113,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,4866.788894,4171.533338,5562.04445,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,Cannabis-type,Hashish (resin),,,Gram,Street,11.1240889,9.733577788,13.90511113,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,5283.942228,4171.533338,6257.300006,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,ATS,Ecstasy-type substances,,,Tablet,Street,9.733577788,6.952555563,13.90511113,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,ATS,Ecstasy-type substances,,,1000  tablets,Wholesale,6257.300006,4171.533338,6952.555563,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,ATS,Methamphetamine,,,Gram,Street,16.68613335,13.90511113,20.85766669,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,ATS,Methamphetamine,,,Kilogram,Wholesale,9733.577788,3615.328893,12514.60001,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,ATS,Amphetamine,,,Gram,Street,16.68613335,13.90511113,20.85766669,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Austria,ATS,Amphetamine,,,Kilogram,Wholesale,9733.577788,3615.328893,12514.60001,,Price,2009
UNODC (Published data),Asia,Central Asia and Transcaucasia,Azerbaijan,Opioids,Heroin,,,Gram,Street,,70,80,,Price,2009
UNODC (Published data),Asia,Central Asia and Transcaucasia,Azerbaijan,Opioids,Heroin,,,Kilogram,Wholesale,,20000,22000,,Price,2009
UNODC (Published data),Asia,Central Asia and Transcaucasia,Azerbaijan,Cannabis-type,Marijuana (herb),,,Gram,Street,,10,11,,Price,2009
UNODC (Published data),Asia,Central Asia and Transcaucasia,Azerbaijan,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,,5000,6000,,Price,2009
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,159.1100006,132.5899963,185.6300049,,Price,2005
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,Opioids,Heroin,Heroin no 3,,Gram,Street,265.1799927,212.1499939,318.2200012,,Price,2005
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,Opioids,Heroin,Heroin no 4,,Gram,Street,318.2200012,265.1799927,397.769989,,Price,2005
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,Opioids,Heroin,Heroin no 3,,Kilogram,Wholesale,198886.2344,159109,212145.3281,,Price,2005
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,Opioids,Heroin,Heroin no 4,,Kilogram,Wholesale,265181.6563,212145.3281,318218,,Price,2005
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,ATS,Methamphetamine,,,Gram,Street,424.2900085,397.769989,450.8099976,,Price,2005
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,ATS,Methamphetamine,,,Kilogram,Wholesale,39777.25,26518.16992,53036.32813,,Price,2005
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,Cocaine-type,Crack,,,Gram,Street,266.7900085,213.4299927,320.1400146,,Price,2008
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,ATS,Amphetamine,,,Gram,Street,,213,266.7999878,,Price,2008
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,Opioids,Heroin,,,Gram,Street,239.616626,212.9925564,266.2406955,,Price,2009
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,Opioids,Heroin,,,Kilogram,Wholesale,239616.626,212992.5564,266240.6955,,Price,2009
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,Cannabis-type,Hashish (resin),,,Gram,Street,53.2481391,39.93610433,66.56017388,,Price,2009
UNODC (Published data),Asia,Near and Middle East/ South-West Asia,Bahrain,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,5857.295301,5324.81391,6389.776692,,Price,2009
UNODC (Published data),Americas,Caribbean,Barbados,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,20.79199982,14.85099983,27.22800064,,Price,2007
UNODC (Published data),Americas,Caribbean,Barbados,Cocaine-type,Cocaine salts,Hydrochloride,,Kilogram,Wholesale,17326.73242,14851.48535,19801.98047,,Price,2007
UNODC (Published data),Americas,Caribbean,Barbados,Cannabis-type,Marijuana (herb),,,Gram,Street,3.464999914,2.474999905,4.454999924,,Price,2007
UNODC (Published data),Africa,East Africa,Burundi,Cannabis-type,Marijuana (herb),,,Gram,Street,0.100000001,0.086000003,0.128999993,,Price,2008
UNODC (Published data),Africa,East Africa,Burundi,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,,6.869999886,8.597999573,,Price,2008
UNODC (Published data),Africa,East Africa,Burundi,Cannabis-type,Hashish (resin),,,Gram,Street,,0.090000004,0.129999995,,Price,2008
UNODC (Published data),Africa,East Africa,Burundi,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,,8.600000381,12.89999962,,Price,2008
UNODC (Published data),Europe,Western and Central Europe,Belgium,Cocaine-type,Crack,,,Gram,Street,54.79999924,6.849999905,82.19999695,,Price,2007
UNODC (Published data),Europe,Western and Central Europe,Belgium,Opioids,Heroin,Heroin no 4,,Gram,Street,36.15000153,7.349999905,73.52999878,,Price,2008
UNODC (Published data),Europe,Western and Central Europe,Belgium,Opioids,Heroin,Heroin no 4,,Kilogram,Wholesale,14705.87988,11764.70996,17647.06055,,Price,2008
UNODC (Published data),Europe,Western and Central Europe,Belgium,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,70.69999695,,,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Belgium,Cocaine-type,Cocaine salts,Hydrochloride,,Kilogram,Wholesale,46675.28651,41715.33338,49641.24672,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Belgium,Opioids,Heroin,Heroin no 3,,Gram,Street,32.71872743,13.90511113,69.52555563,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Belgium,Opioids,Heroin,Heroin no 3,,Kilogram,Wholesale,15990.87779,11124.0889,20857.66669,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Belgium,Cannabis-type,Marijuana (herb),,,Gram,Street,9.942154587,4.171533338,17.38138891,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Belgium,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,5144.891116,1390.511113,8343.066675,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Belgium,Cannabis-type,Hashish (resin),,,Gram,Street,9.677957396,5.56204445,16.68613335,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Belgium,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,3198.175559,3198.175559,3198.175559,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Belgium,ATS,Ecstasy-type substances,,,Tablet,Street,5.283942161,1.390511113,11.1240889,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Belgium,ATS,Ecstasy-type substances,,,1000  tablets,Wholesale,1297.346868,1297.346868,1297.346868,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Belgium,ATS,Amphetamine,,,Gram,Street,13.18204471,3.893431049,34.76277781,,Price,2009
UNODC (Published data),Europe,Western and Central Europe,Belgium,ATS,Amphetamine,,,Kilogram,Wholesale,4102.007782,3337.22667,4866.788894,,Price,2009
UNODC (Published data),Americas,North America,Bermuda,Opioids,Heroin,,,Gram,Street,175.0399933,,,,Price,2006
UNODC (Published data),Americas,North America,Bermuda,Cannabis-type,Marijuana (herb),,,Gram,Street,124.0599976,,,,Price,2006
UNODC (Published data),Americas,North America,Bermuda,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,13130,10940,15320,,Price,2006
UNODC (Published data),Americas,North America,Bermuda,ATS,Ecstasy-type substances,,,Tablet,Street,64.5,49.61999893,79.40000153,,Price,2006
UNODC (Published data),Asia,South Asia,Bangladesh,Opioids,Opium,,,Gram,Street,2,1.5,2.5,,Price,2005
UNODC (Published data),Asia,South Asia,Bangladesh,Opioids,Opium,,,Kilogram,Wholesale,1500,1300,1500,,Price,2006
UNODC (Published data),Asia,South Asia,Bangladesh,Cannabis-type,Hashish (resin),,,Gram,Street,2.210000038,2.059999943,2.50999999,,Price,2006
UNODC (Published data),Asia,South Asia,Bangladesh,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,1100,900,1300,,Price,2006
UNODC (Published data),Asia,South Asia,Bangladesh,Opioids,Heroin,Heroin no 3,,Gram,Street,125,110,140,,Price,2008
UNODC (Published data),Asia,South Asia,Bangladesh,Cannabis-type,Marijuana (herb),,,Gram,Street,1.299999952,1.100000024,1.5,,Price,2008
