lon,lat,locality,year,month,kingdom,class,family,genus,species
-7.0,62.0,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-7.0,62.0,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-6.0,62.0,"Kalsø, Husum",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
9.0,55.0,Middelfart,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
11.0,55.0,"Kalundborg, Gisseløre",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-6.93,61.599998,"Suderø, Kvalbø",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-6.82,61.549999,"Suderø, Trangisvaag",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,"Sandø, Sand",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-6.0,61.0,Sandø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-6.0,61.0,"Suderø, Trangisvaag, Galgetangen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-6.0,61.0,Sandø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
10.0,55.0,Røsnæs lighthouse,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,Myggenæs,1900,6.0,Chromista,Phaeophyceae,Himanthaliaceae,Himanthalia,Himanthalia elongata (L.) Gray
-7.0,62.0,Myggenæs bygd,1900,6.0,Chromista,Phaeophyceae,Himanthaliaceae,Himanthalia,Himanthalia elongata (L.) Gray
,,"Sandø, Troldhoved",1900,6.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
,,"Sandø, Troldhoved",1900,6.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
-6.83,61.450001,"Suderø, Vaags Ejde",1900,6.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
,,Myggenæs,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
,,Myggenæs,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-6.32,62.279999,Svinø,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-6.32,62.279999,Svinø,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-6.32,62.279999,Svinø,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-6.32,62.279999,Svinø,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
,,Myggenæs,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-7.0,62.0,Myggenæs bygd,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-7.0,62.0,"Strømø, Saxen",1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-7.0,62.0,"Strømø, Saxen",1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-7.0,62.0,"Strømø, Saxen",1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-7.0,62.0,"Strømø, Saxen",1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-7.0,62.0,Myggenæs bygd,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-7.0,62.0,Myggenæs bygd,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
,,"Vaagø, Sørvaag",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
,,"Vaagø, Sørvaag",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
,,"Sandø, Sand",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-7.2,62.25,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-7.0,62.0,"Myggenæs, E-end",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-7.0,62.0,"Myggenæs, E-end",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-7.0,62.0,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-6.0,61.0,Sandø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-6.0,61.0,"Suderø, Vaags Ejde",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-6.0,61.0,"Suderø, Vaags Ejde",1900,6.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
-6.0,61.0,"Sandø, Troldhoved",1900,6.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
-6.0,61.0,"Sandø, Troldhoved",1900,6.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
-71.26666,41.58333,Portsmouth,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-7.600833,62.106389,No locality information available,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
12.556389,56.070833,Hellebæk,1900,6.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
-6.833333,61.466667,Vágseidi,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
,,Waialua,1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,"Ulva lactuca f. lacinulata (Kütz.) Hauck, 1884"
-76.285218,36.846815,Norfolk,1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,Insula Suderø. Vaago Ejde,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-69.0,38.13,I Gulfstroinmen Atlanterhavet,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,Takashima,1900,6.0,Chromista,Phaeophyceae,Alariaceae,Undaria,Undaria pinnatifida var. distans Miyabe & Okamura
-157.890943,21.591276,"Punalulu, HI",1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
-158.125363,21.571408,"Waialua, Oahu, HI",1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-155.5,19.1333,Punaluu,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-155.5,19.1333,Punaluu,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.42,55.450001,Fanø,1900,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
9.0,55.0,"Fænø, N-side of Fænø Kalv",1900,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
9.0,55.0,"Fænø, N-side of Fænø Kalv",1900,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
8.0,55.0,Fanø,1900,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
9.73,55.5,Middelfart,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
9.73,55.5,Middelfart,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
9.0,55.0,Middelfart (E of),1900,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
9.0,55.0,Middelfart (E of),1900,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
8.0,55.0,Fanø,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
9.0,55.0,Fredericia,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
9.0,55.0,Middelfart Havn to Kongebroen,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
8.0,55.0,Esbjerg,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
8.0,55.0,"Fanø, Nordby",1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
9.0,55.0,Middelfart (E of),1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
9.0,55.0,Fredericia,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
9.0,55.0,Middelfart Havn to Kongebroen,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
9.0,55.0,"Vejle Fjord, Munkebjerg",1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
9.0,55.0,"Fænø, N-side of Fænø Kalv",1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.0,55.0,Esbjerg,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.0,55.0,"Fanø, Nordby",1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
9.0,55.0,Middelfart (E of),1900,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa (L.) Lyngb.
8.43,55.470001,Esbjerg,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.42,55.450001,"Fanø,",1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
9.75,55.57,Fredericia,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.43,55.470001,Esbjerg,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
11.68,55.200001,Karrebæksfjord,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.0,55.0,Esbjerg,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
9.0,55.0,Fredericia,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.0,55.0,Esbjerg,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.0,55.0,"Fanø, Nordby",1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
9.0,55.0,Middelfart Havn to Kongebroen,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
9.0,55.0,Fredericia,1900,7.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
9.0,55.0,Middelfart Havn,1900,7.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
12.75352,56.66977,Unknown,1900,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa (L.) Lyngb.
12.75352,56.66977,Unknown,1900,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa (L.) Lyngb.
12.75352,56.66977,Unknown,1900,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa (L.) Lyngb.
11.33048,58.09367,Måseskär,1900,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa (L.) Lyngb.
11.33048,58.09367,Måseskär,1900,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa (L.) Lyngb.
,,,1900,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa (L.) Lyngb.
,,"Orust, Måsskär",1900,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa (L.) Lyngb.
17.0,58.0,Suecia. Oxelösund,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,"Frankrike, Loires mynning.",1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
,,England. Yarmouth.,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
11.0,58.0,Bahusiae in infirma mari ad parvam insulam Måsskär prope Orust.,1900,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa (L.) Lyngb.
,,,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
,,,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,Redmond,1900,7.0,Plantae,Ulvophyceae,Codiaceae,Codium,Codium tomentosum Stackh.
-158.125836,21.5706,"Waialua, Oahu",1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-68.246563,44.158666,"Duck Island, off Mount Desert",1900,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
-158.125836,21.5706,Waialua,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,Bohuslän. Bahusiae in infirno man ad parvam insulam Masskar prope Arust,1900,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa (L.) Lyngb.
,,Punaluu,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,[no additional data],1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-69.630583,43.808551,"Squirrel Island, Southport, ME",1900,7.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) F.Weber & D.Mohr
,,Woods Hole.,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.45,57.029999,"Klitmøller, Ørhage",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
8.0,56.0,Thyborøn,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
8.0,57.0,"Klitmøller, inside Ørhage",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
10.0,55.0,"Samsø, Yderste Holm",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
10.0,55.0,"Samsø, Kyholm",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
10.0,55.0,"Samsø, Havnehage, N-part of Besser Rev",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
10.0,55.0,"Samsø, Koldby Kås",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
10.0,55.0,"Samsø, Kyholm",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
10.0,55.0,"Samsø, S-part of Besser Rev",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
10.0,55.0,"Samsø, Koldby Kås",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.0,57.0,"Klitmøller, inside Ørhage",1900,8.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea (Gunnerus) Foslie
8.0,57.0,"Klitmøller, inside Ørhage",1900,8.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea (Gunnerus) Foslie
8.0,56.0,Thyborøn,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
10.0,55.0,"Samsø, Yderste Holm",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
10.0,55.0,"Samsø, Koldby Kås",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
8.0,57.0,"Klitmøller, inside Ørhage",1900,8.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
-71.26666,41.58333,Portsmouth,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
11.60242,58.11857,Skutholmen,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
11.60242,58.11857,Skutholmen,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
11.60242,58.11857,Skutholmen,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
11.0,58.0,Bahusiae ad litus parvae insulae Skutholmen prope Prust.,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
11.0,58.0,Boh. Stenungsund.,1900,8.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa (L.) Lyngb.
-70.463358,41.400784,"Cape Poge Bay, Martha's Vineyard",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
-70.463358,41.400784,"Cape Poge Bay, in the vicinity of Edgartown, unattached on borders of a tidal pond among marsh grasses",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
-70.530825,41.383653,"in the vicinity of Edgartown, littoral, on wharf",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
-70.530825,41.383653,"in the vicinity of Edgartown, littoral, on wharf",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
-69.757715,43.708583,Sequin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
,,Bahusiae ad litus parvae insulae I. Rutholmen[?] prope Arust[Orust?],1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
-69.757715,43.708583,Sequin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-69.757715,43.708583,Seguin Island,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,Bahusiae ad litus parvae insulae [?] kutholmen prope Orust,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
