,_id,order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer,geometria,producto,cantidad,opiniones
6,6207981ff1ffd716fe69da6d,ORD089966,ID0243097196,2019-09-07,Nickolson,"('Thunder line', 1)",26625,98.37,-37.8215382,144.9671453,5,25392.12,Spring,True,0.39,love it i like it,True,"{'type': 'Point', 'coordinates': [144.9671453, -37.8215382]}",Thunder line,1,Neutral
6,6207981ff1ffd716fe69da6d,ORD089966,ID0243097196,2019-09-07,Nickolson,"('Alcon 10', 2)",26625,98.37,-37.8215382,144.9671453,5,25392.12,Spring,True,0.39,love it i like it,True,"{'type': 'Point', 'coordinates': [144.9671453, -37.8215382]}",Alcon 10,2,Neutral
7,6207981ff1ffd716fe69da74,ORD144770,ID0304168536,2019-07-02,Nickolson,"('Lucent 330S', 2)",11100,76.33,-37.8229997,144.9644869,0,11176.33,Winter,True,0.6623,great,True,"{'type': 'Point', 'coordinates': [144.9644869, -37.8229997]}",Lucent 330S,2,Good
7,6207981ff1ffd716fe69da74,ORD144770,ID0304168536,2019-07-02,Nickolson,"('Toshika 750', 2)",11100,76.33,-37.8229997,144.9644869,0,11176.33,Winter,True,0.6623,great,True,"{'type': 'Point', 'coordinates': [144.9644869, -37.8229997]}",Toshika 750,2,Good
8,6207981ff1ffd716fe69da22,ORD021786,ID0298046598,2019-10-29,Nickolson,"('Alcon 10', 2)",22540,72.88,-37.8210654,144.9664847,15,19231.88,Spring,False,0.3851,it's a good phone it's a good phone but compared to the new generation it's look old,True,"{'type': 'Point', 'coordinates': [144.9664847, -37.8210654]}",Alcon 10,2,Good
8,6207981ff1ffd716fe69da22,ORD021786,ID0298046598,2019-10-29,Nickolson,"('Thunder line', 1)",22540,72.88,-37.8210654,144.9664847,15,19231.88,Spring,False,0.3851,it's a good phone it's a good phone but compared to the new generation it's look old,True,"{'type': 'Point', 'coordinates': [144.9664847, -37.8210654]}",Thunder line,1,Good
8,6207981ff1ffd716fe69da22,ORD021786,ID0298046598,2019-10-29,Nickolson,"('Lucent 330S', 2)",22540,72.88,-37.8210654,144.9664847,15,19231.88,Spring,False,0.3851,it's a good phone it's a good phone but compared to the new generation it's look old,True,"{'type': 'Point', 'coordinates': [144.9664847, -37.8210654]}",Lucent 330S,2,Good
9,6207981ff1ffd716fe69db37,ORD236948,ID0411688745,2019-12-08,Nickolson,"('Universe Note', 1)",12090,52.04,-37.820842,144.9695038,15,10328.54,Summer,False,0.2502,"no verizon sim card would work. just got the razr today. took it in to the verizon store, and they tried over twenty different sim cards of three different kinds. none of them were compatible. they told me the phone was likely refurbished, not new.",False,"{'type': 'Point', 'coordinates': [144.9695038, -37.820842]}",Universe Note,1,Neutral
9,6207981ff1ffd716fe69db37,ORD236948,ID0411688745,2019-12-08,Nickolson,"('Thunder line', 1)",12090,52.04,-37.820842,144.9695038,15,10328.54,Summer,False,0.2502,"no verizon sim card would work. just got the razr today. took it in to the verizon store, and they tried over twenty different sim cards of three different kinds. none of them were compatible. they told me the phone was likely refurbished, not new.",False,"{'type': 'Point', 'coordinates': [144.9695038, -37.820842]}",Thunder line,1,Neutral
9,6207981ff1ffd716fe69db37,ORD236948,ID0411688745,2019-12-08,Nickolson,"('iStream', 1)",12090,52.04,-37.820842,144.9695038,15,10328.54,Summer,False,0.2502,"no verizon sim card would work. just got the razr today. took it in to the verizon store, and they tried over twenty different sim cards of three different kinds. none of them were compatible. they told me the phone was likely refurbished, not new.",False,"{'type': 'Point', 'coordinates': [144.9695038, -37.820842]}",iStream,1,Neutral
9,6207981ff1ffd716fe69db37,ORD236948,ID0411688745,2019-12-08,Nickolson,"('pearTV', 1)",12090,52.04,-37.820842,144.9695038,15,10328.54,Summer,False,0.2502,"no verizon sim card would work. just got the razr today. took it in to the verizon store, and they tried over twenty different sim cards of three different kinds. none of them were compatible. they told me the phone was likely refurbished, not new.",False,"{'type': 'Point', 'coordinates': [144.9695038, -37.820842]}",pearTV,1,Neutral
10,6207981ff1ffd716fe69da9d,ORD453668,ID0664378466,2019-03-10,Nickolson,"('Candle Inferno', 1)",672832,62.82,-37.820156,144.9669682,25,17972.82,Autumn,False,0.286,great smartphone i'm the type of individual that is computer & smartphone. i upgraded my cell phone with this. if i can work this - anyone can! well worth the money!,True,"{'type': 'Point', 'coordinates': [144.9669682, -37.820156]}",Candle Inferno,1,Good
10,6207981ff1ffd716fe69da9d,ORD453668,ID0664378466,2019-03-10,Nickolson,"('Toshika 750', 1)",672832,62.82,-37.820156,144.9669682,25,17972.82,Autumn,False,0.286,great smartphone i'm the type of individual that is computer & smartphone. i upgraded my cell phone with this. if i can work this - anyone can! well worth the money!,True,"{'type': 'Point', 'coordinates': [144.9669682, -37.820156]}",Toshika 750,1,Good
10,6207981ff1ffd716fe69da9d,ORD453668,ID0664378466,2019-03-10,Nickolson,"('Lucent 330S', 1)",672832,62.82,-37.820156,144.9669682,25,17972.82,Autumn,False,0.286,great smartphone i'm the type of individual that is computer & smartphone. i upgraded my cell phone with this. if i can work this - anyone can! well worth the money!,True,"{'type': 'Point', 'coordinates': [144.9669682, -37.820156]}",Lucent 330S,1,Good
10,6207981ff1ffd716fe69da9d,ORD453668,ID0664378466,2019-03-10,Nickolson,"('Alcon 10', 2)",672832,62.82,-37.820156,144.9669682,25,17972.82,Autumn,False,0.286,great smartphone i'm the type of individual that is computer & smartphone. i upgraded my cell phone with this. if i can work this - anyone can! well worth the money!,True,"{'type': 'Point', 'coordinates': [144.9669682, -37.820156]}",Alcon 10,2,Good
11,6207981ff1ffd716fe69da53,ORD244567,ID0846546861,2019-06-13,Nickolson,"('Toshika 750', 1)",6800,71.89,-37.8201111,144.9684911,15,5851.89,Winter,True,0.1928,this was bought as a replacement for my wife's previous candle. she is loving the larger screen and the fact that it has a camera.,True,"{'type': 'Point', 'coordinates': [144.9684911, -37.8201111]}",Toshika 750,1,Neutral
11,6207981ff1ffd716fe69da53,ORD244567,ID0846546861,2019-06-13,Nickolson,"('Thunder line', 1)",6800,71.89,-37.8201111,144.9684911,15,5851.89,Winter,True,0.1928,this was bought as a replacement for my wife's previous candle. she is loving the larger screen and the fact that it has a camera.,True,"{'type': 'Point', 'coordinates': [144.9684911, -37.8201111]}",Thunder line,1,Neutral
11,6207981ff1ffd716fe69da53,ORD244567,ID0846546861,2019-06-13,Nickolson,"('iStream', 2)",6800,71.89,-37.8201111,144.9684911,15,5851.89,Winter,True,0.1928,this was bought as a replacement for my wife's previous candle. she is loving the larger screen and the fact that it has a camera.,True,"{'type': 'Point', 'coordinates': [144.9684911, -37.8201111]}",iStream,2,Neutral
12,6207981ff1ffd716fe69d9e0,ORD315179,ID0664378464,2019-04-20,Nickolson,"('Candle Inferno', 2)",23660,49.88,-37.8201199,144.9669823,25,17794.88,Autumn,False,0.2826,useless! phone sold without sd card. useless!,False,"{'type': 'Point', 'coordinates': [144.9669823, -37.8201199]}",Candle Inferno,2,Neutral
12,6207981ff1ffd716fe69d9e0,ORD315179,ID0664378464,2019-04-20,Nickolson,"('Lucent 330S', 1)",23660,49.88,-37.8201199,144.9669823,25,17794.88,Autumn,False,0.2826,useless! phone sold without sd card. useless!,False,"{'type': 'Point', 'coordinates': [144.9669823, -37.8201199]}",Lucent 330S,1,Neutral
12,6207981ff1ffd716fe69d9e0,ORD315179,ID0664378464,2019-04-20,Nickolson,"('Alcon 10', 1)",23660,49.88,-37.8201199,144.9669823,25,17794.88,Autumn,False,0.2826,useless! phone sold without sd card. useless!,False,"{'type': 'Point', 'coordinates': [144.9669823, -37.8201199]}",Alcon 10,1,Neutral
12,6207981ff1ffd716fe69d9e0,ORD315179,ID0664378464,2019-04-20,Nickolson,"('pearTV', 2)",23660,49.88,-37.8201199,144.9669823,25,17794.88,Autumn,False,0.2826,useless! phone sold without sd card. useless!,False,"{'type': 'Point', 'coordinates': [144.9669823, -37.8201199]}",pearTV,2,Neutral
13,6207981ff1ffd716fe69d9b7,ORD288725,ID0457365601,2019-10-25,Nickolson,"('pearTV', 1)",19400,72.47,-37.8207167,144.9707771,15,16562.47,Spring,False,0.2596,quick and easy to set up,True,"{'type': 'Point', 'coordinates': [144.9707771, -37.8207167]}",pearTV,1,Neutral
13,6207981ff1ffd716fe69d9b7,ORD288725,ID0457365601,2019-10-25,Nickolson,"('iAssist Line', 2)",19400,72.47,-37.8207167,144.9707771,15,16562.47,Spring,False,0.2596,quick and easy to set up,True,"{'type': 'Point', 'coordinates': [144.9707771, -37.8207167]}",iAssist Line,2,Neutral
13,6207981ff1ffd716fe69d9b7,ORD288725,ID0457365601,2019-10-25,Nickolson,"('Toshika 750', 2)",19400,72.47,-37.8207167,144.9707771,15,16562.47,Spring,False,0.2596,quick and easy to set up,True,"{'type': 'Point', 'coordinates': [144.9707771, -37.8207167]}",Toshika 750,2,Neutral
14,6207981ff1ffd716fe69d9ac,ORD308765,ID0107172471,2019-01-04,Nickolson,"('iStream', 1)",2330,89.45,-37.8214213,144.9639248,5,2302.95,Summer,True,0.5863,five stars it is everything and more. seller threw in a screen protector. thanks,True,"{'type': 'Point', 'coordinates': [144.9639248, -37.8214213]}",iStream,1,Neutral
14,6207981ff1ffd716fe69d9ac,ORD308765,ID0107172471,2019-01-04,Nickolson,"('Thunder line', 1)",2330,89.45,-37.8214213,144.9639248,5,2302.95,Summer,True,0.5863,five stars it is everything and more. seller threw in a screen protector. thanks,True,"{'type': 'Point', 'coordinates': [144.9639248, -37.8214213]}",Thunder line,1,Neutral
15,6207981ff1ffd716fe69daf1,ORD121712,ID2400284486,2019-02-16,Nickolson,"('Thunder line', 1)",5630,68.55,-37.8198853,144.9650779,5,5417.05,Summer,False,0.4187,"excellent, well worth the price, albeit it was a great price. i love my phone. highly recommended. no problems, no counterfeit, nothing bad to say. i am thrilled with my phone---which i have for almost two years now---and it had a bunch of accessories. i would buy from these people again.",False,"{'type': 'Point', 'coordinates': [144.9650779, -37.8198853]}",Thunder line,1,Good
15,6207981ff1ffd716fe69daf1,ORD121712,ID2400284486,2019-02-16,Nickolson,"('Olivia x460', 1)",5630,68.55,-37.8198853,144.9650779,5,5417.05,Summer,False,0.4187,"excellent, well worth the price, albeit it was a great price. i love my phone. highly recommended. no problems, no counterfeit, nothing bad to say. i am thrilled with my phone---which i have for almost two years now---and it had a bunch of accessories. i would buy from these people again.",False,"{'type': 'Point', 'coordinates': [144.9650779, -37.8198853]}",Olivia x460,1,Good
15,6207981ff1ffd716fe69daf1,ORD121712,ID2400284486,2019-02-16,Nickolson,"('iAssist Line', 1)",5630,68.55,-37.8198853,144.9650779,5,5417.05,Summer,False,0.4187,"excellent, well worth the price, albeit it was a great price. i love my phone. highly recommended. no problems, no counterfeit, nothing bad to say. i am thrilled with my phone---which i have for almost two years now---and it had a bunch of accessories. i would buy from these people again.",False,"{'type': 'Point', 'coordinates': [144.9650779, -37.8198853]}",iAssist Line,1,Good
16,6207981ff1ffd716fe69d9c6,ORD300049,ID0387704653,2019-06-22,Nickolson,"('Toshika 750', 1)",4470,63.92,-37.8204423,144.9640738,25,3416.42,Winter,False,0.5237,"best phone onhe market its the best phone on the market. replaceable battery, micro sd, 13megapixel camera that's only beaten by the lumia 41 megapixel camera, infra red, widows pone 8.1 (devpre), amazing screen and its light as a feather. cost me less than £200!",True,"{'type': 'Point', 'coordinates': [144.9640738, -37.8204423]}",Toshika 750,1,Good
16,6207981ff1ffd716fe69d9c6,ORD300049,ID0387704653,2019-06-22,Nickolson,"('iStream', 1)",4470,63.92,-37.8204423,144.9640738,25,3416.42,Winter,False,0.5237,"best phone onhe market its the best phone on the market. replaceable battery, micro sd, 13megapixel camera that's only beaten by the lumia 41 megapixel camera, infra red, widows pone 8.1 (devpre), amazing screen and its light as a feather. cost me less than £200!",True,"{'type': 'Point', 'coordinates': [144.9640738, -37.8204423]}",iStream,1,Good
17,6207981ff1ffd716fe69da68,ORD262556,ID4162427930,2019-09-09,Nickolson,"('iStream', 1)",1010,56.5,-37.8196563,144.9716825,15,915.0,Spring,False,0.2216,"not unlocked for verizon contrary to title of item, unit did not operate with verizon at all. was still locked under at&t. sent back and awaiting refund.",False,"{'type': 'Point', 'coordinates': [144.9716825, -37.8196563]}",iStream,1,Poor
17,6207981ff1ffd716fe69da68,ORD262556,ID4162427930,2019-09-09,Nickolson,"('Candle Inferno', 2)",1010,56.5,-37.8196563,144.9716825,15,915.0,Spring,False,0.2216,"not unlocked for verizon contrary to title of item, unit did not operate with verizon at all. was still locked under at&t. sent back and awaiting refund.",False,"{'type': 'Point', 'coordinates': [144.9716825, -37.8196563]}",Candle Inferno,2,Poor
18,6207981ff1ffd716fe69db55,ORD124413,ID0846545708,2019-08-06,Thompson,"('Olivia x460', 2)",15800,61.64,-37.818553,144.9678922,10,14281.64,Winter,False,0.1459,lightweight and battery lasts! nice phone! fits in my pants cargo pocket nicely. it has data option and connects but has a little screen. hard for older dude to see. still i love it.,True,"{'type': 'Point', 'coordinates': [144.9678922, -37.818553]}",Olivia x460,2,Good
18,6207981ff1ffd716fe69db55,ORD124413,ID0846545708,2019-08-06,Thompson,"('pearTV', 2)",15800,61.64,-37.818553,144.9678922,10,14281.64,Winter,False,0.1459,lightweight and battery lasts! nice phone! fits in my pants cargo pocket nicely. it has data option and connects but has a little screen. hard for older dude to see. still i love it.,True,"{'type': 'Point', 'coordinates': [144.9678922, -37.818553]}",pearTV,2,Good
18,6207981ff1ffd716fe69db55,ORD124413,ID0846545708,2019-08-06,Thompson,"('Candle Inferno', 1)",15800,61.64,-37.818553,144.9678922,10,14281.64,Winter,False,0.1459,lightweight and battery lasts! nice phone! fits in my pants cargo pocket nicely. it has data option and connects but has a little screen. hard for older dude to see. still i love it.,True,"{'type': 'Point', 'coordinates': [144.9678922, -37.818553]}",Candle Inferno,1,Good
18,6207981ff1ffd716fe69db55,ORD124413,ID0846545708,2019-08-06,Thompson,"('iStream', 2)",15800,61.64,-37.818553,144.9678922,10,14281.64,Winter,False,0.1459,lightweight and battery lasts! nice phone! fits in my pants cargo pocket nicely. it has data option and connects but has a little screen. hard for older dude to see. still i love it.,True,"{'type': 'Point', 'coordinates': [144.9678922, -37.818553]}",iStream,2,Good
19,6207981ff1ffd716fe69db1e,ORD177535,ID0294622374,2019-06-29,Nickolson,"('Universe Note', 2)",18020,62.95,-37.8183099,144.9669939,10,16280.95,Winter,False,0.2271,good price excellent perfomance!! good phone!! very fast!! they battery is amazing. the phone came with a screen protector and a cover.,True,"{'type': 'Point', 'coordinates': [144.9669939, -37.8183099]}",Universe Note,2,Good
19,6207981ff1ffd716fe69db1e,ORD177535,ID0294622374,2019-06-29,Nickolson,"('Thunder line', 1)",18020,62.95,-37.8183099,144.9669939,10,16280.95,Winter,False,0.2271,good price excellent perfomance!! good phone!! very fast!! they battery is amazing. the phone came with a screen protector and a cover.,True,"{'type': 'Point', 'coordinates': [144.9669939, -37.8183099]}",Thunder line,1,Good
19,6207981ff1ffd716fe69db1e,ORD177535,ID0294622374,2019-06-29,Nickolson,"('Toshika 750', 2)",18020,62.95,-37.8183099,144.9669939,10,16280.95,Winter,False,0.2271,good price excellent perfomance!! good phone!! very fast!! they battery is amazing. the phone came with a screen protector and a cover.,True,"{'type': 'Point', 'coordinates': [144.9669939, -37.8183099]}",Toshika 750,2,Good
19,6207981ff1ffd716fe69db1e,ORD177535,ID0294622374,2019-06-29,Nickolson,"('iStream', 2)",18020,62.95,-37.8183099,144.9669939,10,16280.95,Winter,False,0.2271,good price excellent perfomance!! good phone!! very fast!! they battery is amazing. the phone came with a screen protector and a cover.,True,"{'type': 'Point', 'coordinates': [144.9669939, -37.8183099]}",iStream,2,Good
20,6207981ff1ffd716fe69db53,ORD190200,ID0591432788,2019-05-12,Nickolson,"('pearTV', 1)",14950,48.99,-37.8195758,144.9632486,5,14251.49,Autumn,False,0.5649,do not buy this phone was a big let down. i don't even know where to begin,False,"{'type': 'Point', 'coordinates': [144.9632486, -37.8195758]}",pearTV,1,Neutral
20,6207981ff1ffd716fe69db53,ORD190200,ID0591432788,2019-05-12,Nickolson,"('Toshika 750', 2)",14950,48.99,-37.8195758,144.9632486,5,14251.49,Autumn,False,0.5649,do not buy this phone was a big let down. i don't even know where to begin,False,"{'type': 'Point', 'coordinates': [144.9632486, -37.8195758]}",Toshika 750,2,Neutral
21,6207981ff1ffd716fe69d9f5,ORD275535,ID4520380451,2019-01-09,Nickolson,"('iStream', 2)",14420,58.19,-37.8216013,144.961298,5,13757.19,Summer,False,0.7992,"very bad received the equipment and never lit, i thought it came fully discharged and discarded with other chargers actually burnt wine team, plus it did not bring handsfree or a user's manual, i am very upset about the teasing after me to trust in you",False,"{'type': 'Point', 'coordinates': [144.961298, -37.8216013]}",iStream,2,Poor
21,6207981ff1ffd716fe69d9f5,ORD275535,ID4520380451,2019-01-09,Nickolson,"('pearTV', 1)",14420,58.19,-37.8216013,144.961298,5,13757.19,Summer,False,0.7992,"very bad received the equipment and never lit, i thought it came fully discharged and discarded with other chargers actually burnt wine team, plus it did not bring handsfree or a user's manual, i am very upset about the teasing after me to trust in you",False,"{'type': 'Point', 'coordinates': [144.961298, -37.8216013]}",pearTV,1,Poor
21,6207981ff1ffd716fe69d9f5,ORD275535,ID4520380451,2019-01-09,Nickolson,"('Universe Note', 1)",14420,58.19,-37.8216013,144.961298,5,13757.19,Summer,False,0.7992,"very bad received the equipment and never lit, i thought it came fully discharged and discarded with other chargers actually burnt wine team, plus it did not bring handsfree or a user's manual, i am very upset about the teasing after me to trust in you",False,"{'type': 'Point', 'coordinates': [144.961298, -37.8216013]}",Universe Note,1,Poor
21,6207981ff1ffd716fe69d9f5,ORD275535,ID4520380451,2019-01-09,Nickolson,"('Thunder line', 2)",14420,58.19,-37.8216013,144.961298,5,13757.19,Summer,False,0.7992,"very bad received the equipment and never lit, i thought it came fully discharged and discarded with other chargers actually burnt wine team, plus it did not bring handsfree or a user's manual, i am very upset about the teasing after me to trust in you",False,"{'type': 'Point', 'coordinates': [144.961298, -37.8216013]}",Thunder line,2,Poor
22,6207981ff1ffd716fe69db11,ORD409115,ID0294625076,2019-04-08,Nickolson,"('Thunder line', 1)",7725,65.28,-37.8188135,144.9641165,10,7017.78,Autumn,False,0.4785,"great the only reason for the 4 stars is because the phone has a couple of minor scratches in the back, but the product itself works great (by now)",True,"{'type': 'Point', 'coordinates': [144.9641165, -37.8188135]}",Thunder line,1,Good
22,6207981ff1ffd716fe69db11,ORD409115,ID0294625076,2019-04-08,Nickolson,"('Olivia x460', 1)",7725,65.28,-37.8188135,144.9641165,10,7017.78,Autumn,False,0.4785,"great the only reason for the 4 stars is because the phone has a couple of minor scratches in the back, but the product itself works great (by now)",True,"{'type': 'Point', 'coordinates': [144.9641165, -37.8188135]}",Olivia x460,1,Good
22,6207981ff1ffd716fe69db11,ORD409115,ID0294625076,2019-04-08,Nickolson,"('Toshika 750', 1)",7725,65.28,-37.8188135,144.9641165,10,7017.78,Autumn,False,0.4785,"great the only reason for the 4 stars is because the phone has a couple of minor scratches in the back, but the product itself works great (by now)",True,"{'type': 'Point', 'coordinates': [144.9641165, -37.8188135]}",Toshika 750,1,Good
23,6207981ff1ffd716fe69da44,ORD024391,ID2768639318,2019-11-06,Nickolson,"('IASSIST LINE', 2)",7490,96.49,-37.8179311,144.9673941,25,5713.99,Spring,True,0.2036,weird phone liked the phone but couldn't make it work with a new sim card,True,"{'type': 'Point', 'coordinates': [144.9673941, -37.8179311]}",IASSIST LINE,2,Neutral
23,6207981ff1ffd716fe69da44,ORD024391,ID2768639318,2019-11-06,Nickolson,"('CANDLE INFERNO', 2)",7490,96.49,-37.8179311,144.9673941,25,5713.99,Spring,True,0.2036,weird phone liked the phone but couldn't make it work with a new sim card,True,"{'type': 'Point', 'coordinates': [144.9673941, -37.8179311]}",CANDLE INFERNO,2,Neutral
23,6207981ff1ffd716fe69da44,ORD024391,ID2768639318,2019-11-06,Nickolson,"('THUNDER LINE', 1)",7490,96.49,-37.8179311,144.9673941,25,5713.99,Spring,True,0.2036,weird phone liked the phone but couldn't make it work with a new sim card,True,"{'type': 'Point', 'coordinates': [144.9673941, -37.8179311]}",THUNDER LINE,1,Neutral
24,6207981ff1ffd716fe69d9ec,ORD322017,ID0591429491,2019-03-21,Nickolson,"('Toshika 750', 2)",19250,48.55,-37.8182266,144.9651144,10,17373.55,Autumn,False,68.8892,one star was sent completely non functioning phone. microphone does not work.,False,"{'type': 'Point', 'coordinates': [144.9651144, -37.8182266]}",Toshika 750,2,Poor
