fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,prc_habita,prc_plazas,longitud,latitud,geohash,utm_x,utm_y
"11",HOTEL DON CANDIDO,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"CALLE PORTUGAL, 10. (URBANIZACIÓN. SAN FERNANDO)",Menor de 50 habitaciones,Menor de 100 plazas,-16.54591798,28.410362151,eth1x7zwk5,348571.02,3143633.77
"12",APARTAMENTOS EL TREBOL,ALOJAMIENTOS,A3,5510_L6,Apartamentos,"3",3 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"AVENIDA LAS PALMERAS, 10",80 o más apartamentos,260 o más plazas,-13.48608255,29.005413837,etnmj078z9,647456.93,3209530.19
"13",HOTEL INTERPALACE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"CALLE ACEVIÑO, 21",De 150 a 299 habitaciones,De 350 a 649 plazas,-16.53579714,28.415682546,eth1xsyvrg,349570.05,3144210.6
"14",SMY HOTEL PUERTO DE LA CRUZ,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"CALLE MARQUES VILLANUEVA DEL PRADO, S/N.",300 o más habitaciones,De 350 a 649 plazas,-16.54199841,28.414125234,eth1xsdkr2,348960.35,3144045.81
"15",HOTEL ELEGANCE MIRAMAR,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"PARQUE DE TAORO, Nº 23",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.54734603,28.411936216,eth1xknxdb,348433.36,3143809.98
"16",HOTEL MONOPOL,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE QUINTANA, 15",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.54848929,28.417324372,eth1xmjybm,348329.04,3144408.45
"17",HOTEL NOPAL,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE SAN JUAN, 15",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.54944003,28.41584195,eth1xkvn60,348233.79,3144245.39
"18",HOTEL PUERTO PALACE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B51,Playa Jardín - Maritim,"38028",Puerto de la Cruz,"CALLE DOCTOR COBIELLA ZAERA, 2",300 o más habitaciones,De 350 a 649 plazas,-16.55050638,28.408142735,eth1x7s33j,348118.34,3143393.63
"19",HOTEL SAN BORONDON,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE AGUSTIN DE ESPINOSA, 2",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.5555382,28.414927593,eth1xkb8gy,347635.09,3144151.78
"20",HOTEL H10 TENERIFE PLAYA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B54,Martiánez,"38028",Puerto de la Cruz,"AVENIDA COLON, 12",300 o más habitaciones,De 350 a 649 plazas,-16.542701,28.418856184,eth1xt3zz4,348898.24,3144570.9
"21",HOTEL EL TOPE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"CALZADA DE MARTIANEZ, 2",De 150 a 299 habitaciones,De 350 a 649 plazas,-16.54370429,28.414635127,eth1xs9ppx,348793.96,3144104.45
"22",HOTEL TROPICAL,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE PUERTO VIEJO, 1",Menor de 50 habitaciones,Menor de 100 plazas,-16.55123592,28.416177895,eth1xm5b0p,348058.34,3144284.88
"23",HOTEL MELIA FUERTEVENTURA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES704,Fuerteventura,ES704B9,Resto de Fuerteventura,ES704B9,Resto de Fuerteventura,"35015",Pájara,PLAYA BARCA S/N.,300 o más habitaciones,650 o más plazas,-14.24543937,28.136811843,etjb5f4uc1,574097.59,3112587.97
"24",HOTEL APART. PANORAMICA GARDEN,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38031",Los Realejos,"CALLE LA LONGUERA, S/N",De 150 a 299 habitaciones,De 350 a 649 plazas,-16.58136253,28.397469054,eth1w9tg4p,345079.84,3142250.25
"25",HOTEL MARITIM,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B51,Playa Jardín - Maritim,"38031",Los Realejos,CALLE EL BURGADO S/N,De 150 a 299 habitaciones,De 100 a 349 plazas,-16.57059077,28.406585643,eth1wgm8m5,346148.43,3143246.6
"26",URBAN ANAGA HOTEL,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38038",Santa Cruz de Tenerife,CALLE IMELDO SERIS NUMERO 19,De 50 a 149 habitaciones,De 100 a 349 plazas,-16.24949709,28.465761761,eth3ynp3p6,377673.25,3149434.76
"27",HOTEL COLON RAMBLA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38038",Santa Cruz de Tenerife,"CALLE VIERA Y CLAVIJO, 49",Menor de 50 habitaciones,De 100 a 349 plazas,-16.25690102,28.471322646,eth3yp416z,376954.78,3150058.45
"28",HOTEL BARCELÓ SANTA CRUZ CONTEMPORANEO,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38038",Santa Cruz de Tenerife,"AVENIDA RAMBLA DE SANTA CRUZ, 116",De 150 a 299 habitaciones,De 100 a 349 plazas,-16.25313653,28.474049419,eth3ypsc67,377326.49,3150356.72
"29",HOTEL HORIZONTE,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38038",Santa Cruz de Tenerife,"CALLE SANTA ROSA DE LIMA, 11",Menor de 50 habitaciones,Menor de 100 plazas,-16.2496682,28.470009033,eth3ynz3g6,377661.39,3149905.52
"30",HOTEL ADONIS PLAZA,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38038",Santa Cruz de Tenerife,"PLAZA DE LA CANDELARIA, 10",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.24859157,28.467083197,eth3yq20u2,377763.43,3149580.25
"31",HOTEL TABURIENTE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38038",Santa Cruz de Tenerife,CALLE JOSE NAVEIRAS 24,De 150 a 299 habitaciones,De 100 a 349 plazas,-16.25310838,28.473421054,eth3ypkven,377328.52,3150287.07
"32",HOTEL AEROPUERTO SUR,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38017",Granadilla de Abona,"CALLE BENCHIJIGUA, 4",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.5557725,28.073056047,esupxq83qs,347125.27,3106272.1
"33",HOTEL PRINCIPE PAZ,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38038",Santa Cruz de Tenerife,"CALLE VALENTIN SANZ, 33-35 ESQ. ADELANTADO",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.25083049,28.46876366,eth3ynwd84,377546.16,3149768.72
"34",HOTEL ROBINSON CLUB JANDIA PLAYA,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES704,Fuerteventura,ES704B4,Morro Jable,ES704B41,Morro Jable: Morro Jable,"35015",Pájara,PLAYA DEL MATORRAL,300 o más habitaciones,650 o más plazas,-14.34249039,28.048471697,esvz9dh45y,564619.85,3102746.2
"35",HOTEL BARCELO SANTIAGO,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B4,Isora,ES709B42,Puerto Santiago,"38040",Santiago del Teide,"CALLE LA HONDURA, N 8",300 o más habitaciones,650 o más plazas,-16.84473264,28.239184946,eth08sy11m,319005.91,3125077.51
"36",SUNPRIME CORAL SUITES & SPA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B2,Las Américas - Los Cristianos,ES709B22,Las Américas - Arona,"38006",Arona,"AVENIDA NOELIA AFONSO, 10",De 150 a 299 habitaciones,De 350 a 649 plazas,-16.73003197,28.058281185,esupe7ce3f,329975.99,3104866.14
"37",GRAN HOTEL BAHIA DEL DUQUE RESORT,ALOJAMIENTOS,H5,5510_L1,Hotel,"5",5 Estrellas,ES709,Tenerife,ES709B1,Adeje turístico,ES709B13,Playa de El Duque,"38001",Adeje,"AVENIDA DE BRUSELAS,S/N",300 o más habitaciones,650 o más plazas,-16.74219916,28.093618184,esupg429nq,328836.07,3108798.71
"38",HOTEL PERLA TENERIFE,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"CALLE ISLA DE LA GOMERA, S/N.",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.54118302,28.408218247,eth1xee1f7,349031.85,3143390.27
"39",HOTEL LA QUINTA PARK SUITES & SPA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38039",Santa Úrsula,"CALLE BICACARERA 21, URBANIZACIÓN LA QUINTA",De 150 a 299 habitaciones,De 350 a 649 plazas,-16.49521518,28.429040885,eth38xke1t,353563.91,3145640.69
"40",HOTEL ESCUELA SANTA CRUZ,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38038",Santa Cruz de Tenerife,"AVENIDA SAN SEBASTIAN, 152",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.2596338,28.463944122,eth3yj8n7p,376678.66,3149243.73
"41",HOTEL APART. VILLA DE ADEJE BEACH,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B1,Adeje turístico,ES709B14,Costa Adeje,"38001",Adeje,"AVENIDA DE LOS PUEBLO , 41",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.73065458,28.080859672,esupercng7,329950.36,3107368.81
"42",IBEROSTAR GRAN HOTEL ANTHELIA,ALOJAMIENTOS,H5,5510_L1,Hotel,"5",5 Estrellas,ES709,Tenerife,ES709B1,Adeje turístico,ES709B13,Playa de El Duque,"38001",Adeje,"CALLE LONDRES, 15",300 o más habitaciones,650 o más plazas,-16.73793908,28.089425948,esupg1ebcb,329248.04,3108328.2
"43",HOTEL JARDINES DE NIVARIA,ALOJAMIENTOS,H5,5510_L1,Hotel,"5",5 Estrellas,ES709,Tenerife,ES709B1,Adeje turístico,ES709B13,Playa de El Duque,"38001",Adeje,"CALLE PARIS, S/N",De 150 a 299 habitaciones,De 350 a 649 plazas,-16.7363035,28.088810499,esupg1kvpv,329407.79,3108257.71
"44",HOTEL TORRE DEL CONDE,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES706,La Gomera,ES700B9,Islas de Canarias sin entidades turísticas,ES700B99,Islas de Canarias sin núcleos turísticos,"38036",San Sebastián de La Gomera,CALLE RUIZ DE PADRON Nº 19,De 50 a 149 habitaciones,De 100 a 349 plazas,-17.11139986,28.091391315,esgzf9gu5q,292550.93,3109126.71
"45",HOTEL RIU PALACE JANDIA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES704,Fuerteventura,ES704B4,Morro Jable,ES704B41,Morro Jable: Morro Jable,"35015",Pájara,"CALLE ARENA, S/N",De 150 a 299 habitaciones,De 350 a 649 plazas,-14.34567686,28.049103995,esvz9d1vce,564306.3,3102814.56
"46",HOTEL JACARANDA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B1,Adeje turístico,ES709B14,Costa Adeje,"38001",Adeje,"CALLE BRUSELAS, 4",300 o más habitaciones,650 o más plazas,-16.73208652,28.088176568,esupg3216p,329821.18,3108181.56
"47",HOTEL RIU ARECAS,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B1,Adeje turístico,ES709B13,Playa de El Duque,"38001",Adeje,"URBANIZACIÓN LA HERRADURA, PARCELA I",300 o más habitaciones,650 o más plazas,-16.74570677,28.09500077,esupffw1hz,328493.6,3108956.85
"48",HOTEL H10 COSTA ADEJE PALACE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B1,Adeje turístico,ES709B13,Playa de El Duque,"38001",Adeje,"PLAYA DE LA ENRAMADA, S/N",300 o más habitaciones,650 o más plazas,-16.74912396,28.09685109,esupffgsj0,328160.77,3109166.7
"49",HOTEL RIU PALACE TENERIFE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B1,Adeje turístico,ES709B13,Playa de El Duque,"38001",Adeje,"CALLE LA HERRADURA, PARECELA I. URBANIZACIÓN. LA CALETA",De 150 a 299 habitaciones,De 350 a 649 plazas,-16.74736972,28.094513371,esupffkyqh,328329.42,3108905.19
"50",HOTEL FLAMINGO SUITE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B1,Adeje turístico,ES709B14,Costa Adeje,"38001",Adeje,"AVENIDA DE ESPAÑA, 6",Menor de 50 habitaciones,Menor de 100 plazas,-16.73339542,28.0799178,esupepz17s,329679.52,3107268.28
"51",PENSION CASSANDRA,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38006",Arona,CALLE ROSALEDA NUMERO 7,Menor de 50 habitaciones,Menor de 100 plazas,-16.6546558,28.068601621,esuptj8rqq,337400.53,3105906.7
"52",HOTEL CATALONIA ORO NEGRO,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B2,Las Américas - Los Cristianos,ES709B22,Las Américas - Arona,"38006",Arona,"CALLE ARQUITECTO GÓMEZ CUESTA, 14",De 150 a 299 habitaciones,De 350 a 649 plazas,-16.72688301,28.063062346,esupekez5m,330293.03,3105391.52
"53",HOTEL APART. ASTORIA,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE LA HOYA, 60",Menor de 50 habitaciones,Menor de 100 plazas,-16.54532122,28.416455346,eth1xt01f5,348638.15,3144308.17
"54",HOTEL TURQUESA PLAYA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B51,Playa Jardín - Maritim,"38028",Puerto de la Cruz,URBANIZACIÓN TURQUESA PLAYA,300 o más habitaciones,650 o más plazas,-16.55787708,28.410501929,eth1x5yzjm,347399.62,3143664.36
"55",HOTEL CATALONIA LAS VEGAS,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B54,Martiánez,"38028",Puerto de la Cruz,"AVENIDA COLÓN, 2",De 150 a 299 habitaciones,De 350 a 649 plazas,-16.54495442,28.417438083,eth1xt0rdd,348675.48,3144416.6
"56",HOTEL RIU PALACE TRES ISLAS,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES704,Fuerteventura,ES704B2,Corralejo - El Cotillo,ES704B21,Corralejo,"35014",La Oliva,PLAYA DE CORRALEJO,300 o más habitaciones,650 o más plazas,-13.83878228,28.712015673,etn5m4fgt5,613418.81,3176632.3
"57",HOTEL ATLANTIDA SANTA CRUZ,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38038",Santa Cruz de Tenerife,"CALLE 3 DE MAYO, ESQ. AUREA DÍAZ FLORES",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.25718645,28.458711941,eth3yhcbh0,376912.22,3148661.51
"58",HOTEL APART. DRAGOS DEL SUR,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B4,Isora,ES709B42,Puerto Santiago,"38040",Santiago del Teide,"AVENIDA MARÍTIMA, ESQ. CALETA DEL JURADO",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.84152604,28.235647485,eth08u0kef,319314.62,3124680.73
"59",HOTEL THE MIRADOR PAPAGAYO,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES708,Lanzarote,ES708B3,Playa Blanca - Puerto Calero,ES708B33,Playa Blanca: Rubicón - Papagayo,"35034",Yaiza,"CALLE LAS PALMAS, 5 - SAN MARCIAL DEL RUBICON",De 150 a 299 habitaciones,650 o más plazas,-13.80427359,28.858568483,etnhjvs135,616626.41,3192903.8
"60",PENSION RESIDENCIA EL DRAGO,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES707,La Palma,ES700B9,Islas de Canarias sin entidades turísticas,ES700B99,Islas de Canarias sin núcleos turísticos,"38033",San Andrés y Sauces,"AVENIDA LOS SAUCES, 36",Menor de 50 habitaciones,Menor de 100 plazas,-17.77290143,28.801339115,et57ge45vq,229347.78,3189132.87
"61",HOTEL ALISIOS CANTERAS,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B21,Las Canteras,"35016",Las Palmas de Gran Canaria,"CALLE COLOMBIA, 12",De 50 a 149 habitaciones,De 100 a 349 plazas,-15.43917327,28.13531531,etj009vs14,456873.2,3112270.03
"62",PENSION LAS LONJAS,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES707,La Palma,ES700B9,Islas de Canarias sin entidades turísticas,ES700B99,Islas de Canarias sin núcleos turísticos,"38033",San Andrés y Sauces,"SAN SEBASTIÁN, 16",Menor de 50 habitaciones,Menor de 100 plazas,-17.76086387,28.798554447,et57gfdgtz,230516.04,3188796.8
"63",PENSION CARIBE,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES703,El Hierro,ES700B9,Islas de Canarias sin entidades turísticas,ES700B99,Islas de Canarias sin núcleos turísticos,"38013",Frontera,"PUNTA GRANDE, 1",Menor de 50 habitaciones,Menor de 100 plazas,-17.99066516,27.796579285,esgnns5wg1,205323.77,3078257.25
"64",PENSION EL GUANCHE,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES703,El Hierro,ES700B9,Islas de Canarias sin entidades turísticas,ES700B99,Islas de Canarias sin núcleos turísticos,"38013",Frontera,"CALLE CRUZ ALTA, 1",Menor de 50 habitaciones,Menor de 100 plazas,-18.01630244,27.752541969,esgjyh0ym8,202676.48,3073437.16
"65",PENSION CASAÑAS,ALOJAMIENTOS,H2,5510_L1,Hotel,"2",2 Estrellas,ES703,El Hierro,ES700B9,Islas de Canarias sin entidades turísticas,ES700B99,Islas de Canarias sin núcleos turísticos,"38048",Valverde,"CALLE SAN FRANCISCO, 9",Menor de 50 habitaciones,Menor de 100 plazas,-17.91468782,27.806200537,esgq0mfyve,212839.02,3079143.64
"66",PENSION CENTRAL,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES707,La Palma,ES700B9,Islas de Canarias sin entidades turísticas,ES700B99,Islas de Canarias sin núcleos turísticos,"38014",Fuencaliente,"CALLE YAIZA, 1",Menor de 50 habitaciones,Menor de 100 plazas,-17.84439717,28.494632562,et561gq172,221556.37,3155296.41
"67",HOTEL R2 BAHIA PLAYA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES704,Fuerteventura,ES704B9,Resto de Fuerteventura,ES704B9,Resto de Fuerteventura,"35030",Tuineje,"PLAYA DE LAS PALMERAS, S/N",De 150 a 299 habitaciones,De 100 a 349 plazas,-14.11910479,28.192258233,etjbqsnzc1,586459.53,3118814.11
"68",PENSION CARDONA,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES708,Lanzarote,ES708B9,Resto de Lanzarote,ES708B9,Resto de Lanzarote,"35004",Arrecife,"CALLE DEMOCRACIA,11",De 50 a 149 habitaciones,De 100 a 349 plazas,-13.55373714,28.95894456,etnkexf6p4,640929.54,3204298.36
"69",PENSION SAN GINES,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES708,Lanzarote,ES708B9,Resto de Lanzarote,ES708B9,Resto de Lanzarote,"35004",Arrecife,"CALLE MOLINO, 9",Menor de 50 habitaciones,Menor de 100 plazas,-13.5495757,28.962796974,etnkg8t880,641329.86,3204730.21
"70",PENSION MAGEC,ALOJAMIENTOS,H2,5510_L1,Hotel,"2",2 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B21,Puerto del Carmen: Casco,"35028",Tías,"CALLE HIERRO, 11",Menor de 50 habitaciones,Menor de 100 plazas,-13.67051115,28.921031285,etnk8bvmnn,629596.66,3199963.83
