,VEHICLE_OWNERSHIP,VEHICLE_YEAR,ID_VEHICULO,ID
66,1.0,before 2015,SGQG0MN2MN,367026
67,1.0,before 2015,428BM8GW42,334687
68,1.0,before 2015,ARG8K36CSZ,623367
69,1.0,before 2015,ZTV2GX56A4,688440
70,0.0,before 2015,O948Q2RFK3,547974
71,0.0,after 2015,476Y1WG9H1,989064
72,1.0,before 2015,63ZHA2FBFN,422816
73,1.0,before 2015,U2HK77XDMS,307408
74,1.0,before 2015,RH6PZ78OON,675898
75,1.0,before 2015,MI9NQYNTN7,480452
76,1.0,after 2015,905RO0DOI3,93199
77,1.0,before 2015,01MW2WDA7S,125802
78,1.0,after 2015,55WQRMMLAY,616663
79,1.0,before 2015,IEPWF6NQN6,423497
80,1.0,after 2015,4JCOX017D9,492837
81,0.0,before 2015,OAL2J33478,422563
82,1.0,before 2015,U0H2Z3ERM0,185231
83,0.0,after 2015,H56TLV7XLL,949152
84,1.0,before 2015,N0Z31KS5SO,859453
85,1.0,after 2015,6UHCWMNB0B,466578
86,0.0,before 2015,BZKVMVNKOS,998214
87,0.0,before 2015,U7QGKYXAZO,828462
88,1.0,before 2015,KPEBF5W156,511837
89,1.0,before 2015,GAXAZP4JXS,554995
90,1.0,before 2015,MYORV3AX1P,680717
91,1.0,after 2015,965IPNNO7N,978021
92,1.0,after 2015,BTQUYSDTDF,509815
93,0.0,before 2015,OYS4RIXNG0,6676
94,0.0,before 2015,3UQUU9OKU9,362280
95,1.0,before 2015,KGBQHYUKUJ,883018
96,1.0,before 2015,NHNYGVT2I8,889355
97,1.0,after 2015,225BPMNT12,198273
98,0.0,after 2015,L1IYDG4RX5,197763
99,1.0,after 2015,H2EX0ONQOH,55670
100,1.0,after 2015,52EFKQNJM7,545941
101,1.0,before 2015,VOW1A6N5VJ,814196
102,0.0,before 2015,95FAX0UJOC,560160
103,0.0,before 2015,9V8VZMIJAO,320444
104,0.0,before 2015,WH2BR21Z6O,305793
105,0.0,before 2015,EGOC1NWXOS,362190
106,1.0,before 2015,2AN96S35A8,62647
107,1.0,after 2015,F53W8V6FEX,296948
108,0.0,after 2015,09O6FRHNDH,673660
109,1.0,before 2015,O1121FO1E8,945867
110,1.0,before 2015,3RFSM6FEG6,391880
111,1.0,before 2015,Z6DC5WQFRT,241973
112,0.0,before 2015,6ONO35B2KT,429503
113,1.0,after 2015,O8G60JMIRY,810013
114,0.0,before 2015,YNCZBPZ16M,663458
115,0.0,before 2015,L9KBCZA4FR,879976
116,1.0,before 2015,LCJHZIVI3B,418841
117,1.0,before 2015,0PDYV15BQO,542236
118,1.0,before 2015,52MCP3PEGW,937573
119,1.0,before 2015,S2SP74R850,670850
120,1.0,before 2015,9UUVLJPIPV,151252
121,1.0,before 2015,KDV6LVEKOF,706349
122,1.0,before 2015,FRAO3Q9U5W,602998
123,1.0,before 2015,CZNMZ02V23,242772
124,0.0,before 2015,G7ERJOKWWC,393449
125,1.0,after 2015,BZ2KI24HIG,380740
126,0.0,before 2015,JBGWQLSJ29,938115
127,1.0,before 2015,3QF9R7ICTM,727943
128,0.0,before 2015,NGFEDO6NU3,766309
129,1.0,after 2015,GCPAJ61BOU,261229
130,0.0,after 2015,TLY3K8FMRJ,60866
131,1.0,before 2015,Z49OK1Q0UQ,752797
132,1.0,before 2015,9VP0MKTA19,45002
133,0.0,before 2015,ZXTWYR6L5T,482448
134,1.0,before 2015,N8Q94K064Z,549142
135,0.0,after 2015,FNXD8MGJMS,95138
136,0.0,before 2015,8ESBSOVNDH,851152
137,1.0,after 2015,OR6JMH2QT3,615991
138,1.0,before 2015,7QOZ2K7BSV,424820
139,1.0,after 2015,743KS2BSOJ,807847
140,1.0,after 2015,A2ONCI8KXZ,758983
141,0.0,before 2015,96T9MDIZQ0,987114
142,1.0,before 2015,7PUZZ2U9KI,873457
143,0.0,before 2015,LLOFJOY681,699703
144,1.0,before 2015,0AYQAT1JG1,563342
145,0.0,before 2015,FWJXOOANEO,504412
146,1.0,before 2015,GMS8WGUYT1,284106
147,1.0,before 2015,EMYDJVGUYA,78189
148,0.0,before 2015,XVG7D2QXJ6,427520
149,1.0,after 2015,ZMZT0D31UJ,689030
150,1.0,before 2015,CJCZOPLZZX,966467
151,1.0,after 2015,DTN0ZCZF40,288712
152,1.0,before 2015,XRR1F5TVRI,228114
153,1.0,before 2015,8677PM9K2R,63715
154,1.0,before 2015,TJ6JGYEXJQ,624077
155,0.0,before 2015,KS2GHKIN55,726352
156,0.0,before 2015,U7TRP44Z26,150072
157,1.0,before 2015,HH5947BVEI,792396
158,1.0,before 2015,XDB59W94X6,768933
159,1.0,before 2015,K74KN7C566,452356
160,1.0,after 2015,U4VOAUWCCV,849811
161,1.0,after 2015,T8VTHT2Y9G,579336
162,1.0,before 2015,BODFL36HB4,648922
163,1.0,before 2015,72RB0U3YND,47909
164,1.0,after 2015,WHQLIO08W6,619577
165,1.0,after 2015,HBWV9OBFTS,212678
166,0.0,before 2015,KRVBYM89UU,579720
167,1.0,after 2015,EOTM6XQ37M,995884
168,1.0,after 2015,PP2S96LOZS,226326
169,0.0,after 2015,9PKTKQ7Q7W,943922
170,1.0,after 2015,X790JI4SRD,510116
171,1.0,before 2015,2Y0SDOCC0O,536546
172,1.0,before 2015,7HOHU7D19V,75592
173,1.0,before 2015,07XE45W0GV,487116
174,1.0,before 2015,BFGK6P73UD,936820
175,1.0,after 2015,LUSESIBMQO,634050
176,1.0,after 2015,33SC06ZTHH,307397
177,1.0,after 2015,CQKAWLFZHB,558748
178,0.0,after 2015,G0G1LGA3C1,856630
179,1.0,after 2015,ZZ13FMZBAK,200009
180,1.0,before 2015,A40RIUBWXM,784462
181,1.0,after 2015,BFJT30B6IF,792252
182,1.0,before 2015,Z8Q99ICBUR,462586
183,1.0,before 2015,B6VI9POTRH,577965
184,1.0,before 2015,IPIZWLP4HS,818248
185,0.0,before 2015,X38BYVENSW,491438
186,1.0,after 2015,7KE0JR0RFP,896587
187,0.0,before 2015,JYTJP8BPS3,431538
188,0.0,before 2015,7DK2DS6FEI,164516
189,1.0,after 2015,FK4KAXPCFA,479577
190,1.0,before 2015,K03EH6ZGR9,395233
191,1.0,after 2015,IIYUGYKN4U,221838
192,1.0,before 2015,VABOPYG7II,938476
193,0.0,before 2015,N3L8UXMO7M,112454
194,1.0,after 2015,AI9ZWZN66P,91246
195,0.0,before 2015,CM49YYMMP8,2743
196,1.0,before 2015,9X1SZAUMW7,248888
197,0.0,before 2015,NQFM78RIM0,195523
198,1.0,after 2015,AAHVXS6UCW,981926
199,1.0,before 2015,ICB1BJIXS2,593426
200,1.0,after 2015,KWKK3NKYQF,235574
201,1.0,before 2015,0XKD9DV6Y1,440993
202,1.0,before 2015,NV8WHKP0V5,446993
203,1.0,before 2015,AJILBWL5JP,82684
204,1.0,before 2015,QPZ4ZXLACH,301242
205,1.0,before 2015,5X3DQR7O2I,784122
206,0.0,before 2015,9YDRMF4MQQ,884967
207,0.0,before 2015,4R2P1TQ8OY,7722
208,0.0,before 2015,XSO0BTBNRE,278557
209,1.0,after 2015,T2HELJPUAZ,123443
210,0.0,before 2015,MBIO9XE24Y,112143
211,0.0,before 2015,IRF4K2MA7G,912138
212,0.0,after 2015,ZQQNAD7RG5,601305
213,1.0,after 2015,YUKJGJBZJ0,602274
214,1.0,before 2015,LSCXSO1O5Q,352099
215,1.0,before 2015,Y8WDTB8XB1,660400
216,1.0,before 2015,KX6RYZH8UB,267614
217,1.0,before 2015,JOSA7FHT42,974380
218,1.0,before 2015,BK7EHZ8UOQ,346585
219,1.0,before 2015,4LXZ3S8HQY,536135
220,0.0,after 2015,SH3IXO5X0V,75569
221,0.0,before 2015,M44XMVW961,415320
222,1.0,after 2015,7WVRPZUTJQ,645135
223,1.0,after 2015,O6PZKC1240,421596
224,1.0,before 2015,8DP3B7LFOV,164636
225,0.0,before 2015,VMKKGQTXDK,405100
226,1.0,before 2015,0AFT399WLB,315223
227,1.0,before 2015,V3BKK9NGC6,628723
228,0.0,before 2015,9H4RN6G7CQ,483693
229,1.0,before 2015,SI1D2LVBM5,416795
230,0.0,before 2015,DW3SM6QE6B,712973
231,1.0,before 2015,ATH5YU6818,755061
232,1.0,before 2015,12R3JZBV9R,625426
233,1.0,before 2015,I90JI0I7K5,162614
234,1.0,before 2015,1GZAXJKA4Z,732843
235,1.0,after 2015,F53Y248OJU,466761
236,1.0,before 2015,F6YXSC4FU2,498232
237,1.0,before 2015,E0MS4LE07S,170391
238,1.0,before 2015,K7V6M7NIS6,918640
239,1.0,before 2015,6ABESH9CLO,937134
240,1.0,after 2015,WXQXJHNSW3,273764
241,1.0,before 2015,EZTHTXQM3G,418555
242,1.0,after 2015,5QKV0ADOD7,344228
243,1.0,before 2015,NIE6TTV4ME,809278
244,0.0,before 2015,TE5FSSOY5U,68145
245,0.0,before 2015,0X7SMV8W17,128369
246,0.0,before 2015,UDVM7ZT91Z,194925
247,0.0,before 2015,PDKEZQAF37,303507
248,1.0,after 2015,TJXSMO1JQH,244931
249,1.0,before 2015,AZTCH7O0QH,570030
250,0.0,before 2015,GEQBE11N5Q,918038
251,0.0,before 2015,U6P7422ONF,102325
252,0.0,after 2015,49NFSMMGE5,653061
253,1.0,after 2015,8LFG76CKYB,706892
254,0.0,before 2015,2G0PIF8SIR,761911
255,1.0,before 2015,DCWKIJG2GT,271656
256,1.0,after 2015,JDGS71YYEQ,820690
257,0.0,before 2015,STATHP2HZL,622930
258,1.0,before 2015,TAA5HQ33SD,81394
259,1.0,before 2015,FAOKQ0F69Q,373844
260,0.0,before 2015,BLZL6KEOSX,368392
261,1.0,before 2015,NMG1BDUJHQ,447175
262,1.0,before 2015,CEF057CKA5,182095
263,1.0,before 2015,GBI7734TNM,451696
264,1.0,after 2015,43CJBOUYUD,953021
265,0.0,before 2015,20Q6EB7ZH5,462465
266,1.0,after 2015,O5K5X0H7JZ,617007
267,1.0,after 2015,0THUWNO6OV,560773
268,1.0,before 2015,HURDV2Q9UL,438008
269,0.0,before 2015,JL1EWQFXIP,212573
270,1.0,before 2015,IIQ27OJYK8,492516
271,0.0,after 2015,J2PL5R05G9,538225
272,0.0,before 2015,YLW8RUYP1M,658402
273,1.0,before 2015,BI7L695DIX,325516
274,0.0,before 2015,2WY9PLLCZW,200283
275,0.0,before 2015,5MT8KSODT8,913707
276,1.0,before 2015,CO4J59HZCY,905750
277,1.0,before 2015,HAN3IGTVS0,107029
278,1.0,before 2015,WU1W28R5BM,304803
279,0.0,before 2015,LKBB2XYFZN,124204
280,1.0,after 2015,IYA7NW4Q9D,781586
281,0.0,before 2015,AKMV9BUX77,644662
282,0.0,before 2015,1OAFN6P3J4,903407
283,1.0,after 2015,EMFTOGCB1W,968669
284,1.0,before 2015,WDA6A36RT1,993267
285,1.0,after 2015,V2H65TD14Y,423938
286,1.0,before 2015,V9PSWC1O5N,125168
287,0.0,before 2015,WIHDVUGT1M,175635
288,1.0,before 2015,SYLIZQ434T,525386
289,1.0,before 2015,N3FO368M3T,500215
290,1.0,after 2015,XGCZD2NXDC,572994
291,0.0,after 2015,PI3IO1QAKD,58735
292,0.0,before 2015,BIL3ZJ4SJU,319953
293,0.0,before 2015,2JIV9VSN83,487355
294,1.0,before 2015,9LHD7XHSPH,232470
295,0.0,before 2015,C31RUF0MM7,565198
296,1.0,after 2015,Z5FRBK7YRR,371727
297,1.0,before 2015,C6B0M5VW27,165944
298,0.0,before 2015,V51ZW74FL2,532459
299,1.0,after 2015,2V89TM0OSQ,613091
300,0.0,before 2015,X5B3KNRGAJ,88882
301,0.0,before 2015,W1AJMOLM90,187197
302,0.0,before 2015,O6W1VFML06,351757
303,0.0,before 2015,HYY0NA1K5G,735929
304,1.0,before 2015,2WFWTH24FW,224890
305,0.0,before 2015,ZFXGSC5J14,864601
306,0.0,after 2015,EM1BNUATRY,485798
307,1.0,before 2015,CGC5G5IV4W,733833
308,0.0,before 2015,JY2CGK602N,750465
309,1.0,before 2015,I3VF04PKN1,660556
310,1.0,before 2015,4XAI5N513J,28109
311,1.0,before 2015,BEIZBPIUKO,219960
312,0.0,after 2015,TFD6RRW7SR,252894
313,1.0,after 2015,MXUFXEWU9M,76297
314,1.0,after 2015,9QXWKRO3U4,763891
315,0.0,before 2015,OZPI4FIPE7,403707
316,1.0,after 2015,PQAOUTAHYB,792734
317,1.0,after 2015,NQ15WUY0JC,268227
318,1.0,before 2015,BJ9LLIPEOC,519764
319,1.0,after 2015,QO1DEMG5D1,912172
320,1.0,before 2015,DDDXYFKT1Y,560068
321,0.0,before 2015,5ZAWOJQBNR,652414
322,1.0,before 2015,356E93DUOJ,126077
323,1.0,before 2015,62W9O6IJMC,220269
324,1.0,before 2015,RJHYE6IQ9I,136946
325,1.0,before 2015,8PEELKZN1G,379940
326,0.0,before 2015,4Q6F5QP0HU,856902
327,0.0,before 2015,JPBP13UGXQ,241888
328,1.0,after 2015,0680DHF2CX,908199
329,1.0,before 2015,BF6STTJMWW,373218
330,1.0,after 2015,3EIKT07WX2,656042
331,1.0,before 2015,7GRPRSDMU9,313500
332,1.0,after 2015,2AENKO1HIX,919241
333,0.0,before 2015,4QA9JQTQUR,647888
334,0.0,before 2015,AE7P7OXMKY,161832
335,0.0,before 2015,DZ5JW7Q05M,476769
336,1.0,before 2015,2GHD9XP55X,431314
337,0.0,before 2015,SWN10P9G54,351356
338,1.0,before 2015,VFQTBD2CXA,447424
339,1.0,before 2015,TLM0RNZ4OH,201707
340,0.0,before 2015,0LU1BJ36CV,903320
341,1.0,before 2015,G4UW74CK0R,486639
342,1.0,after 2015,QRPSLQS8PM,252686
343,0.0,before 2015,MKDWDMGL4Q,233200
344,0.0,before 2015,TBQZMO1B17,667165
345,1.0,after 2015,X91EFZKT9C,950296
346,0.0,before 2015,VTZORW7KTL,243888
347,1.0,before 2015,HSRGAOS7S5,605896
348,0.0,before 2015,BZSJECRXLC,871858
349,1.0,after 2015,1HQGML75R3,200829
350,1.0,after 2015,EQQFGJSJDD,319494
351,1.0,before 2015,65MMVL7KMF,959164
352,1.0,after 2015,751RZG710J,444813
353,1.0,before 2015,GSWR61102T,675192
354,0.0,before 2015,3TSLYDDT2P,546719
355,1.0,after 2015,OXLMMWDV5H,96803
356,1.0,before 2015,97XRTGXGXP,37956
357,0.0,before 2015,IGMIOVTYT0,739932
358,1.0,after 2015,39M29GZM5V,103308
359,1.0,before 2015,1UO7EWYOBL,123892
360,1.0,before 2015,T637KCPVW4,824793
361,1.0,after 2015,SS4N0GQ2L8,487034
362,1.0,before 2015,V2EQL817SY,253078
363,1.0,after 2015,BHL6VMHTHR,587387
364,1.0,after 2015,77A1JOVYEP,334556
365,1.0,before 2015,L045DEZF12,403057
366,1.0,before 2015,RHOMWOII59,732295
367,0.0,before 2015,F8YCL5CUQM,933941
368,0.0,before 2015,PJIOO69OOA,520007
369,1.0,after 2015,O44XY402A9,871263
370,1.0,after 2015,DADRSMK0LP,864717
371,1.0,before 2015,6E9TA35DKZ,565346
372,0.0,after 2015,U6YHPCKI86,718626
373,1.0,after 2015,80H45C7KUW,921816
374,0.0,before 2015,FHMPTG60HA,431031
375,1.0,before 2015,DZA4AG2MKD,200636
376,0.0,before 2015,6NK66F43CK,70755
377,1.0,before 2015,M7MA6MWN6H,22475
378,1.0,after 2015,GV543HABOH,254814
379,1.0,after 2015,1C2WQLH406,799392
380,1.0,before 2015,PCHU07T7B6,429212
381,1.0,before 2015,JFELYK8LEM,408048
382,1.0,after 2015,ZQB4VVD6G7,312015
383,1.0,after 2015,4YL6J2WGQW,280243
384,0.0,before 2015,DWB15EK89H,161784
385,1.0,after 2015,MGHHZ6557M,979772
386,1.0,before 2015,ULA15RF63R,173922
387,1.0,after 2015,CO0A523R0U,297613
388,1.0,before 2015,MVJ2QRHVR9,178142
389,1.0,after 2015,U9VO5ZQ01A,622497
390,1.0,after 2015,0SKS9U3MCL,342957
391,0.0,after 2015,N7ZNYBQFIP,318054
392,0.0,before 2015,WXD3MDGEV9,178359
393,1.0,before 2015,6KFS26B4QZ,821985
394,1.0,before 2015,LET73UZL3A,810334
395,1.0,after 2015,19236Y10CD,818305
396,0.0,before 2015,ZQPMFH1GL8,586430
397,0.0,before 2015,5BF9XYBHR2,662672
398,0.0,after 2015,71JBIJ49OK,770081
399,1.0,after 2015,9Y3ZQM5RS4,787457
400,1.0,before 2015,EIKENABMTU,527739
401,0.0,after 2015,W6DV81Z1TE,965475
402,0.0,before 2015,1UN21ANVV8,692484
403,1.0,before 2015,W0Q0ULBMZE,571298
404,1.0,before 2015,2LO1T5PF5A,701289
405,0.0,before 2015,BFOZVSP3DT,879256
406,1.0,before 2015,SKWA0HP9IY,649732
407,1.0,before 2015,R8KUTDPN8M,855779
408,0.0,after 2015,3FRNQ1GPL9,625532
409,1.0,before 2015,947URL92XP,506830
410,1.0,before 2015,6RIJX9TDTE,291891
411,1.0,before 2015,WA5CVJ5W2E,3025
412,0.0,before 2015,S0SEJ2HPW8,683267
413,1.0,before 2015,9EE2EX4Q5F,839311
414,1.0,before 2015,X8JJ33SX09,969959
415,0.0,after 2015,WUG645RONO,694890
416,0.0,before 2015,IO7W67RX6J,912505
417,1.0,before 2015,AFU0NZVA8K,298912
418,0.0,before 2015,19DUBKYSXQ,336753
419,1.0,after 2015,8WM2O6KG2D,667341
420,0.0,before 2015,M4JGUDF13D,790649
421,1.0,after 2015,W4Z540WJGB,967869
422,0.0,before 2015,9GXRDJRMAT,806032
423,0.0,before 2015,I2XZPE3WP7,648666
424,1.0,before 2015,CGPJZJRHII,21860
425,0.0,before 2015,7QC3V6NYYH,983493
426,0.0,before 2015,CZB9P2SMZB,916881
427,0.0,before 2015,S8ZFQ9EKEP,381852
428,1.0,after 2015,4JAGJ7AIEC,937208
429,1.0,after 2015,3E7V9JJYOQ,95412
430,1.0,before 2015,GFUVNSGCC9,607006
431,0.0,before 2015,S82C2HR10A,157650
432,1.0,after 2015,PIEDPUUPKV,84004
433,1.0,before 2015,YHV7PX4QLA,615309
434,1.0,before 2015,EJJE5PCU63,137282
435,1.0,after 2015,8QZVXGATI0,46700
436,1.0,before 2015,MPKTKFHHY2,650982
437,0.0,before 2015,2HT9Z7GNFN,495635
438,1.0,after 2015,XIHUWLEFPQ,411155
439,1.0,after 2015,UCU3IGX7RI,471169
440,1.0,before 2015,T6R23Z2IX6,725883
441,0.0,after 2015,RQE84A8NBT,425246
442,0.0,after 2015,BXETLZDNR5,887542
443,0.0,before 2015,XYUXKUB3Z8,541272
444,1.0,before 2015,5PCJ9RVMC0,826670
445,1.0,before 2015,US3KAPO9NR,743957
446,0.0,after 2015,G4DO4T8LJC,574624
447,1.0,before 2015,PIZ8AO1CX7,453895
448,1.0,before 2015,F48F5GQCC5,111851
449,1.0,before 2015,3LO1WCWWY7,47628
450,1.0,after 2015,ILDXLPQM56,708828
451,1.0,before 2015,119W5872Y7,819883
452,1.0,before 2015,IYOQ1324PH,232634
453,1.0,before 2015,2W45UXV0EX,892258
454,0.0,before 2015,MFYJIKEITE,243010
455,1.0,before 2015,8ZR6ON7QBM,368602
456,0.0,after 2015,0M99KTY1R4,623636
457,0.0,before 2015,EX7TZYO3F8,757103
458,1.0,before 2015,JS8JE1XRQC,771076
459,1.0,before 2015,MCSZBZ0L2M,375862
460,0.0,before 2015,VN6YQ1NB0T,732956
461,1.0,after 2015,7FOTT2MZXO,774402
462,1.0,before 2015,OHJNR243BL,679565
463,1.0,before 2015,MG2OG51E8F,656626
464,0.0,before 2015,5RTRZZPKS9,146700
465,0.0,before 2015,74E7NAFHMQ,816938
466,0.0,before 2015,PN830HGT3D,440294
467,1.0,after 2015,6LR3IVW117,792276
468,1.0,before 2015,WN5LK3K9FO,951251
469,0.0,before 2015,16AUU8DQRD,395570
470,0.0,before 2015,7BWVRKV71W,736323
471,1.0,before 2015,C5D6442939,725583
472,0.0,before 2015,ODMN0HJXX4,53552
473,0.0,before 2015,ZC6GBR3J08,954412
474,0.0,before 2015,LCA0OT8EH9,931629
475,1.0,before 2015,M99RHBHII8,255230
476,1.0,before 2015,1P3VDMY7SA,31403
477,1.0,before 2015,LVUY31BGUQ,136957
478,0.0,after 2015,URDUP1H0J8,58535
479,1.0,before 2015,HSDJLJM9XB,750889
480,1.0,before 2015,S5GWH5Y6SY,592584
481,0.0,before 2015,NGJLR2CZUM,263154
482,1.0,after 2015,F9HJPE4OZK,842364
483,1.0,after 2015,AXOTEQESO8,687419
484,1.0,before 2015,IO340C1PQN,529208
485,1.0,before 2015,9U9O1B1OKS,306684
486,1.0,before 2015,Y9QENBE0X9,883009
487,1.0,before 2015,KXVL6VDYZ8,74704
488,1.0,after 2015,2N2Q99LBYH,872809
489,0.0,before 2015,ASAPJ2GPYJ,142973
490,1.0,after 2015,R0A40YPW5E,100513
491,0.0,before 2015,QIFJG65NCZ,984062
492,1.0,before 2015,J6W2OEE3MP,538916
493,1.0,before 2015,B8EF0CKQOB,881409
494,1.0,before 2015,PWJBN1UWO5,967125
495,1.0,before 2015,JKKBDSAWCS,448918
496,1.0,before 2015,IL4I2TNQQJ,530396
497,1.0,before 2015,0YLE6G52J1,157882
498,0.0,after 2015,6T7E52QC8T,456215
499,0.0,before 2015,KIUAU9NUAF,464357
500,1.0,before 2015,GM3Z9Z69XF,28229
501,0.0,before 2015,RQO0SDIJLF,144989
502,1.0,before 2015,H52UOCUWXT,577557
503,0.0,before 2015,23QGVR8NOV,29218
504,1.0,after 2015,WBSQ3V720R,850080
505,0.0,before 2015,7Y265ZWSGG,851438
506,1.0,before 2015,TINIJJL3CO,75241
507,1.0,before 2015,VVP6BLJDDE,292051
508,1.0,before 2015,AQ50GHJOUP,155114
509,1.0,before 2015,CDX8GWJ3DP,786259
510,1.0,after 2015,GNRTGCIQWE,444073
511,1.0,after 2015,7IZKO7ZZCI,55182
512,1.0,before 2015,ECKR3DQFUW,611274
513,0.0,before 2015,983OUG924O,97079
514,0.0,before 2015,UPTC6TPCNQ,178185
515,1.0,after 2015,YQ3PF8N9HN,857849
516,1.0,before 2015,S6J1FSWK9O,26255
517,0.0,before 2015,H4PGKBRDD4,787417
518,1.0,before 2015,N5H6A5ZQ7A,84677
519,1.0,before 2015,Q1KTAVW7V6,993623
520,1.0,after 2015,HW8RW989NH,372474
521,1.0,before 2015,DIEU4WLVF4,106981
522,1.0,before 2015,LB759A7I5P,649313
523,0.0,before 2015,26I3S5AC1N,220243
524,1.0,before 2015,ULMMCB1YG0,784778
525,1.0,after 2015,8RB74V51V9,885018
526,1.0,before 2015,55UHGEDTGS,278151
527,0.0,before 2015,78OPBUAN1W,589915
528,0.0,before 2015,RVKF5LFI62,481388
529,1.0,before 2015,L856PM4BVV,827198
530,0.0,before 2015,VTEH26DGVL,55712
531,1.0,before 2015,G004K55KA5,748080
532,1.0,before 2015,9EDLQXDN9L,877703
533,0.0,after 2015,5N021HH30Z,402240
534,1.0,before 2015,HVEHM0DXYI,623818
535,1.0,before 2015,NBGE9DYT9V,191449
536,1.0,after 2015,O1GCHCKORD,304034
537,1.0,after 2015,2D944I9Y46,915799
538,1.0,after 2015,2PYKB1MZPT,788184
539,1.0,before 2015,LWATGH9EJL,580249
540,1.0,before 2015,4IZ257PFYU,166102
541,1.0,before 2015,9U3FSLW40F,455260
542,0.0,after 2015,A60I62ER1R,137502
543,0.0,before 2015,FXO3U3HLQL,147076
544,1.0,after 2015,ZAII29M24X,447397
545,0.0,before 2015,E088EHYZ2U,968169
546,1.0,before 2015,KV45S30030,573424
547,0.0,before 2015,03XQXWE7XM,94746
548,1.0,before 2015,VMKX46FAV9,858153
549,1.0,after 2015,1APFKUUVBW,658967
550,1.0,before 2015,HIWC1OYRYZ,829242
551,1.0,after 2015,C6FV4VIYPS,897466
552,1.0,before 2015,GP2QSZSPB8,57521
553,1.0,after 2015,GSYMFINE9U,389871
554,0.0,before 2015,T81SOQFH0N,766476
555,1.0,before 2015,0Y2S1GBAQ7,382122
556,0.0,before 2015,UGGWNBCXLQ,37701
557,0.0,before 2015,H8UTJ2OVTG,678182
558,1.0,after 2015,MX5OQ0B1E1,357428
559,1.0,before 2015,FVFIT6JKO0,16345
560,1.0,before 2015,GGG5QE5158,380072
561,1.0,before 2015,0M37TU500E,202978
562,0.0,after 2015,4ROFVJUH31,444245
563,1.0,before 2015,XXWNYZHMQN,836104
564,1.0,before 2015,VZOQYGBZS7,672478
