,id,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,ic5,avggift,target_d
40,143253,CA,F,2089.0,275.0,296.0,322.0,356.0,10484.0,7.125,5.0
41,403,AL,J,765.0,408.0,430.0,,472.0,15150.0,33.5,35.0
42,189882,ND,F,832.0,310.0,338.0,348.0,376.0,11972.0,10.0,10.0
43,119570,TX,M,1458.0,299.0,354.0,356.0,446.0,19185.0,6.181818182,10.0
44,144021,CA,F,1590.0,240.0,238.0,262.0,257.0,7559.0,13.5,15.0
45,93356,IL,F,613.0,212.0,245.0,294.0,355.0,11792.0,11.83333333,25.0
46,24711,SC,F,477.0,256.0,282.0,292.0,316.0,10621.0,5.875,10.0
47,74914,IA,F,424.0,192.0,256.0,230.0,256.0,9497.0,4.863636364,6.0
48,6909,CO,M,383.0,,256.0,359.0,380.0,14045.0,13.82352941,15.0
49,124543,TX,M,688.0,422.0,466.0,457.0,490.0,16561.0,11.06666667,18.0
50,163018,CA,M,3500.0,351.0,260.0,463.0,407.0,,15.66666667,24.0
51,190671,CA,F,2143.0,280.0,353.0,328.0,373.0,12935.0,9.260869565,14.0
52,33356,FL,F,625.0,246.0,466.0,362.0,536.0,19102.0,14.09090909,20.0
53,151600,Cali,M,1560.0,500.0,488.0,487.0,485.0,13816.0,15.0,21.0
54,21259,NC,female,716.0,146.0,339.0,227.0,382.0,11136.0,12.47826087,15.0
55,128987,TX,F,1247.0,215.0,313.0,350.0,444.0,16891.0,26.33333333,41.0
56,108926,LA,M,611.0,265.0,323.0,302.0,337.0,12313.0,15.0,20.0
57,154709,Cali,F,1431.0,291.0,390.0,315.0,376.0,10498.0,13.0,5.0
58,108050,LA,F,1089.0,431.0,520.0,,538.0,16777.0,5.2,16.0
59,187274,IA,F,435.0,244.0,298.0,281.0,329.0,10692.0,,15.0
60,171655,Cali,F,1409.0,321.0,405.0,377.0,428.0,15611.0,12.66666667,12.0
61,160488,OR,M,647.0,369.0,422.0,401.0,463.0,18492.0,9.5,10.0
62,21305,NC,M,415.0,199.0,308.0,242.0,300.0,11449.0,8.333333333,10.0
63,98470,IL,F,492.0,172.0,384.0,276.0,399.0,13218.0,8.75,14.0
64,140586,TX,M,1043.0,610.0,682.0,731.0,788.0,,13.25,20.0
65,158101,Cali,M,3668.0,690.0,693.0,781.0,780.0,32964.0,15.0,15.0
66,150043,Cali,M,3491.0,791.0,828.0,853.0,903.0,32718.0,20.0,20.0
67,96251,IL,F,192.0,164.0,211.0,186.0,224.0,7361.0,5.866666667,10.0
68,188547,Cali,M,0.0,0.0,0.0,0.0,0.0,,20.26086957,25.0
69,180617,WA,male,824.0,225.0,308.0,293.0,383.0,13090.0,7.483333333,11.0
70,86000,SD,F,,205.0,318.0,245.0,309.0,11192.0,11.25,10.0
71,13265,AL,F,417.0,122.0,283.0,160.0,250.0,9715.0,7.75,11.0
72,71,TN,F,399.0,307.0,315.0,336.0,352.0,11428.0,6.818181818,16.0
73,148969,Cali,F,2377.0,,637.0,652.0,663.0,19545.0,9.111111111,10.0
74,156324,Cali,F,2016.0,431.0,465.0,459.0,497.0,17882.0,8.75,15.0
75,130976,CO,F,933.0,289.0,332.0,349.0,379.0,14104.0,8.142857143,7.0
76,140141,NM,F,619.0,215.0,222.0,260.0,268.0,10427.0,12.8,14.0
77,85416,Cali,F,3303.0,533.0,568.0,586.0,614.0,24251.0,14.0,25.0
78,108150,LA,F,960.0,479.0,526.0,548.0,613.0,19518.0,15.2,20.0
79,129823,CO,M,1236.0,622.0,630.0,727.0,737.0,25882.0,6.076923077,10.0
80,104413,AZ,M,473.0,164.0,179.0,207.0,215.0,9819.0,5.5,6.0
81,60512,IL,F,1055.0,366.0,462.0,379.0,400.0,,20.8,25.0
82,90480,IL,F,1509.0,545.0,617.0,599.0,680.0,23170.0,9.0,11.0
83,148911,Cali,F,,454.0,526.0,478.0,564.0,21667.0,15.5,10.0
84,52990,TN,M,927.0,299.0,322.0,372.0,410.0,14428.0,5.0,26.0
85,148022,Cali,F,2098.0,,311.0,352.0,368.0,13564.0,6.076923077,10.0
86,147406,Cali,M,,1054.0,1220.0,1058.0,1128.0,52654.0,30.94117647,38.0
87,103468,MO,F,,219.0,280.0,272.0,319.0,10966.0,7.1,15.0
88,84100,MN,M,,648.0,684.0,717.0,781.0,25787.0,14.0,14.0
89,137548,AZ,M,2158.0,411.0,516.0,535.0,640.0,33235.0,7.933333333,9.0
90,6932,MO,M,1110.0,460.0,544.0,538.0,624.0,,7.264705882,10.0
91,37118,FL,F,581.0,349.0,361.0,359.0,373.0,9667.0,9.857142857,15.0
92,109179,LA,M,563.0,259.0,301.0,308.0,342.0,,10.18181818,14.0
93,140642,NM,F,740.0,240.0,288.0,294.0,324.0,10701.0,5.0,5.0
94,77057,IA,F,516.0,332.0,378.0,347.0,379.0,13293.0,12.33333333,15.0
95,83131,MN,M,575.0,249.0,282.0,290.0,316.0,,10.0,20.0
96,168078,Cali,M,2357.0,511.0,540.0,570.0,609.0,23786.0,13.66666667,19.0
97,32975,SC,M,645.0,304.0,360.0,306.0,376.0,6826.0,10.875,25.0
98,37472,FL,M,825.0,233.0,239.0,290.0,301.0,9747.0,20.0,20.0
99,63113,IN,M,531.0,246.0,278.0,272.0,290.0,,,5.0
100,57039,KY,F,195.0,131.0,148.0,159.0,179.0,5727.0,4.302325581,5.0
101,58786,KY,F,423.0,293.0,297.0,274.0,279.0,,6.055555556,20.0
102,164306,Cali,F,2725.0,629.0,684.0,662.0,734.0,24424.0,15.0,30.0
103,113129,OK,F,359.0,220.0,247.0,270.0,299.0,13024.0,20.0,20.0
104,19094,CT,F,1373.0,472.0,463.0,504.0,517.0,17363.0,28.33333333,40.0
105,102224,NJ,J,1439.0,370.0,414.0,417.0,464.0,13353.0,6.125,6.0
106,155375,Cali,F,889.0,398.0,488.0,450.0,495.0,13782.0,5.846153846,6.0
107,185030,FL,M,824.0,248.0,274.0,288.0,326.0,15008.0,10.15384615,10.0
108,149887,Cali,M,1993.0,442.0,,484.0,520.0,,10.83333333,15.0
109,117216,TX,F,618.0,,310.0,302.0,394.0,,10.25,30.0
110,167892,Cali,F,3259.0,267.0,626.0,508.0,591.0,19399.0,7.666666667,10.0
111,107618,NE,F,151.0,180.0,208.0,230.0,273.0,9138.0,2.361111111,2.0
112,72410,MI,M,492.0,272.0,370.0,317.0,402.0,14442.0,14.57142857,20.0
113,112319,AR,Female,892.0,380.0,406.0,426.0,468.0,19444.0,17.0,30.0
114,28061,GA,F,948.0,531.0,530.0,585.0,584.0,19537.0,5.484848485,5.0
115,108371,LA,F,717.0,190.0,313.0,235.0,302.0,10888.0,24.16666667,20.0
116,187807,MI,M,612.0,330.0,326.0,392.0,400.0,13162.0,,22.0
117,180383,WA,F,919.0,338.0,337.0,349.0,346.0,12507.0,8.214285714,11.0
118,183013,WA,male,697.0,317.0,364.0,337.0,406.0,13561.0,10.0,11.0
119,187769,Cali,M,5059.0,693.0,752.0,751.0,847.0,29368.0,10.6,25.0
120,191056,Cali,M,5667.0,492.0,808.0,594.0,848.0,51280.0,28.83333333,47.0
121,151891,Cali,F,2750.0,668.0,701.0,717.0,781.0,26199.0,11.44444444,15.0
122,5822,KS,F,513.0,,434.0,436.0,482.0,20842.0,6.07675,11.0
123,164969,Cali,F,1848.0,505.0,515.0,560.0,581.0,,5.684210526,7.0
124,172846,Cali,M,1417.0,406.0,341.0,519.0,508.0,18590.0,14.11111111,10.0
125,95951,IL,F,347.0,210.0,255.0,229.0,286.0,10356.0,8.076923077,20.0
126,18089,NC,M,994.0,404.0,475.0,485.0,530.0,17420.0,13.77777778,25.0
127,35276,FL,F,3542.0,642.0,690.0,807.0,843.0,53131.0,6.642857143,10.0
128,18607,NC,M,797.0,377.0,418.0,423.0,451.0,,7.769230769,23.0
129,61275,IN,M,791.0,361.0,407.0,390.0,428.0,13805.0,,12.0
130,36141,FL,F,957.0,408.0,399.0,450.0,459.0,17718.0,15.0,10.0
131,85716,MN,F,357.0,164.0,214.0,215.0,254.0,8443.0,25.0,25.0
132,154195,Cali,F,896.0,336.0,362.0,389.0,418.0,14513.0,20.0,20.0
133,46755,AL,F,402.0,232.0,249.0,276.0,300.0,,,5.0
134,13239,FL,M,3083.0,166.0,270.0,233.0,332.0,16019.0,2.916666667,3.0
135,86068,SD,F,460.0,247.0,357.0,300.0,372.0,,9.363636364,5.0
136,67900,MI,M,294.0,279.0,355.0,391.0,404.0,,17.5,20.0
137,59610,IN,F,1199.0,547.0,556.0,597.0,605.0,20694.0,10.0,15.0
138,13378,CA,F,1125.0,280.0,336.0,305.0,362.0,10857.0,5.714285714,7.0
139,20752,NC,M,,252.0,279.0,300.0,330.0,13321.0,8.533333333,13.0
140,30934,GA,M,316.0,213.0,238.0,254.0,280.0,8956.0,12.5,15.0
141,102163,MO,F,825.0,401.0,463.0,464.0,555.0,28003.0,25.0,30.0
142,128976,TX,F,642.0,271.0,284.0,306.0,312.0,9453.0,6.142857143,10.0
143,44088,IN,M,1263.0,468.0,517.0,548.0,601.0,26265.0,,10.0
144,154931,CA,F,1809.0,454.0,466.0,503.0,543.0,15886.0,8.0,10.0
145,87939,IL,M,5294.0,1035.0,1165.0,1012.0,1065.0,60053.0,13.0,30.0
146,140779,NV,F,1161.0,448.0,484.0,536.0,570.0,,5.75,6.0
147,113838,OK,F,295.0,150.0,203.0,195.0,248.0,8962.0,6.333333333,8.0
148,156568,CA,F,3020.0,756.0,765.0,809.0,823.0,26135.0,40.08333333,75.0
149,130485,CO,F,431.0,258.0,342.0,386.0,541.0,25828.0,8.571428571,16.0
150,101803,MO,F,544.0,264.0,283.0,326.0,340.0,16194.0,,25.0
151,41899,FL,M,618.0,223.0,278.0,278.0,335.0,13341.0,7.846153846,10.0
152,30795,GA,M,323.0,183.0,207.0,201.0,210.0,7139.0,5.444444444,10.0
153,133256,ID,M,1104.0,511.0,528.0,534.0,566.0,17366.0,13.0,10.0
154,151203,CA,U,2135.0,417.0,417.0,433.0,456.0,18907.0,8.2,5.0
155,31425,GA,M,671.0,287.0,365.0,372.0,441.0,16517.0,4.888888889,16.0
156,70524,MI,F,510.0,228.0,370.0,324.0,394.0,,10.8,23.0
157,161229,CA,F,650.0,302.0,302.0,315.0,318.0,7080.0,8.666666667,21.0
158,83181,MN,F,487.0,248.0,287.0,286.0,327.0,10792.0,12.72727273,15.0
159,143528,CA,F,2925.0,288.0,305.0,353.0,376.0,23046.0,7.523809524,10.0
160,42970,FL,M,884.0,242.0,268.0,271.0,313.0,13491.0,4.428571429,3.0
161,83708,MN,F,753.0,341.0,393.0,373.0,442.0,15502.0,8.4,10.0
162,101390,MO,F,,,350.0,343.0,347.0,13094.0,2.571428571,2.0
163,77898,WI,male,627.0,367.0,427.0,394.0,444.0,15350.0,7.5,10.0
164,77345,WI,male,806.0,331.0,420.0,382.0,447.0,15120.0,13.2,16.0
165,142579,CA,F,3149.0,504.0,601.0,562.0,672.0,,10.71428571,20.0
166,162209,CA,F,5266.0,495.0,675.0,669.0,785.0,43828.0,9.2,10.0
167,171396,CA,M,1401.0,441.0,445.0,462.0,466.0,15438.0,5.0,6.0
168,129530,CO,M,593.0,163.0,180.0,,230.0,9520.0,12.5,10.0
169,33773,FL,F,915.0,308.0,357.0,367.0,438.0,17783.0,13.0,20.0
170,10031,NE,F,456.0,258.0,311.0,314.0,381.0,13411.0,7.285714286,10.0
171,62056,IN,M,610.0,319.0,336.0,384.0,407.0,11815.0,4.625,7.0
172,11494,FL,M,1229.0,469.0,502.0,507.0,544.0,17313.0,8.4,5.0
173,44847,FL,M,428.0,140.0,196.0,171.0,208.0,9064.0,9.769230769,10.0
174,94851,IL,F,2333.0,316.0,643.0,420.0,744.0,33535.0,7.307692308,10.0
175,15668,NC,M,707.0,383.0,400.0,398.0,433.0,13852.0,9.333333333,45.0
176,175579,OR,F,377.0,171.0,199.0,219.0,187.0,21980.0,16.66666667,20.0
177,150534,CA,U,1624.0,380.0,382.0,407.0,408.0,9685.0,5.0,4.0
178,68441,MI,F,348.0,184.0,269.0,264.0,316.0,11686.0,27.5,30.0
179,157185,CA,F,1878.0,523.0,526.0,564.0,566.0,16084.0,,5.0
180,90816,IL,F,777.0,378.0,386.0,396.0,423.0,14106.0,17.8,20.0
181,94915,IL,F,1463.0,117.0,439.0,266.0,523.0,13344.0,12.16666667,15.0
182,118392,TX,M,375.0,153.0,214.0,206.0,248.0,7798.0,5.347826087,12.0
183,187571,IN,F,561.0,302.0,301.0,323.0,331.0,10873.0,,26.0
184,21659,NC,M,502.0,199.0,250.0,229.0,261.0,8726.0,7.875,10.0
185,157672,CA,M,4206.0,789.0,804.0,834.0,850.0,37411.0,12.66666667,10.0
186,64166,IN,M,800.0,283.0,398.0,338.0,425.0,15160.0,16.6,23.0
187,185304,CO,M,1472.0,625.0,653.0,687.0,732.0,,15.21428571,21.0
188,57963,KY,F,492.0,332.0,450.0,425.0,471.0,21410.0,8.4375,10.0
189,98249,IL,F,609.0,314.0,347.0,349.0,385.0,11360.0,6.666666667,10.0
190,153689,CA,F,2430.0,604.0,610.0,659.0,669.0,20529.0,9.5,20.0
191,157807,CA,M,2559.0,581.0,591.0,614.0,651.0,21559.0,10.25,16.0
192,41715,FL,F,696.0,272.0,357.0,358.0,427.0,16474.0,3.3,3.0
193,45356,FL,M,762.0,254.0,355.0,327.0,411.0,17458.0,,8.0
194,163506,CA,F,3556.0,735.0,701.0,838.0,805.0,34382.0,15.85714286,15.0
195,107727,NE,F,441.0,260.0,321.0,300.0,353.0,12452.0,5.279069767,7.0
196,64212,IN,F,502.0,319.0,363.0,341.0,388.0,12989.0,15.66666667,20.0
197,60252,IN,M,673.0,284.0,330.0,335.0,373.0,15149.0,13.45454546,15.0
198,45101,FL,F,1173.0,322.0,424.0,407.0,494.0,18738.0,4.125,3.0
199,36528,FL,F,934.0,323.0,373.0,376.0,400.0,9980.0,25.0,25.0
200,38820,FL,M,1332.0,357.0,411.0,422.0,497.0,21444.0,9.576923077,20.0
201,133906,ID,F,451.0,225.0,261.0,262.0,294.0,10244.0,15.0,10.0
202,12226,CO,F,649.0,238.0,273.0,272.0,302.0,10417.0,5.411764706,8.0
203,8696,OK,F,590.0,410.0,439.0,433.0,456.0,13115.0,13.0,11.0
204,119368,TX,F,500.0,291.0,316.0,314.0,379.0,19609.0,11.5,25.0
205,14319,FL,M,368.0,230.0,271.0,261.0,295.0,9547.0,10.7,19.0
206,118408,TX,M,427.0,315.0,365.0,340.0,377.0,,9.0,15.0
207,146585,CA,F,1458.0,173.0,191.0,220.0,249.0,8381.0,4.243243243,8.0
208,120115,TX,M,274.0,154.0,214.0,199.0,256.0,8881.0,40.875,200.0
209,57463,KY,F,584.0,274.0,287.0,336.0,341.0,15105.0,,10.0
210,94394,IL,F,553.0,306.0,309.0,333.0,348.0,9296.0,8.916666667,10.0
211,155135,CA,M,,321.0,406.0,358.0,390.0,10985.0,6.75,7.0
212,149595,CA,M,2545.0,361.0,304.0,386.0,358.0,14300.0,12.5,17.0
213,166606,CA,F,1778.0,411.0,480.0,439.0,503.0,18236.0,,50.0
214,8240,CA,F,1187.0,328.0,366.0,393.0,428.0,13978.0,10.81481482,10.0
215,185904,TX,F,1448.0,651.0,667.0,698.0,724.0,24736.0,,13.0
216,49351,AL,Male,712.0,377.0,398.0,446.0,472.0,15013.0,14.2,15.0
217,191779,FL,M,1432.0,636.0,693.0,680.0,772.0,35544.0,25.0,150.0
218,169881,CA,F,2598.0,,557.0,562.0,661.0,31631.0,8.222222222,15.0
219,144356,CA,F,2855.0,,385.0,484.0,537.0,18525.0,6.538461539,20.0
220,186528,TX,F,535.0,244.0,437.0,317.0,402.0,17053.0,9.8125,15.0
221,14161,WA,male,,161.0,206.0,206.0,232.0,8860.0,7.818181818,10.0
222,190839,IL,M,662.0,352.0,406.0,394.0,456.0,13460.0,12.5,15.0
223,146269,CA,F,2973.0,576.0,591.0,624.0,654.0,,7.25,10.0
224,188507,CA,F,2289.0,631.0,647.0,657.0,679.0,22571.0,9.769230769,10.0
225,116251,TX,F,1274.0,789.0,798.0,804.0,825.0,26360.0,6.409090909,10.0
226,81945,WI,male,840.0,458.0,471.0,513.0,548.0,20327.0,15.0,20.0
227,8989,WA,F,1024.0,,451.0,446.0,472.0,13462.0,10.5,32.0
228,47282,AL,F,,336.0,354.0,382.0,398.0,,7.5,15.0
229,2950,MT,M,717.0,306.0,315.0,333.0,358.0,11279.0,4.85,2.0
230,87771,IL,F,1667.0,541.0,603.0,592.0,624.0,21458.0,13.33333333,20.0
231,167934,WA,F,843.0,423.0,424.0,475.0,486.0,16476.0,10.72727273,21.0
232,26045,GA,F,583.0,360.0,374.0,405.0,434.0,24198.0,9.666666667,14.0
233,661,CA,M,1801.0,495.0,534.0,475.0,525.0,18663.0,19.47058824,20.0
234,47569,AL,F,863.0,406.0,527.0,459.0,562.0,19862.0,9.153846154,10.0
235,176743,OR,M,335.0,140.0,157.0,154.0,170.0,6682.0,,7.0
236,188164,TX,F,1362.0,575.0,645.0,627.0,718.0,21447.0,8.533333333,10.0
237,134364,UT,F,700.0,252.0,257.0,281.0,302.0,12806.0,20.0,20.0
238,93742,IL,F,562.0,360.0,480.0,388.0,474.0,12391.0,20.0,30.0
239,39479,FL,M,1287.0,479.0,508.0,567.0,616.0,20795.0,4.105769231,4.0
240,54142,TN,F,476.0,210.0,254.0,272.0,310.0,10171.0,13.0,21.0
241,168038,CA,M,5939.0,1214.0,1211.0,1080.0,1085.0,64833.0,20.0,36.0
242,48675,AL,F,648.0,353.0,418.0,357.0,453.0,16873.0,7.0,5.0
243,158980,CA,M,1862.0,365.0,372.0,401.0,425.0,10521.0,17.85714286,20.0
244,153888,CA,F,1843.0,515.0,511.0,575.0,582.0,,19.0,10.0
245,162300,CA,M,5190.0,870.0,892.0,871.0,918.0,39481.0,9.888888889,20.0
246,163081,CA,M,3912.0,351.0,410.0,404.0,454.0,19508.0,6.0,7.0
247,14000,OK,F,1537.0,791.0,783.0,916.0,949.0,32640.0,11.0625,12.0
248,6599,WA,F,719.0,330.0,340.0,389.0,416.0,14248.0,,11.0
249,135454,AZ,M,,469.0,472.0,510.0,516.0,18042.0,8.823529412,15.0
250,128643,TX,M,,268.0,281.0,267.0,303.0,9838.0,6.625,4.0
251,116420,TX,M,1951.0,807.0,838.0,870.0,896.0,31111.0,9.333333333,20.0
252,35101,FL,M,1434.0,388.0,479.0,513.0,577.0,18405.0,18.0,20.0
253,75474,IA,M,206.0,229.0,251.0,267.0,288.0,9248.0,11.66666667,15.0
254,785,MI,M,613.0,146.0,267.0,209.0,349.0,13209.0,17.5,18.0
255,27624,GA,F,991.0,493.0,506.0,532.0,548.0,17344.0,7.769230769,8.0
256,73754,MI,F,900.0,343.0,420.0,386.0,465.0,16254.0,13.31818182,25.0
257,141189,NV,F,1163.0,468.0,493.0,511.0,548.0,18824.0,53.0,25.0
258,1544,HI,F,3260.0,509.0,542.0,552.0,581.0,19165.0,13.0,10.0
259,124149,TX,M,430.0,237.0,283.0,281.0,320.0,10269.0,12.0,14.0
260,85890,SD,F,167.0,214.0,273.0,247.0,290.0,9452.0,14.41176471,20.0
261,37005,FL,F,1380.0,260.0,325.0,,371.0,13011.0,7.875,11.0
262,166324,CA,U,3357.0,284.0,455.0,343.0,447.0,24240.0,11.85714286,19.0
263,13448,CA,F,1518.0,150.0,171.0,208.0,218.0,5043.0,5.055555556,5.0
264,180428,WA,male,1390.0,426.0,430.0,463.0,470.0,15022.0,18.0,20.0
265,12517,MO,M,1224.0,575.0,577.0,608.0,611.0,18029.0,2.8125,1.0
266,99246,IL,F,182.0,171.0,217.0,242.0,278.0,9240.0,10.26666667,20.0
267,174760,OR,F,786.0,419.0,452.0,444.0,466.0,15010.0,4.555555556,5.0
268,124379,TX,M,308.0,161.0,186.0,204.0,219.0,6576.0,4.5,5.0
269,176862,OR,F,1074.0,232.0,252.0,294.0,309.0,15070.0,10.04347826,20.0
270,188986,AZ,M,885.0,367.0,408.0,417.0,454.0,21767.0,9.714285714,9.0
271,148906,CA,F,2375.0,371.0,363.0,411.0,,15361.0,4.142857143,6.0
272,109646,LA,M,657.0,265.0,293.0,303.0,325.0,,9.472222222,10.0
273,62295,IN,F,581.0,369.0,372.0,369.0,383.0,12835.0,25.5,20.0
274,162650,CA,M,3010.0,410.0,518.0,431.0,559.0,19149.0,8.333333333,5.0
275,99836,MO,M,548.0,262.0,355.0,298.0,342.0,12621.0,15.0,21.0
276,33994,FL,M,819.0,348.0,388.0,421.0,459.0,15958.0,7.090909091,6.0
277,93432,IL,F,613.0,212.0,245.0,294.0,355.0,11792.0,6.0,11.0
278,62786,IN,F,431.0,280.0,314.0,310.0,347.0,11052.0,8.235294118,11.0
279,44634,FL,M,710.0,254.0,287.0,325.0,391.0,15970.0,7.285714286,10.0
280,146914,CA,F,,515.0,675.0,589.0,725.0,,6.5,10.0
281,70079,MI,F,365.0,98.0,310.0,221.0,330.0,9470.0,,15.0
282,24871,SC,F,682.0,366.0,464.0,421.0,498.0,14538.0,9.666666667,16.0
283,150660,UT,F,901.0,327.0,336.0,411.0,437.0,17854.0,10.20588235,12.0
284,169700,California,M,1676.0,371.0,336.0,398.0,372.0,13231.0,5.571428571,25.0
285,63542,IN,F,445.0,332.0,398.0,370.0,423.0,13662.0,14.55555556,26.0
286,125164,TX,F,588.0,316.0,383.0,344.0,381.0,14293.0,22.6,50.0
287,65634,MI,F,413.0,95.0,171.0,123.0,231.0,9020.0,10.16666667,12.0
288,59285,IN,F,522.0,225.0,349.0,326.0,403.0,13669.0,12.0,10.0
289,78802,WI,J,667.0,293.0,385.0,334.0,422.0,17527.0,15.0,15.0
290,186460,WI,F,303.0,175.0,217.0,219.0,253.0,7115.0,10.375,20.0
291,114579,OK,M,633.0,399.0,442.0,439.0,517.0,17637.0,13.16666667,10.0
292,23184,SC,F,391.0,214.0,243.0,242.0,269.0,9853.0,14.0,10.0
293,125289,TX,F,707.0,246.0,283.0,291.0,327.0,15322.0,5.25,7.0
294,10502,MI,M,,464.0,496.0,462.0,501.0,15910.0,13.46666667,15.0
295,46844,AL,Male,453.0,219.0,264.0,263.0,299.0,,7.0,10.0
296,162814,CA,M,3365.0,544.0,525.0,655.0,621.0,27608.0,6.2,10.0
297,89653,IL,M,1315.0,328.0,384.0,398.0,472.0,15767.0,4.818181818,3.0
298,170818,CA,F,668.0,187.0,191.0,239.0,240.0,6845.0,6.0,10.0
299,6147,SC,M,399.0,221.0,266.0,259.0,302.0,10150.0,13.90909091,24.0
300,14276,CA,F,3200.0,267.0,292.0,325.0,338.0,11115.0,13.2,15.0
301,120166,TX,F,289.0,171.0,226.0,224.0,283.0,9765.0,9.214285714,12.0
302,156817,CA,F,1796.0,266.0,271.0,334.0,337.0,10720.0,20.0,20.0
303,35476,FL,M,625.0,259.0,282.0,299.0,309.0,11072.0,17.14285714,25.0
304,155382,CA,F,978.0,290.0,324.0,349.0,381.0,13490.0,15.85,30.0
305,104049,MO,M,367.0,159.0,186.0,193.0,222.0,8893.0,3.166666667,3.0
306,112461,AR,M,376.0,178.0,195.0,231.0,256.0,8246.0,9.411764706,10.0
307,79580,WI,F,937.0,321.0,441.0,433.0,545.0,18567.0,15.0,21.0
308,86528,ND,F,675.0,272.0,310.0,301.0,358.0,13135.0,3.083333333,3.0
309,107658,NE,F,232.0,197.0,259.0,229.0,280.0,9480.0,6.928571429,10.0
310,69537,MI,F,545.0,364.0,382.0,400.0,416.0,,8.6,15.0
311,81284,WI,F,458.0,228.0,270.0,276.0,318.0,10731.0,13.4,25.0
312,32475,FL,M,814.0,271.0,268.0,312.0,324.0,10488.0,16.4,20.0
313,104505,KS,F,671.0,320.0,340.0,349.0,376.0,12950.0,,25.0
314,13483,WI,F,452.0,293.0,316.0,339.0,371.0,10979.0,6.34,17.0
315,1042,OR,M,826.0,314.0,348.0,390.0,426.0,14958.0,9.1875,8.0
316,28337,GA,M,860.0,324.0,351.0,346.0,375.0,15491.0,11.33333333,20.0
317,67808,MI,F,185.0,277.0,283.0,312.0,286.0,,8.787878788,10.0
318,35017,FL,M,576.0,200.0,280.0,244.0,324.0,12518.0,12.90909091,10.0
